Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1.9e-05,18.308652,[62 31] ; [ 7 24],[51.75 41.25] ; [17.25 13.75],1
p10,1,0.000306,13.035978,[80 11] ; [18 13],[73.09836066 17.90163934] ; [24.90163934  6.09836066],1
p11,1,0.001203,10.484976,[85  8] ; [21 10],[79.5 13.5] ; [26.5  4.5],0
p9,1,0.002505,9.136842,[84  9] ; [21 10],[78.75 14.25] ; [26.25  4.75],0
n4,1,0.004458,8.086957,[75 18] ; [17 14],[69. 24.] ; [23.  8.],0
p8,1,0.006118,7.515152,[72 21] ; [16 15],[66. 27.] ; [22.  9.],0
a5,1,0.00777,7.085714,[69 24] ; [15 16],[63. 30.] ; [21. 10.],0
d3,1,0.008974,6.827953,[69 24] ; [14 15],[63.2704918 29.7295082] ; [19.7295082  9.2704918],0
s6,1,0.011011,6.463564,[59 30] ; [11 17],[53.24786325 35.75213675] ; [16.75213675 11.24786325],0
a4,1,0.019432,5.462234,[49 43] ; [ 9 22],[43.38211382 48.61788618] ; [14.61788618 16.38211382],0
d1,1,0.026918,4.896052,[60 33] ; [13 18],[54.75 38.25] ; [18.25 12.75],0
d5,1,0.028032,4.826083,[79 14] ; [20 10],[74.85365854 18.14634146] ; [24.14634146  5.85365854],0
s4,1,0.031524,4.624212,[17 71] ; [ 1 30],[13.31092437 74.68907563] ; [ 4.68907563 26.31092437],0
p2,1,0.038737,4.272375,[85  8] ; [24  7],[81.75 11.25] ; [27.25  3.75],0
b4,1,0.053365,3.732441,[63 30] ; [15 16],[58.5 34.5] ; [19.5 11.5],0
d2,1,0.061427,3.498433,[48 45] ; [10 21],[43.5 49.5] ; [14.5 16.5],0
s8,1,0.081057,3.043582,[31 62] ; [ 5 25],[27.2195122 65.7804878] ; [ 8.7804878 21.2195122],0
u1,1,0.113346,2.506934,[17 76] ; [ 2 29],[14.25 78.75] ; [ 4.75 26.25],0
d4,1,0.115302,2.48,[78 15] ; [22  9],[75. 18.] ; [25.  6.],0
a7,1,0.156499,2.007733,[73 19] ; [20 10],[70.13114754 21.86885246] ; [22.86885246  7.13114754],0
b5,1,0.160987,1.964932,[56 37] ; [23  8],[59.25 33.75] ; [19.75 11.25],0
s5,1,0.168311,1.897925,[27 62] ; [ 5 24],[24.13559322 64.86440678] ; [ 7.86440678 21.13559322],0
v1,1,0.184828,1.75837,[53 37] ; [14 17],[49.83471074 40.16528926] ; [17.16528926 13.83471074],0
r1,1,0.187984,1.733348,[73 19] ; [21 10],[70.30894309 21.69105691] ; [23.69105691  7.30894309],0
v3,1,0.190796,1.711461,[29 60] ; [ 6 24],[26.17647059 62.82352941] ; [ 8.82352941 21.17647059],0
a2,1,0.202787,1.622187,[22 71] ; [ 4 27],[19.5 73.5] ; [ 6.5 24.5],0
p12,1,0.268915,1.222275,[ 9 84] ; [ 1 29],[ 7.56097561 85.43902439] ; [ 2.43902439 27.56097561],0
n3,1,0.332474,0.939239,[9 2] ; [9 5],[7.92 3.08] ; [10.08  3.92],0
b2,1,0.337985,0.918061,[22 34] ; [7 6],[23.53623188 32.46376812] ; [5.46376812 7.53623188],0
b3,1,0.337985,0.918061,[22 34] ; [7 6],[23.53623188 32.46376812] ; [5.46376812 7.53623188],0
a3,1,0.342976,0.899275,[57 36] ; [16 15],[54.75 38.25] ; [18.25 12.75],0
n5,1,0.359707,0.838915,[70 22] ; [21 10],[68.06504065 23.93495935] ; [22.93495935  8.06504065],0
s1,1,0.384484,0.756317,[ 1 91] ; [ 1 28],[ 1.52066116 90.47933884] ; [ 0.47933884 28.52066116],0
v4,1,0.407413,0.686339,[87  5] ; [28  3],[86.01626016  5.98373984] ; [28.98373984  2.01626016],0
u4,1,0.415456,0.663132,[ 1 91] ; [ 1 30],[ 1.49593496 90.50406504] ; [ 0.50406504 30.49593496],0
u3,1,0.458542,0.549451,[18 17] ; [6 9],[16.8 18.2] ; [7.2 7.8],0
b1,1,0.465062,0.533685,[43 50] ; [12 19],[41.25 51.75] ; [13.75 17.25],0
n2,1,0.495088,0.465449,[8 4] ; [11  3],[8.76923077 3.23076923] ; [10.23076923  3.76923077],0
p1,1,0.536153,0.382716,[13 80] ; [ 3 28],[12. 81.] ; [ 4. 27.],0
n1,1,0.568261,0.3256,[4 8] ; [ 3 10],[3.36 8.64] ; [3.64 9.36],0
