Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,23.464623,[ 67 261] ; [28 27],[ 81.35770235 246.64229765] ; [13.64229765 41.35770235],1
s7,1,2.1e-05,18.138743,[ 73 242] ; [26 24],[ 85.43835616 229.56164384] ; [13.56164384 36.43835616],1
s6,1,2.7e-05,17.62944,[126 199] ; [38 17],[140.26315789 184.73684211] ; [23.73684211 31.26315789],1
p6,1,0.000275,13.234599,[ 93 231] ; [29 25],[104.57142857 219.42857143] ; [17.42857143 36.57142857],1
u1,1,0.004756,7.969938,[ 42 289] ; [15 40],[ 48.87823834 282.12176166] ; [ 8.12176166 46.87823834],0
s5,1,0.004876,7.924977,[ 64 259] ; [20 34],[ 71.96816976 251.03183024] ; [12.03183024 41.96816976],0
p11,1,0.011713,6.353869,[252  79] ; [33 22],[244.39119171  86.60880829] ; [40.60880829 14.39119171],0
s4,1,0.025464,4.992055,[ 29 299] ; [10 43],[ 33.57480315 294.42519685] ; [ 5.42519685 47.57480315],0
n1,1,0.062838,3.46084,[32 52] ; [ 2 13],[28.84848485 55.15151515] ; [5.15151515 9.84848485],0
r3,1,0.066476,3.367961,[300  30] ; [54  1],[303.42857143  26.57142857] ; [50.57142857  4.42857143],0
r1,1,0.07676,3.132203,[258  72] ; [37 18],[252.85714286  77.14285714] ; [42.14285714 12.85714286],0
d5,1,0.122898,2.379996,[265  66] ; [48  6],[269.0987013  61.9012987] ; [43.9012987 10.0987013],0
v3,1,0.172446,1.861554,[111 208] ; [24 30],[115.45576408 203.54423592] ; [19.54423592 34.45576408],0
n3,1,0.173668,1.850993,[59 24] ; [8 7],[56.74489796 26.25510204] ; [10.25510204  4.74489796],0
v4,1,0.179986,1.79774,[310  21] ; [54  1],[312.13471503  18.86528497] ; [51.86528497  3.13471503],0
p10,1,0.187299,1.73874,[238  88] ; [44 10],[241.92631579  84.07368421] ; [40.07368421 13.92631579],0
a6,1,0.202245,1.626089,[233  98] ; [34 21],[228.95595855 102.04404145] ; [38.04404145 16.95595855],0
a4,1,0.214201,1.5428,[138 191] ; [28 27],[142.22395833 186.77604167] ; [23.77604167 31.22395833],0
p7,1,0.239277,1.38485,[184 143] ; [35 19],[187.96062992 139.03937008] ; [31.03937008 22.96062992],0
u3,1,0.258733,1.275523,[56 51] ; [12  6],[58.208 48.792] ; [9.792 8.208],0
v1,1,0.307646,1.040756,[160 167] ; [31 24],[163.5 163.5] ; [27.5 27.5],0
d4,1,0.311581,1.023963,[256  74] ; [46  9],[258.85714286  71.14285714] ; [43.14285714 11.85714286],0
