Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,27.181818,[79 20] ; [13 26],[66. 33.] ; [26. 13.],1
d2,1,0.019629,5.44459,[29 71] ; [ 4 35],[23.74100719 76.25899281] ; [ 9.25899281 29.74100719],0
n6,1,0.066128,3.376602,[77 23] ; [24 15],[72.6618705 27.3381295] ; [28.3381295 10.6618705],0
n1,1,0.08389,2.987888,[16 17] ; [ 3 11],[13.34042553 19.65957447] ; [5.65957447 8.34042553],0
s5,1,0.106869,2.599915,[19 80] ; [ 3 35],[15.89781022 83.10218978] ; [ 6.10218978 31.89781022],0
d5,1,0.108866,2.570607,[51 49] ; [14 25],[46.76258993 53.23741007] ; [18.23741007 20.76258993],0
a4,1,0.138097,2.199034,[24 75] ; [ 5 34],[20.80434783 78.19565217] ; [ 8.19565217 30.80434783],0
p9,1,0.149973,2.072528,[71 26] ; [23 15],[67.54074074 29.45925926] ; [26.45925926 11.54074074],0
d3,1,0.166641,1.912905,[22 78] ; [13 26],[25.17985612 74.82014388] ; [ 9.82014388 29.17985612],0
v1,1,0.175098,1.838745,[43 54] ; [12 26],[39.51851852 57.48148148] ; [15.48148148 22.51851852],0
p8,1,0.186231,1.747185,[33 64] ; [18 21],[36.375 60.625] ; [14.625 24.375],0
p10,1,0.206546,1.595474,[67 31] ; [21 16],[63.88148148 34.11851852] ; [24.11851852 12.88148148],0
v3,1,0.211,1.564553,[29 69] ; [ 7 30],[26.13333333 71.86666667] ; [ 9.86666667 27.13333333],0
p3,1,0.228921,1.447552,[36 63] ; [10 29],[33. 66.] ; [13. 26.],0
p1,1,0.251464,1.31515,[ 7 93] ; [ 5 33],[ 8.69565217 91.30434783] ; [ 3.30434783 34.69565217],0
r3,1,0.256328,1.288481,[78 21] ; [34  5],[80.34782609 18.65217391] ; [31.65217391  7.34782609],0
b5,1,0.262738,1.254275,[51 49] ; [24 15],[53.95683453 46.04316547] ; [21.04316547 17.95683453],0
s6,1,0.27755,1.17905,[54 44] ; [17 21],[51.16176471 46.83823529] ; [19.83823529 18.16176471],0
v4,1,0.280729,1.163555,[84 15] ; [34  3],[85.89705882 13.10294118] ; [32.10294118  4.89705882],0
p11,1,0.338115,0.917567,[70 30] ; [24 15],[67.62589928 32.37410072] ; [26.37410072 12.62589928],0
p2,1,0.386903,0.748653,[66 34] ; [28 10],[68.11594203 31.88405797] ; [25.88405797 12.11594203],0
u3,1,0.408073,0.684408,[21 32] ; [11 11],[22.61333333 30.38666667] ; [ 9.38666667 12.61333333],0
a8,1,0.424628,0.63747,[ 9 81] ; [ 2 34],[ 7.85714286 82.14285714] ; [ 3.14285714 32.85714286],0
b3,1,0.434007,0.612076,[13 48] ; [ 3 19],[11.75903614 49.24096386] ; [ 4.24096386 17.75903614],0
b2,1,0.434007,0.612076,[13 48] ; [ 3 19],[11.75903614 49.24096386] ; [ 4.24096386 17.75903614],0
a2,1,0.447425,0.577167,[ 9 91] ; [ 2 37],[ 7.91366906 92.08633094] ; [ 3.08633094 35.91366906],0
u2,1,0.464248,0.535634,[17 36] ; [ 9 13],[18.37333333 34.62666667] ; [ 7.62666667 14.37333333],0
s7,1,0.502763,0.449099,[30 63] ; [10 28],[28.39694656 64.60305344] ; [11.60305344 26.39694656],0
s3,1,0.514049,0.425817,[45 52] ; [20 18],[46.7037037 50.2962963] ; [18.2962963 19.7037037],0
b4,1,0.575285,0.313919,[46 54] ; [20 19],[47.48201439 52.51798561] ; [18.51798561 20.48201439],0
p4,1,0.580453,0.305502,[41 59] ; [14 25],[39.56834532 60.43165468] ; [15.43165468 23.56834532],0
s4,1,0.597412,0.278916,[22 78] ; [ 7 32],[20.86330935 79.13669065] ; [ 8.13669065 30.86330935],0
r4,1,0.607827,0.263352,[76 24] ; [28 11],[74.82014388 25.17985612] ; [29.17985612  9.82014388],0
a6,1,0.639642,0.219211,[52 48] ; [22 17],[53.23741007 46.76258993] ; [20.76258993 18.23741007],0
a3,1,0.643671,0.213974,[47 51] ; [17 22],[45.7810219 52.2189781] ; [18.2189781 20.7810219],0
b1,1,0.655706,0.198782,[40 60] ; [14 25],[38.84892086 61.15107914] ; [15.15107914 23.84892086],0
p7,1,0.678287,0.172061,[43 56] ; [18 20],[44.08029197 54.91970803] ; [16.91970803 21.08029197],0
a5,1,0.683603,0.166098,[50 50] ; [18 21],[48.92086331 51.07913669] ; [19.07913669 19.92086331],0
s2,1,0.68552,0.163979,[30 68] ; [13 25],[30.98529412 67.01470588] ; [12.01470588 25.98529412],0
n2,1,0.713858,0.134454,[26  8] ; [10  4],[25.5  8.5] ; [10.5  3.5],0
r2,1,0.726152,0.122674,[84 15] ; [34  5],[84.65217391 14.34782609] ; [33.34782609  5.65217391],0
v2,1,0.755661,0.096835,[32 61] ; [12 26],[31.23664122 61.76335878] ; [12.76335878 25.23664122],0
s8,1,0.86432,0.029199,[29 70] ; [12 27],[29.41304348 69.58695652] ; [11.58695652 27.41304348],0
a7,1,0.880545,0.022584,[55 45] ; [22 17],[55.39568345 44.60431655] ; [21.60431655 17.39568345],0
r1,1,0.894587,0.017557,[59 39] ; [23 16],[58.65693431 39.34306569] ; [23.34306569 15.65693431],0
s1,1,0.911167,0.012447,[ 7 91] ; [ 3 36],[ 7.15328467 90.84671533] ; [ 2.84671533 36.15328467],0
n3,1,0.933499,0.006963,[25  8] ; [10  3],[25.10869565  7.89130435] ; [9.89130435 3.10869565],0
