Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.007374,7.17964,[4 8] ; [14  3],[7.44827586 4.55172414] ; [10.55172414  6.44827586],0
s2,1,0.015297,5.881944,[10  2] ; [ 6 10],[6.85714286 5.14285714] ; [9.14285714 6.85714286],0
s6,1,0.021947,5.25,[9 3] ; [ 5 11],[6. 6.] ; [8. 8.],0
s3,1,0.021947,5.25,[9 3] ; [ 5 11],[6. 6.] ; [8. 8.],0
s7,1,0.022136,5.235043,[10  2] ; [5 8],[7.2 4.8] ; [7.8 5.2],0
a5,1,0.047388,3.931571,[10  2] ; [8 9],[7.44827586 4.55172414] ; [10.55172414  6.44827586],0
p11,1,0.0513,3.798465,[11  1] ; [10  7],[8.68965517 3.31034483] ; [12.31034483  4.68965517],0
a6,1,0.057114,3.619256,[5 7] ; [13  4],[7.44827586 4.55172414] ; [10.55172414  6.44827586],0
n6,1,0.089906,2.876058,[10  2] ; [9 8],[7.86206897 4.13793103] ; [11.13793103  5.86206897],0
p9,1,0.094714,2.792367,[11  1] ; [11  6],[9.10344828 2.89655172] ; [12.89655172  4.10344828],0
n5,1,0.143606,2.138889,[11  1] ; [11  5],[9.42857143 2.57142857] ; [12.57142857  3.42857143],0
a7,1,0.21918,1.509733,[5 7] ; [11  6],[6.62068966 5.37931034] ; [9.37931034 7.62068966],0
d4,1,0.227907,1.453877,[9 3] ; [9 8],[7.44827586 4.55172414] ; [10.55172414  6.44827586],0
d3,1,0.228871,1.447863,[4 8] ; [9 7],[5.57142857 6.42857143] ; [7.42857143 8.57142857],0
d2,1,0.260426,1.266488,[6 6] ; [ 5 12],[4.55172414 7.44827586] ; [ 6.44827586 10.55172414],0
b5,1,0.268994,1.221872,[10  2] ; [11  6],[8.68965517 3.31034483] ; [12.31034483  4.68965517],0
a3,1,0.295694,1.093514,[8 4] ; [8 9],[6.62068966 5.37931034] ; [9.37931034 7.62068966],0
p7,1,0.304807,1.053044,[7 4] ; [13  3],[8.14814815 2.85185185] ; [11.85185185  4.14814815],0
v3,1,0.377822,0.777778,[4 8] ; [ 3 13],[3. 9.] ; [ 4. 12.],0
v4,1,0.377822,0.777778,[8 4] ; [13  3],[9. 3.] ; [12.  4.],0
r1,1,0.377822,0.777778,[ 2 10] ; [ 5 11],[3. 9.] ; [ 4. 12.],0
n3,1,0.416448,0.660317,[1 2] ; [6 4],[1.61538462 1.38461538] ; [5.38461538 4.61538462],0
a4,1,0.428398,0.627163,[6 6] ; [ 6 11],[4.96551724 7.03448276] ; [7.03448276 9.96551724],0
p5,1,0.473763,0.513186,[ 1 11] ; [ 3 14],[ 1.65517241 10.34482759] ; [ 2.34482759 14.65517241],0
p2,1,0.473763,0.513186,[11  1] ; [14  3],[10.34482759  1.65517241] ; [14.65517241  2.34482759],0
p4,1,0.555086,0.348284,[9 3] ; [11  6],[8.27586207 3.72413793] ; [11.72413793  5.27586207],0
n2,1,0.630701,0.231111,[2 1] ; [8 2],[2.30769231 0.69230769] ; [7.69230769 2.30769231],0
p8,1,0.637947,0.221437,[6 6] ; [10  7],[6.62068966 5.37931034] ; [9.37931034 7.62068966],0
n4,1,0.668129,0.183799,[8 4] ; [10  7],[7.44827586 4.55172414] ; [10.55172414  6.44827586],0
v1,1,0.679365,0.170842,[5 6] ; [ 6 10],[4.48148148 6.51851852] ; [6.51851852 9.48148148],0
u1,1,0.706146,0.142157,[ 2 10] ; [ 2 15],[ 1.65517241 10.34482759] ; [ 2.34482759 14.65517241],0
s4,1,0.71714,0.13125,[3 9] ; [ 5 11],[3.42857143 8.57142857] ; [ 4.57142857 11.42857143],0
