Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.3e-05,16.756107,[20 25] ; [40  7],[29.34782609 15.65217391] ; [30.65217391 16.34782609],1
v4,1,0.000157,14.283043,[24 21] ; [41  5],[32.14285714 12.85714286] ; [32.85714286 13.14285714],1
r3,1,0.000563,11.893515,[26 19] ; [42  5],[33.26086957 11.73913043] ; [34.73913043 12.26086957],1
p9,1,0.001688,9.861612,[16 27] ; [33 14],[23.41111111 19.58888889] ; [25.58888889 21.41111111],0
p11,1,0.002536,9.114638,[11 34] ; [26 21],[18.09782609 26.90217391] ; [18.90217391 28.09782609],0
p4,1,0.008802,6.862515,[ 5 40] ; [16 31],[10.27173913 34.72826087] ; [10.72826087 36.27173913],0
r2,1,0.009252,6.773439,[34 10] ; [45  2],[38.1978022  5.8021978] ; [40.8021978  6.1978022],0
a7,1,0.011531,6.381593,[22 23] ; [35 12],[27.88043478 17.11956522] ; [29.11956522 17.88043478],0
a6,1,0.012057,6.302498,[21 24] ; [34 13],[26.90217391 18.09782609] ; [28.09782609 18.90217391],0
p10,1,0.01644,5.755159,[13 30] ; [26 21],[18.63333333 24.36666667] ; [20.36666667 26.63333333],0
s6,1,0.027228,4.876291,[10 34] ; [21 26],[14.98901099 29.01098901] ; [16.01098901 30.98901099],0
b5,1,0.037852,4.311668,[19 26] ; [30 17],[23.9673913 21.0326087] ; [25.0326087 21.9673913],0
p3,1,0.062986,3.456969,[ 6 38] ; [14 33],[ 9.67032967 34.32967033] ; [10.32967033 36.67032967],0
s2,1,0.066221,3.374298,[11 34] ; [20 27],[15.16304348 29.83695652] ; [15.83695652 31.16304348],0
d5,1,0.082298,3.018917,[28 17] ; [37 10],[31.79347826 13.20652174] ; [33.20652174 13.79347826],0
d2,1,0.096958,2.754875,[22 23] ; [15 32],[18.09782609 26.90217391] ; [18.90217391 28.09782609],0
b4,1,0.09771,2.74253,[22 23] ; [31 16],[25.92391304 19.07608696] ; [27.07608696 19.92391304],0
d3,1,0.097793,2.741174,[21 24] ; [30 17],[24.94565217 20.05434783] ; [26.05434783 20.94565217],0
p6,1,0.098441,2.730625,[ 2 42] ; [ 7 40],[ 4.35164835 39.64835165] ; [ 4.64835165 42.35164835],0
v1,1,0.106994,2.598064,[15 30] ; [23 23],[18.79120879 26.20879121] ; [19.20879121 26.79120879],0
d4,1,0.121426,2.398832,[30 15] ; [38  9],[33.26086957 11.73913043] ; [34.73913043 12.26086957],0
s8,1,0.140382,2.173765,[ 6 39] ; [12 35],[ 8.80434783 36.19565217] ; [ 9.19565217 37.80434783],0
s3,1,0.151285,2.059246,[15 29] ; [23 24],[18.37362637 25.62637363] ; [19.62637363 27.37362637],0
s4,1,0.157875,1.994465,[ 4 41] ; [ 9 38],[ 6.35869565 38.64130435] ; [ 6.64130435 40.35869565],0
r1,1,0.163153,1.944754,[26 19] ; [33 13],[29.17582418 15.82417582] ; [29.82417582 16.17582418],0
p8,1,0.171885,1.866429,[ 5 40] ; [10 36],[ 7.41758242 37.58241758] ; [ 7.58241758 38.41758242],0
s7,1,0.175554,1.834865,[ 7 34] ; [13 31],[ 9.64705882 31.35294118] ; [10.35294118 33.64705882],0
n3,1,0.182422,1.777778,[13 12] ; [11  4],[15. 10.] ; [9. 6.],0
a2,1,0.187053,1.740678,[ 8 37] ; [ 4 43],[ 5.86956522 39.13043478] ; [ 6.13043478 40.86956522],0
b2,1,0.196005,1.671891,[15 14] ; [ 7 14],[12.76 16.24] ; [ 9.24 11.76],0
b3,1,0.196005,1.671891,[15 14] ; [ 7 14],[12.76 16.24] ; [ 9.24 11.76],0
u3,1,0.202892,1.621436,[ 9 10] ; [11  5],[10.85714286  8.14285714] ; [9.14285714 6.85714286],0
a4,1,0.217041,1.523827,[21 24] ; [16 31],[18.09782609 26.90217391] ; [18.90217391 28.09782609],0
b1,1,0.217197,1.522795,[22 23] ; [17 30],[19.07608696 25.92391304] ; [19.92391304 27.07608696],0
v2,1,0.225062,1.471797,[13 28] ; [20 25],[15.73255814 25.26744186] ; [17.26744186 27.73255814],0
s5,1,0.304962,1.05237,[ 5 36] ; [ 9 35],[ 6.75294118 34.24705882] ; [ 7.24705882 36.75294118],0
n1,1,0.325792,0.965552,[14 13] ; [5 9],[12.51219512 14.48780488] ; [6.48780488 7.51219512],0
u1,1,0.32795,0.956974,[ 1 44] ; [ 3 44],[ 1.95652174 43.04347826] ; [ 2.04347826 44.95652174],0
n2,1,0.352567,0.864198,[14 13] ; [10  5],[15.42857143 11.57142857] ; [8.57142857 6.42857143],0
a3,1,0.498635,0.45784,[26 18] ; [31 16],[27.56043956 16.43956044] ; [29.43956044 17.56043956],0
n4,1,0.679833,0.170314,[22 23] ; [25 22],[22.98913043 22.01086957] ; [24.01086957 22.98913043],0
n5,1,0.708845,0.139433,[17 28] ; [16 31],[16.14130435 28.85869565] ; [16.85869565 30.14130435],0
