Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.007661,7.111111,[9 1] ; [41 49],[5. 5.] ; [45. 45.],0
a3,1,0.013314,6.126842,[3 7] ; [61 27],[6.53061224 3.46938776] ; [57.46938776 30.53061224],0
p8,1,0.019696,5.438644,[7 3] ; [29 60],[3.63636364 6.36363636] ; [32.36363636 56.63636364],0
p12,1,0.022795,5.184069,[2 8] ; [ 3 86],[0.50505051 9.49494949] ; [ 4.49494949 84.50505051],0
a6,1,0.049364,3.862937,[3 7] ; [56 34],[5.9 4.1] ; [53.1 36.9],0
s8,1,0.07897,3.085973,[7 3] ; [36 52],[4.3877551 5.6122449] ; [38.6122449 49.3877551],0
u2,1,0.102458,2.666852,[5 2] ; [10 17],[3.08823529 3.91176471] ; [11.91176471 15.08823529],0
n5,1,0.115866,2.472328,[9 1] ; [57 30],[6.80412371 3.19587629] ; [59.19587629 27.80412371],0
p9,1,0.115866,2.472328,[9 1] ; [57 30],[6.80412371 3.19587629] ; [59.19587629 27.80412371],0
s5,1,0.135932,2.223416,[5 3] ; [30 54],[3.04347826 4.95652174] ; [31.95652174 52.04347826],0
p10,1,0.168804,1.893529,[8 2] ; [50 37],[5.97938144 4.02061856] ; [52.02061856 34.97938144],0
d5,1,0.178129,1.813163,[6 4] ; [71 19],[7.7 2.3] ; [69.3 20.7],0
p6,1,0.227035,1.459342,[5 5] ; [27 60],[3.29896907 6.70103093] ; [28.70103093 58.29896907],0
a5,1,0.228154,1.452334,[5 5] ; [62 28],[6.7 3.3] ; [60.3 29.7],0
b4,1,0.229766,1.442308,[7 3] ; [45 45],[5.2 4.8] ; [46.8 43.2],0
v2,1,0.230689,1.436605,[4 6] ; [52 35],[5.77319588 4.22680412] ; [50.22680412 36.77319588],0
b3,1,0.278625,1.173783,[1 6] ; [15 28],[2.24 4.76] ; [13.76 29.24],0
b2,1,0.278625,1.173783,[1 6] ; [15 28],[2.24 4.76] ; [13.76 29.24],0
s3,1,0.30059,1.071573,[7 3] ; [47 42],[5.45454545 4.54545455] ; [48.54545455 40.45454545],0
p3,1,0.32992,0.949213,[6 4] ; [39 50],[4.54545455 5.45454545] ; [40.45454545 48.54545455],0
p1,1,0.345508,0.889888,[2 8] ; [ 9 80],[1.11111111 8.88888889] ; [ 9.88888889 79.11111111],0
s4,1,0.360011,0.837856,[3 7] ; [16 73],[1.91919192 8.08080808] ; [17.08080808 71.91919192],0
s2,1,0.36602,0.817132,[7 3] ; [49 40],[5.65656566 4.34343434] ; [50.34343434 38.65656566],0
b1,1,0.42334,0.641026,[4 6] ; [48 42],[5.2 4.8] ; [46.8 43.2],0
a8,1,0.438643,0.599829,[2 7] ; [10 68],[1.24137931 7.75862069] ; [10.75862069 67.24137931],0
n6,1,0.457598,0.551762,[8 2] ; [59 27],[6.97916667 3.02083333] ; [60.02083333 25.97916667],0
d1,1,0.463266,0.537993,[4 6] ; [47 43],[5.1 4.9] ; [45.9 44.1],0
v3,1,0.476667,0.506479,[5 5] ; [33 53],[3.95833333 6.04166667] ; [34.04166667 51.95833333],0
a4,1,0.526483,0.401176,[4 6] ; [45 44],[4.94949495 5.05050505] ; [44.05050505 44.94949495],0
p7,1,0.5722,0.319016,[6 4] ; [44 43],[5.15463918 4.84536082] ; [44.84536082 42.15463918],0
a2,1,0.599185,0.276228,[2 8] ; [25 65],[2.7 7.3] ; [24.3 65.7],0
b5,1,0.619733,0.246244,[6 4] ; [61 29],[6.7 3.3] ; [60.3 29.7],0
r1,1,0.621507,0.243754,[7 3] ; [67 20],[7.62886598 2.37113402] ; [66.37113402 20.62886598],0
s7,1,0.703882,0.144465,[6 4] ; [44 38],[5.43478261 4.56521739] ; [44.56521739 37.43478261],0
r3,1,0.81923,0.052229,[9 1] ; [77 11],[8.7755102 1.2244898] ; [77.2244898 10.7755102],0
v4,1,0.828391,0.046988,[9 1] ; [78 11],[8.78787879 1.21212121] ; [78.21212121 10.78787879],0
s1,1,0.840328,0.040592,[1 9] ; [ 7 79],[0.83333333 9.16666667] ; [ 7.16666667 78.83333333],0
u1,1,0.862238,0.030111,[2 8] ; [16 74],[1.8 8.2] ; [16.2 73.8],0
d4,1,0.872145,0.0259,[8 2] ; [70 20],[7.8 2.2] ; [70.2 19.8],0
d2,1,0.893845,0.017806,[5 5] ; [43 47],[4.8 5.2] ; [43.2 46.8],0
a7,1,0.898811,0.016171,[7 3] ; [64 25],[7.17171717 2.82828283] ; [63.82828283 25.17171717],0
u3,1,0.924978,0.008867,[4 3] ; [16 13],[3.88888889 3.11111111] ; [16.11111111 12.88888889],0
d3,1,0.942544,0.005195,[7 3] ; [62 28],[6.9 3.1] ; [62.1 27.9],0
