Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1e-05,19.560458,[ 80 268] ; [33 34],[ 94.75662651 253.24337349] ; [18.24337349 48.75662651],1
s2,1,0.000166,14.177077,[163 196] ; [49 21],[177.40792541 181.59207459] ; [34.59207459 35.40792541],1
s6,1,0.001425,10.173386,[211 148] ; [56 15],[222.91395349 136.08604651] ; [44.08604651 26.91395349],0
n4,1,0.002142,9.424035,[265  95] ; [40 32],[254.16666667 105.83333333] ; [50.83333333 21.16666667],0
s3,1,0.002735,8.97613,[186 172] ; [50 20],[197.40186916 160.59813084] ; [38.59813084 31.40186916],0
a8,1,0.008465,6.932368,[ 49 283] ; [ 2 65],[ 42.43609023 289.56390977] ; [ 8.56390977 58.43609023],0
n5,1,0.010595,6.53208,[245 113] ; [38 34],[235.61395349 122.38604651] ; [47.38604651 24.61395349],0
b3,1,0.013856,6.056415,[ 90 135] ; [ 7 30],[ 83.30152672 141.69847328] ; [13.69847328 23.30152672],0
b2,1,0.013856,6.056415,[ 90 135] ; [ 7 30],[ 83.30152672 141.69847328] ; [13.69847328 23.30152672],0
p11,1,0.031912,4.603206,[262 100] ; [43 29],[254.40092166 107.59907834] ; [50.59907834 21.40092166],0
r2,1,0.053508,3.727994,[331  27] ; [71  1],[334.68837209  23.31162791] ; [67.31162791  4.68837209],0
p2,1,0.060946,3.511458,[265  96] ; [45 27],[258.45265589 102.54734411] ; [51.54734411 20.45265589],0
b1,1,0.068717,3.313394,[147 215] ; [21 51],[140.12903226 221.87096774] ; [27.87096774 44.12903226],0
d3,1,0.088643,2.898853,[231 129] ; [53 18],[237.21577726 122.78422274] ; [46.78422274 24.21577726],0
p9,1,0.128891,2.305815,[272  86] ; [59 11],[276.86448598  81.13551402] ; [54.13551402 15.86448598],0
v4,1,0.133298,2.253665,[332  28] ; [69  2],[334.94199536  25.05800464] ; [66.05800464  4.94199536],0
p1,1,0.168712,1.894347,[ 16 345] ; [ 6 66],[ 18.34180139 342.65819861] ; [ 3.65819861 68.34180139],0
r4,1,0.182955,1.773452,[317  45] ; [67  5],[320.29493088  41.70506912] ; [63.70506912  8.29493088],0
v3,1,0.210805,1.565887,[119 222] ; [19 51],[114.49635036 226.50364964] ; [23.50364964 46.49635036],0
u2,1,0.227215,1.458212,[65 44] ; [ 8 10],[62.65354331 46.34645669] ; [10.34645669  7.65354331],0
v1,1,0.251352,1.315774,[165 181] ; [29 43],[160.58373206 185.41626794] ; [33.41626794 38.58373206],0
s8,1,0.278566,1.174074,[131 230] ; [31 41],[135.06235566 225.93764434] ; [26.93764434 45.06235566],0
a3,1,0.308483,1.03716,[249 112] ; [54 18],[252.61662818 108.38337182] ; [50.38337182 21.61662818],0
d2,1,0.33289,0.937621,[177 182] ; [31 41],[173.25290023 185.74709977] ; [34.74709977 37.25290023],0
a7,1,0.347668,0.88195,[250 112] ; [53 18],[253.31639723 108.68360277] ; [49.68360277 21.31639723],0
n1,1,0.375706,0.784705,[39 69] ; [ 7 19],[37.07462687 70.92537313] ; [ 8.92537313 17.07462687],0
p12,1,0.380929,0.767701,[ 19 342] ; [ 2 69],[ 17.54861111 343.45138889] ; [ 3.45138889 67.54861111],0
p5,1,0.405786,0.691113,[ 18 339] ; [ 2 70],[ 16.64335664 340.35664336] ; [ 3.35664336 68.64335664],0
n2,1,0.430545,0.621352,[76 34] ; [20  6],[77.64705882 32.35294118] ; [18.35294118  7.64705882],0
s7,1,0.436143,0.60641,[147 197] ; [33 36],[149.92736077 194.07263923] ; [30.07263923 38.92736077],0
p10,1,0.454027,0.560579,[256 101] ; [54 17],[258.57476636  98.42523364] ; [51.42523364 19.57476636],0
s1,1,0.462487,0.539868,[ 17 338] ; [ 2 69],[ 15.83333333 339.16666667] ; [ 3.16666667 67.83333333],0
