Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,99.817992,[361   5] ; [16 11],[351.09923664  14.90076336] ; [25.90076336  1.09923664],1
r2,1,0.0,74.581431,[360   5] ; [18  9],[351.96428571  13.03571429] ; [26.03571429  0.96428571],1
r3,1,0.0,50.628991,[360   7] ; [20  8],[353.06329114  13.93670886] ; [26.93670886  1.06329114],1
r1,1,0.0,48.308183,[323  43] ; [11 17],[310.26395939  55.73604061] ; [23.73604061  4.26395939],1
n6,1,3.9e-05,16.929714,[334  31] ; [18  9],[327.75510204  37.24489796] ; [24.24489796  2.75510204],1
p4,1,6.3e-05,16.002396,[261 102] ; [10 18],[251.59335038 111.40664962] ; [19.40664962  8.59335038],1
a7,1,0.000754,11.352205,[271  95] ; [13 16],[263.14936709 102.85063291] ; [20.85063291  8.14936709],1
s1,1,0.002186,9.386107,[ 10 350] ; [ 4 25],[ 12.9562982 347.0437018] ; [ 1.0437018 27.9562982],0
p10,1,0.002364,9.243235,[316  47] ; [17  9],[310.74293059  52.25706941] ; [22.25706941  3.74293059],0
b1,1,0.002784,8.944124,[137 230] ; [19 10],[144.57575758 222.42424242] ; [11.42424242 17.57575758],0
s5,1,0.004682,7.998476,[145 205] ; [ 4 24],[137.96296296 212.03703704] ; [11.03703704 16.96296296],0
p8,1,0.005847,7.596871,[222 135] ; [10 18],[215.12727273 141.87272727] ; [16.87272727 11.12727273],0
p11,1,0.007491,7.151292,[311  56] ; [19 10],[305.83333333  61.16666667] ; [24.16666667  4.83333333],0
p7,1,0.010606,6.530113,[254 101] ; [13 14],[248.12827225 106.87172775] ; [18.87172775  8.12827225],0
u3,1,0.013075,6.159,[56 34] ; [1 6],[52.88659794 37.11340206] ; [4.11340206 2.88659794],0
p3,1,0.020135,5.400185,[218 146] ; [10 17],[212.25575448 151.74424552] ; [15.74424552 11.25575448],0
p2,1,0.02509,5.017694,[323  41] ; [20  7],[319.31457801  44.68542199] ; [23.68542199  3.31457801],0
s6,1,0.027119,4.883187,[261  96] ; [15 13],[255.92727273 101.07272727] ; [20.07272727  7.92727273],0
s2,1,0.027331,4.86976,[206 154] ; [10 18],[200.41237113 159.58762887] ; [15.58762887 12.41237113],0
p6,1,0.028176,4.81726,[171 187] ; [ 7 20],[165.51688312 192.48311688] ; [12.48311688 14.51688312],0
a6,1,0.028221,4.81454,[249 116] ; [14 15],[243.64213198 121.35786802] ; [19.35786802  9.64213198],0
d1,1,0.028728,4.783828,[239 128] ; [13 16],[233.54545455 133.45454545] ; [18.45454545 10.54545455],0
p9,1,0.028925,4.772048,[322  40] ; [21  7],[318.37435897  43.62564103] ; [24.62564103  3.37435897],0
v3,1,0.037664,4.320137,[193 161] ; [10 19],[187.62924282 166.37075718] ; [15.37075718 13.62924282],0
