Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,29.173788,[50  9] ; [ 9 23],[38.25274725 20.74725275] ; [20.74725275 11.25274725],1
r3,1,2e-06,22.687773,[53  6] ; [14 18],[43.43956044 15.56043956] ; [23.56043956  8.43956044],1
r2,1,0.001494,10.085587,[56  3] ; [22  9],[51.13333333  7.86666667] ; [26.86666667  4.13333333],0
v4,1,0.005169,7.819351,[47 11] ; [17 15],[41.24444444 16.75555556] ; [22.75555556  9.24444444],0
d4,1,0.0056,7.674576,[49 10] ; [18 14],[43.43956044 15.56043956] ; [23.56043956  8.43956044],0
u2,1,0.006052,7.534799,[15  6] ; [ 3 10],[11.11764706  9.88235294] ; [6.88235294 6.11764706],0
n5,1,0.013742,6.071003,[16 43] ; [17 15],[21.3956044 37.6043956] ; [11.6043956 20.3956044],0
d2,1,0.025757,4.972281,[19 40] ; [18 14],[23.98901099 35.01098901] ; [13.01098901 18.98901099],0
s6,1,0.029262,4.752155,[24 34] ; [ 6 26],[19.33333333 38.66666667] ; [10.66666667 21.33333333],0
p1,1,0.037832,4.312552,[ 4 54] ; [ 7 25],[ 7.08888889 50.91111111] ; [ 3.91111111 28.08888889],0
v2,1,0.044259,4.046643,[25 30] ; [ 7 23],[20.70588235 34.29411765] ; [11.29411765 18.70588235],0
b2,1,0.067532,3.342014,[11 21] ; [11  7],[14.08 17.92] ; [ 7.92 10.08],0
b3,1,0.067532,3.342014,[11 21] ; [11  7],[14.08 17.92] ; [ 7.92 10.08],0
u3,1,0.086023,2.947261,[15  7] ; [5 8],[12.57142857  9.42857143] ; [7.42857143 5.57142857],0
a1,1,0.089987,2.8746,[ 3 56] ; [ 5 27],[ 5.18681319 53.81318681] ; [ 2.81318681 29.18681319],0
s3,1,0.091387,2.849778,[28 31] ; [ 9 22],[24.25555556 34.74444444] ; [12.74444444 18.25555556],0
d5,1,0.092035,2.838422,[45 14] ; [19 13],[41.49450549 17.50549451] ; [22.50549451  9.49450549],0
s2,1,0.097385,2.747852,[23 36] ; [ 7 25],[19.45054945 39.54945055] ; [10.54945055 21.45054945],0
d3,1,0.113938,2.498738,[36 23] ; [14 18],[32.41758242 26.58241758] ; [17.58241758 14.41758242],0
a5,1,0.133642,2.249683,[39 20] ; [16 16],[35.65934066 23.34065934] ; [19.34065934 12.65934066],0
p2,1,0.163153,1.944754,[33 26] ; [13 19],[29.82417582 29.17582418] ; [16.17582418 15.82417582],0
p8,1,0.197171,1.663204,[12 47] ; [ 3 28],[ 9.83333333 49.16666667] ; [ 5.16666667 25.83333333],0
