Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,29.440274,[51  6] ; [11 21],[39.70786517 17.29213483] ; [22.29213483  9.70786517],1
s7,1,0.0,25.615991,[42 12] ; [ 7 25],[30.76744186 23.23255814] ; [18.23255814 13.76744186],1
s8,1,0.000604,11.762805,[30 27] ; [ 5 27],[22.41573034 34.58426966] ; [12.58426966 19.41573034],1
s6,1,0.000679,11.546496,[52  5] ; [19 12],[45.98863636 11.01136364] ; [25.01136364  5.98863636],1
a6,1,0.005022,7.871337,[42 15] ; [14 18],[35.86516854 21.13483146] ; [20.13483146 11.86516854],0
p2,1,0.020624,5.358304,[48  9] ; [20 12],[43.5505618 13.4494382] ; [24.4494382  7.5505618],0
r2,1,0.040057,4.21546,[53  3] ; [25  6],[50.20689655  5.79310345] ; [27.79310345  3.20689655],0
u1,1,0.047331,3.933593,[10 47] ; [ 1 31],[ 7.04494382 49.95505618] ; [ 3.95505618 28.04494382],0
p9,1,0.048729,3.884664,[47  9] ; [21 11],[43.27272727 12.72727273] ; [24.72727273  7.27272727],0
a7,1,0.055813,3.657635,[41 15] ; [17 15],[36.90909091 19.09090909] ; [21.09090909 10.90909091],0
a2,1,0.065685,3.387688,[12 45] ; [ 2 30],[ 8.96629213 48.03370787] ; [ 5.03370787 26.96629213],0
b5,1,0.067914,3.332738,[38 19] ; [15 17],[33.94382022 23.05617978] ; [19.05617978 12.94382022],0
u3,1,0.074908,3.17205,[16  5] ; [6 7],[13.58823529  7.41176471] ; [8.41176471 4.58823529],0
r3,1,0.088679,2.898183,[51  5] ; [25  7],[48.36363636  7.63636364] ; [27.63636364  4.36363636],0
v4,1,0.104515,2.63526,[55  2] ; [28  4],[53.15730337  3.84269663] ; [29.84269663  2.15730337],0
p4,1,0.117696,2.44771,[33 24] ; [13 19],[29.46067416 27.53932584] ; [16.53932584 15.46067416],0
n1,1,0.129279,2.301136,[ 3 15] ; [5 7],[ 4.8 13.2] ; [3.2 8.8],0
s5,1,0.142967,2.145733,[26 26] ; [10 20],[22.82926829 29.17073171] ; [13.17073171 16.82926829],0
v3,1,0.173065,1.856192,[11 46] ; [10 21],[13.60227273 43.39772727] ; [ 7.39772727 23.60227273],0
d1,1,0.199593,1.645347,[33 24] ; [14 18],[30.1011236 26.8988764] ; [16.8988764 15.1011236],0
r4,1,0.202554,1.623865,[46 11] ; [22 10],[43.5505618 13.4494382] ; [24.4494382  7.5505618],0
d5,1,0.216332,1.528536,[42 14] ; [20 12],[39.45454545 16.54545455] ; [22.54545455  9.45454545],0
a4,1,0.248752,1.330301,[23 34] ; [ 9 23],[20.49438202 36.50561798] ; [11.50561798 20.49438202],0
p5,1,0.259454,1.271666,[ 1 56] ; [ 2 30],[ 1.92134831 55.07865169] ; [ 1.07865169 30.92134831],0
n4,1,0.296632,1.089276,[35 22] ; [16 16],[32.66292135 24.33707865] ; [18.33707865 13.66292135],0
r1,1,0.300979,1.069854,[40 17] ; [19 13],[37.78651685 19.21348315] ; [21.21348315 10.78651685],0
p6,1,0.311821,1.022949,[24 33] ; [10 22],[21.7752809 35.2247191] ; [12.2247191 19.7752809],0
v2,1,0.334043,0.93316,[18 36] ; [14 18],[20.09302326 33.90697674] ; [11.90697674 20.09302326],0
p8,1,0.415977,0.661654,[26 30] ; [12 20],[24.18181818 31.81818182] ; [13.81818182 18.18181818],0
p11,1,0.491519,0.473199,[38 19] ; [19 13],[36.50561798 20.49438202] ; [20.49438202 11.50561798],0
b1,1,0.491519,0.473199,[19 38] ; [13 19],[20.49438202 36.50561798] ; [11.50561798 20.49438202],0
p10,1,0.495045,0.465543,[43 14] ; [22 10],[41.62921348 15.37078652] ; [23.37078652  8.62921348],0
n3,1,0.57615,0.3125,[15  3] ; [9 3],[14.4  3.6] ; [9.6 2.4],0
n6,1,0.668557,0.183295,[45 12] ; [24  8],[44.19101124 12.80898876] ; [24.80898876  7.19101124],0
n5,1,0.670991,0.180445,[33 24] ; [20 12],[33.94382022 23.05617978] ; [19.05617978 12.94382022],0
a1,1,0.675474,0.175265,[ 1 56] ; [ 1 31],[ 1.28089888 55.71910112] ; [ 0.71910112 31.28089888],0
a3,1,0.724493,0.124229,[36 21] ; [19 13],[35.2247191 21.7752809] ; [19.7752809 12.2247191],0
a5,1,0.724493,0.124229,[36 21] ; [19 13],[35.2247191 21.7752809] ; [19.7752809 12.2247191],0
d2,1,0.742431,0.108001,[27 30] ; [14 18],[26.25842697 30.74157303] ; [14.74157303 17.25842697],0
n2,1,0.744954,0.10582,[13  5] ; [8 4],[12.6  5.4] ; [8.4 3.6],0
p3,1,0.767196,0.087643,[25 32] ; [13 19],[24.33707865 32.66292135] ; [13.66292135 18.33707865],0
d4,1,0.774551,0.082041,[43 14] ; [25  7],[43.5505618 13.4494382] ; [24.4494382  7.5505618],0
b4,1,0.791615,0.069809,[34 23] ; [20 12],[34.58426966 22.41573034] ; [19.41573034 12.58426966],0
b2,1,0.842578,0.039441,[ 4 21] ; [ 4 18],[ 4.25531915 20.74468085] ; [ 3.74468085 18.25531915],0
b3,1,0.842578,0.039441,[ 4 21] ; [ 4 18],[ 4.25531915 20.74468085] ; [ 3.74468085 18.25531915],0
p12,1,0.846166,0.037641,[ 3 54] ; [ 2 30],[ 3.20224719 53.79775281] ; [ 1.79775281 30.20224719],0
u2,1,0.850768,0.035396,[12  9] ; [7 6],[11.73529412  9.26470588] ; [7.26470588 5.73529412],0
p7,1,0.86049,0.030888,[32 23] ; [18 14],[31.6091954 23.3908046] ; [18.3908046 13.6091954],0
p1,1,0.923955,0.009111,[ 5 52] ; [ 3 29],[ 5.12359551 51.87640449] ; [ 2.87640449 29.12359551],0
d3,1,0.96437,0.001995,[40 16] ; [23  9],[40.09090909 15.90909091] ; [22.90909091  9.09090909],0
