Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,25.069172,[106  28] ; [14 24],[93.48837209 40.51162791] ; [26.51162791 11.48837209],1
p4,1,0.000291,13.129234,[69 65] ; [ 7 31],[59.20930233 74.79069767] ; [16.79069767 21.20930233],1
n4,1,0.000488,12.161787,[108  26] ; [20 18],[99.72093023 34.27906977] ; [28.27906977  9.72093023],1
s6,1,0.001221,10.458952,[111  21] ; [22 15],[103.8816568  28.1183432] ; [29.1183432  7.8816568],0
p9,1,0.001476,10.108092,[113  19] ; [23 14],[106.22485207  25.77514793] ; [29.77514793  7.22485207],0
p11,1,0.002773,8.950797,[98 36] ; [18 20],[90.37209302 43.62790698] ; [25.62790698 12.37209302],0
u1,1,0.004148,8.217941,[ 31 103] ; [ 1 37],[ 24.93023256 109.06976744] ; [ 7.06976744 30.93023256],0
p10,1,0.004517,8.063271,[106  27] ; [21 16],[99.35882353 33.64117647] ; [27.64117647  9.35882353],0
a2,1,0.00575,7.626997,[35 99] ; [ 2 36],[ 28.8255814 105.1744186] ; [ 8.1744186 29.8255814],0
a1,1,0.00986,6.65999,[  1 133] ; [ 3 35],[  3.11627907 130.88372093] ; [ 0.88372093 37.11627907],0
b5,1,0.015846,5.819883,[92 42] ; [18 20],[85.69767442 48.30232558] ; [24.30232558 13.69767442],0
s8,1,0.024562,5.054475,[73 60] ; [13 25],[66.88888889 66.11111111] ; [19.11111111 18.88888889],0
s7,1,0.027656,4.84941,[76 52] ; [13 21],[70.32098765 57.67901235] ; [18.67901235 15.32098765],0
a7,1,0.03512,4.439345,[101  33] ; [22 16],[95.8255814 38.1744186] ; [27.1744186 10.8255814],0
b2,1,0.041903,4.139104,[25 52] ; [10  7],[28.67021277 48.32978723] ; [ 6.32978723 10.67021277],0
b3,1,0.041903,4.139104,[25 52] ; [10  7],[28.67021277 48.32978723] ; [ 6.32978723 10.67021277],0
d2,1,0.053867,3.716818,[80 54] ; [16 22],[74.79069767 59.20930233] ; [21.20930233 16.79069767],0
p2,1,0.056928,3.624709,[102  32] ; [23 15],[97.38372093 36.61627907] ; [27.61627907 10.38372093],0
d5,1,0.067529,3.342082,[110  24] ; [26 12],[105.95348837  28.04651163] ; [30.04651163  7.95348837],0
p8,1,0.092184,2.835818,[36 98] ; [ 5 32],[ 32.12865497 101.87134503] ; [ 8.87134503 28.12865497],0
r3,1,0.138992,2.189081,[126   8] ; [33  5],[123.87209302  10.12790698] ; [35.12790698  2.87209302],0
d1,1,0.142141,2.154629,[88 46] ; [20 18],[84.13953488 49.86046512] ; [23.86046512 14.13953488],0
r4,1,0.152466,2.047402,[118  16] ; [30  8],[115.30232558  18.69767442] ; [32.69767442  5.30232558],0
v4,1,0.181897,1.782057,[125   9] ; [32  5],[123.02923977  10.97076023] ; [33.97076023  3.02923977],0
b4,1,0.196347,1.66934,[86 48] ; [20 18],[82.58139535 51.41860465] ; [23.41860465 14.58139535],0
s2,1,0.204461,1.610223,[105  29] ; [26 12],[102.05813953  31.94186047] ; [28.94186047  9.05813953],0
a4,1,0.265656,1.23904,[63 71] ; [14 24],[59.98837209 74.01162791] ; [17.01162791 20.98837209],0
p12,1,0.268993,1.221876,[ 16 118] ; [ 2 34],[ 14.18823529 119.81176471] ; [ 3.81176471 32.18823529],0
p1,1,0.29064,1.116653,[ 13 121] ; [ 6 32],[ 14.80232558 119.19767442] ; [ 4.19767442 33.80232558],0
p6,1,0.301559,1.067286,[ 24 110] ; [ 4 33],[ 21.94152047 112.05847953] ; [ 6.05847953 30.94152047],0
u2,1,0.485336,0.486849,[21 17] ; [8 4],[22.04 15.96] ; [6.96 5.04],0
