Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,3.5e-05,17.130318,[102  40] ; [18 29],[90.15873016 51.84126984] ; [29.84126984 17.15873016],1
v4,1,0.000135,14.571722,[137   4] ; [38  9],[131.25   9.75] ; [43.75  3.25],1
d5,1,0.00019,13.925628,[123  19] ; [29 18],[114.2010582  27.7989418] ; [37.7989418  9.2010582],1
a2,1,0.00106,10.719369,[ 38 104] ; [ 2 45],[ 30.05291005 111.94708995] ; [ 9.94708995 37.05291005],0
s5,1,0.002363,9.243591,[ 30 107] ; [20 24],[37.84530387 99.15469613] ; [12.15469613 31.84530387],0
r3,1,0.003889,8.334975,[135   6] ; [39  8],[130.5  10.5] ; [43.5  3.5],0
a6,1,0.004113,8.233096,[107  35] ; [25 22],[99.17460317 42.82539683] ; [32.82539683 14.17460317],0
r2,1,0.006427,7.426471,[134   5] ; [40  7],[130.03225806   8.96774194] ; [43.96774194  3.03225806],0
b5,1,0.0464,3.966999,[87 55] ; [21 26],[81.14285714 60.85714286] ; [26.85714286 20.14285714],0
d1,1,0.047353,3.932809,[84 58] ; [20 27],[78.13756614 63.86243386] ; [25.86243386 21.13756614],0
a4,1,0.067148,3.351401,[67 75] ; [15 32],[61.60846561 80.39153439] ; [20.39153439 26.60846561],0
p2,1,0.073025,3.213675,[121  20] ; [35 12],[117.  24.] ; [39.  8.],0
u3,1,0.075655,3.155864,[34 18] ; [10 13],[30.50666667 21.49333333] ; [13.49333333  9.50666667],0
p9,1,0.08281,3.008878,[119  23] ; [34 13],[114.95238095  27.04761905] ; [38.04761905  8.95238095],0
r1,1,0.097982,2.738095,[111  28] ; [32 15],[106.8655914  32.1344086] ; [36.1344086 10.8655914],0
p10,1,0.099727,2.70991,[115  26] ; [33 14],[111.  30.] ; [37. 10.],0
p4,1,0.116189,2.467958,[110  32] ; [31 16],[105.93650794  36.06349206] ; [35.06349206 11.93650794],0
v1,1,0.132683,2.260833,[80 57] ; [21 25],[75.61202186 61.38797814] ; [25.38797814 20.61202186],0
r4,1,0.136905,2.21241,[129  13] ; [39  8],[126.22222222  15.77777778] ; [41.77777778  5.22222222],0
a3,1,0.159332,1.980555,[89 53] ; [24 23],[84.8994709 57.1005291] ; [28.1005291 18.8994709],0
p12,1,0.179037,1.805596,[ 11 131] ; [ 1 45],[  9.06382979 132.93617021] ; [ 2.93617021 43.06382979],0
d4,1,0.184371,1.762034,[113  29] ; [33 14],[109.69312169  32.30687831] ; [36.30687831 10.69312169],0
s2,1,0.192287,1.700005,[47 93] ; [11 36],[43.42245989 96.57754011] ; [14.57754011 32.42245989],0
v2,1,0.197193,1.663044,[82 55] ; [22 23],[78.28571429 58.71428571] ; [25.71428571 19.28571429],0
p6,1,0.23163,1.430824,[55 87] ; [13 32],[51.63636364 90.36363636] ; [16.36363636 28.63636364],0
p11,1,0.235206,1.409099,[117  25] ; [35 12],[114.2010582  27.7989418] ; [37.7989418  9.2010582],0
s1,1,0.239846,1.381501,[  2 140] ; [ 2 45],[  3.00529101 138.99470899] ; [ 0.99470899 46.00529101],0
s6,1,0.273591,1.198653,[80 60] ; [21 23],[76.84782609 63.15217391] ; [24.15217391 19.84782609],0
v3,1,0.288024,1.128833,[50 89] ; [12 32],[47.09289617 91.90710383] ; [14.90710383 29.09289617],0
p5,1,0.341124,0.906203,[ 14 128] ; [ 7 40],[ 15.77777778 126.22222222] ; [ 5.22222222 41.77777778],0
u2,1,0.499982,0.454975,[27 25] ; [10 13],[25.65333333 26.34666667] ; [11.34666667 11.65333333],0
b1,1,0.528682,0.396925,[62 80] ; [23 24],[63.86243386 78.13756614] ; [21.13756614 25.86243386],0
s8,1,0.550174,0.357005,[ 36 106] ; [14 33],[ 37.56613757 104.43386243] ; [12.43386243 34.56613757],0
s3,1,0.567878,0.326246,[58 81] ; [17 29],[56.35135135 82.64864865] ; [18.64864865 27.35135135],0
b4,1,0.570158,0.322418,[84 58] ; [30 17],[85.65079365 56.34920635] ; [28.34920635 18.65079365],0
n6,1,0.588584,0.292561,[116  25] ; [37 10],[114.75  26.25] ; [38.25  8.75],0
n2,1,0.588809,0.292208,[16  5] ; [6 3],[15.4  5.6] ; [6.6 2.4],0
n3,1,0.59298,0.285714,[18  3] ; [7 2],[17.5  3.5] ; [7.5 1.5],0
a5,1,0.617446,0.249474,[105  37] ; [33 14],[103.68253968  38.31746032] ; [34.31746032 12.68253968],0
p1,1,0.688402,0.160821,[ 15 126] ; [ 6 41],[ 15.75 125.25] ; [ 5.25 41.75],0
n1,1,0.718567,0.12987,[ 6 15] ; [2 7],[ 5.6 15.4] ; [2.4 6.6],0
n4,1,0.749085,0.102302,[109  33] ; [35 12],[108.19047619  33.80952381] ; [35.80952381 11.19047619],0
b3,1,0.797403,0.0659,[27 55] ; [11 20],[27.57522124 54.42477876] ; [10.42477876 20.57522124],0
b2,1,0.797403,0.0659,[27 55] ; [11 20],[27.57522124 54.42477876] ; [10.42477876 20.57522124],0
p8,1,0.819665,0.051973,[88 54] ; [30 17],[88.65608466 53.34391534] ; [29.34391534 17.65608466],0
p7,1,0.87356,0.025325,[100  40] ; [33 14],[99.57219251 40.42780749] ; [33.42780749 13.57219251],0
