Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,44.288039,[53  2] ; [14 28],[37.98969072 17.01030928] ; [29.01030928 12.98969072],1
r2,1,3e-06,21.860795,[53  2] ; [23 17],[44. 11.] ; [32.  8.],1
v4,1,3e-06,21.731667,[49  5] ; [20 22],[38.8125 15.1875] ; [30.1875 11.8125],1
r1,1,1e-05,19.486355,[46  9] ; [17 25],[35.72164948 19.27835052] ; [27.27835052 14.72164948],1
s6,1,3.7e-05,17.043265,[32 21] ; [ 8 35],[22.08333333 30.91666667] ; [17.91666667 25.08333333],1
s8,1,0.001227,10.449495,[14 39] ; [ 1 42],[ 8.28125 44.71875] ; [ 6.71875 36.28125],0
p2,1,0.002245,9.33728,[31 24] ; [11 32],[23.57142857 31.42857143] ; [18.42857143 24.57142857],0
n3,1,0.007262,7.206886,[13  4] ; [ 9 17],[8.69767442 8.30232558] ; [13.30232558 12.69767442],0
u3,1,0.00945,6.735698,[14  9] ; [ 4 15],[ 9.85714286 13.14285714] ; [ 8.14285714 10.85714286],0
n6,1,0.014347,5.994912,[36 19] ; [17 25],[30.05154639 24.94845361] ; [22.94845361 19.05154639],0
p3,1,0.017175,5.678395,[23 32] ; [ 8 34],[17.57731959 37.42268041] ; [13.42268041 28.57731959],0
p4,1,0.029096,4.761905,[23 31] ; [ 9 33],[18. 36.] ; [14. 28.],0
s5,1,0.035549,4.418624,[12 41] ; [ 3 40],[ 8.28125 44.71875] ; [ 6.71875 36.28125],0
p8,1,0.048865,3.879968,[19 36] ; [ 7 35],[14.74226804 40.25773196] ; [11.25773196 30.74226804],0
a7,1,0.051372,3.796091,[37 18] ; [20 22],[32.31958763 22.68041237] ; [24.68041237 17.31958763],0
s3,1,0.051665,3.786583,[25 30] ; [11 31],[20.41237113 34.58762887] ; [15.58762887 26.41237113],0
b2,1,0.065447,3.393665,[ 8 26] ; [12 14],[11.33333333 22.66666667] ; [ 8.66666667 17.33333333],0
b3,1,0.065447,3.393665,[ 8 26] ; [12 14],[11.33333333 22.66666667] ; [ 8.66666667 17.33333333],0
p7,1,0.09057,2.864212,[24 31] ; [11 30],[20.05208333 34.94791667] ; [14.94791667 26.05208333],0
v3,1,0.097772,2.74152,[19 32] ; [ 9 33],[15.35483871 35.64516129] ; [12.64516129 29.35483871],0
n2,1,0.105808,2.61574,[14  6] ; [12 14],[11.30434783  8.69565217] ; [14.69565217 11.30434783],0
v1,1,0.114861,2.486038,[21 34] ; [10 33],[17.39795918 37.60204082] ; [13.60204082 29.39795918],0
b4,1,0.119556,2.423131,[33 22] ; [19 24],[29.18367347 25.81632653] ; [22.81632653 20.18367347],0
d5,1,0.136913,2.212315,[41 14] ; [26 17],[37.60204082 17.39795918] ; [29.39795918 13.60204082],0
s1,1,0.137434,2.206454,[ 3 52] ; [ 6 36],[ 5.10309278 49.89690722] ; [ 3.89690722 38.10309278],0
s2,1,0.149748,2.074815,[17 37] ; [ 8 35],[13.91752577 40.08247423] ; [11.08247423 31.91752577],0
a8,1,0.156376,2.008929,[ 5 45] ; [ 1 39],[ 3.33333333 46.66666667] ; [ 2.66666667 37.33333333],0
u1,1,0.159508,1.978888,[ 9 46] ; [ 3 40],[ 6.73469388 48.26530612] ; [ 5.26530612 37.73469388],0
p6,1,0.15995,1.974697,[11 43] ; [ 4 37],[ 8.52631579 45.47368421] ; [ 6.47368421 34.52631579],0
a5,1,0.270245,1.215504,[33 22] ; [21 22],[30.30612245 24.69387755] ; [23.69387755 19.30612245],0
a1,1,0.278272,1.17551,[ 4 51] ; [ 6 37],[ 5.6122449 49.3877551] ; [ 4.3877551 38.6122449],0
s7,1,0.292845,1.106496,[12 37] ; [ 6 33],[10.02272727 38.97727273] ; [ 7.97727273 31.02272727],0
p10,1,0.296819,1.088433,[ 6 48] ; [ 8 35],[ 7.79381443 46.20618557] ; [ 6.20618557 36.79381443],0
a2,1,0.318392,0.995539,[12 43] ; [ 6 37],[10.10204082 44.89795918] ; [ 7.89795918 35.10204082],0
v2,1,0.322917,0.977094,[22 32] ; [13 29],[19.6875 34.3125] ; [15.3125 26.6875],0
b1,1,0.331052,0.944778,[36 19] ; [24 19],[33.67346939 21.32653061] ; [26.32653061 16.67346939],0
a6,1,0.332661,0.93851,[31 24] ; [20 23],[28.62244898 26.37755102] ; [22.37755102 20.62244898],0
