Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.002208,9.367742,[4 5] ; [ 1 26],[1.25 7.75] ; [ 3.75 23.25],0
p4,1,0.003664,8.443178,[8 2] ; [ 8 21],[4.1025641 5.8974359] ; [11.8974359 17.1025641],0
p6,1,0.008903,6.842262,[5 5] ; [ 3 25],[2.10526316 7.89473684] ; [ 5.89473684 22.10526316],0
v3,1,0.012352,6.259561,[4 6] ; [ 2 27],[1.53846154 8.46153846] ; [ 4.46153846 24.53846154],0
s6,1,0.017439,5.651638,[7 3] ; [ 8 21],[3.84615385 6.15384615] ; [11.15384615 17.84615385],0
p11,1,0.021727,5.267477,[8 2] ; [11 18],[4.87179487 5.12820513] ; [14.12820513 14.87179487],0
s3,1,0.024293,5.073626,[6 4] ; [ 6 22],[3.15789474 6.84210526] ; [ 8.84210526 19.15789474],0
a3,1,0.038035,4.303448,[6 4] ; [ 7 22],[3.33333333 6.66666667] ; [ 9.66666667 19.33333333],0
d2,1,0.040778,4.185196,[5 5] ; [ 5 24],[2.56410256 7.43589744] ; [ 7.43589744 21.56410256],0
p3,1,0.040778,4.185196,[5 5] ; [ 5 24],[2.56410256 7.43589744] ; [ 7.43589744 21.56410256],0
v2,1,0.045219,4.010462,[6 4] ; [ 7 21],[3.42105263 6.57894737] ; [ 9.57894737 18.42105263],0
d3,1,0.050802,3.81478,[7 3] ; [10 19],[4.35897436 5.64102564] ; [12.64102564 16.35897436],0
p9,1,0.06124,3.503481,[7 3] ; [10 18],[4.47368421 5.52631579] ; [12.52631579 15.47368421],0
p10,1,0.06124,3.503481,[7 3] ; [10 18],[4.47368421 5.52631579] ; [12.52631579 15.47368421],0
v4,1,0.069498,3.294828,[9 1] ; [17 12],[6.66666667 3.33333333] ; [19.33333333  9.66666667],0
d1,1,0.076763,3.132147,[4 6] ; [ 4 25],[2.05128205 7.94871795] ; [ 5.94871795 23.05128205],0
d5,1,0.079402,3.077094,[7 3] ; [11 18],[4.61538462 5.38461538] ; [13.38461538 15.61538462],0
p7,1,0.104475,2.635862,[6 4] ; [ 9 20],[3.84615385 6.15384615] ; [11.15384615 17.84615385],0
n4,1,0.116985,2.457234,[8 2] ; [15 14],[5.8974359 4.1025641] ; [17.1025641 11.8974359],0
n5,1,0.116985,2.457234,[8 2] ; [15 14],[5.8974359 4.1025641] ; [17.1025641 11.8974359],0
a6,1,0.126514,2.33477,[5 5] ; [ 7 22],[3.07692308 6.92307692] ; [ 8.92307692 20.07692308],0
u2,1,0.208359,1.582792,[3 1] ; [ 9 13],[1.84615385 2.15384615] ; [10.15384615 11.84615385],0
s2,1,0.227844,1.454269,[4 6] ; [ 6 23],[2.56410256 7.43589744] ; [ 7.43589744 21.56410256],0
s5,1,0.249479,1.326216,[3 7] ; [ 4 25],[1.79487179 8.20512821] ; [ 5.20512821 23.79487179],0
p8,1,0.336449,0.923914,[4 6] ; [ 7 22],[2.82051282 7.17948718] ; [ 8.17948718 20.82051282],0
r1,1,0.336449,0.923914,[4 6] ; [ 7 22],[2.82051282 7.17948718] ; [ 8.17948718 20.82051282],0
u3,1,0.364974,0.820707,[2 2] ; [ 6 16],[1.23076923 2.76923077] ; [ 6.76923077 15.23076923],0
a7,1,0.384437,0.756466,[5 5] ; [10 19],[3.84615385 6.15384615] ; [11.15384615 17.84615385],0
b4,1,0.384437,0.756466,[5 5] ; [19 10],[6.15384615 3.84615385] ; [17.84615385 11.15384615],0
s8,1,0.388904,0.742367,[3 7] ; [ 5 24],[2.05128205 7.94871795] ; [ 5.94871795 23.05128205],0
n6,1,0.41107,0.675703,[7 3] ; [16 13],[5.8974359 4.1025641] ; [17.1025641 11.8974359],0
d4,1,0.41107,0.675703,[7 3] ; [16 13],[5.8974359 4.1025641] ; [17.1025641 11.8974359],0
p12,1,0.417955,0.656058,[1 9] ; [ 1 28],[0.51282051 9.48717949] ; [ 1.48717949 27.51282051],0
b1,1,0.503445,0.447667,[5 5] ; [18 11],[5.8974359 4.1025641] ; [17.1025641 11.8974359],0
v1,1,0.546788,0.363103,[3 7] ; [ 6 23],[2.30769231 7.69230769] ; [ 6.69230769 22.30769231],0
s7,1,0.573611,0.316678,[1 7] ; [ 6 22],[1.55555556 6.44444444] ; [ 5.44444444 22.55555556],0
s4,1,0.635672,0.224447,[2 8] ; [ 8 21],[2.56410256 7.43589744] ; [ 7.43589744 21.56410256],0
p2,1,0.652101,0.203261,[7 3] ; [18 11],[6.41025641 3.58974359] ; [18.58974359 10.41025641],0
a4,1,0.757027,0.09572,[1 9] ; [ 4 25],[1.28205128 8.71794872] ; [ 3.71794872 25.28205128],0
b2,1,0.82215,0.050526,[1 4] ; [ 3 16],[0.83333333 4.16666667] ; [ 3.16666667 15.83333333],0
b3,1,0.82215,0.050526,[1 4] ; [ 3 16],[0.83333333 4.16666667] ; [ 3.16666667 15.83333333],0
n3,1,0.866815,0.028125,[1 1] ; [9 7],[1.11111111 0.88888889] ; [8.88888889 7.11111111],0
n2,1,0.866815,0.028125,[1 1] ; [9 7],[1.11111111 0.88888889] ; [8.88888889 7.11111111],0
b5,1,0.939048,0.005847,[6 4] ; [17 12],[5.8974359 4.1025641] ; [17.1025641 11.8974359],0
