Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.039565,4.236429,[ 8 23] ; [9 7],[11.21276596 19.78723404] ; [ 5.78723404 10.21276596],0
s2,1,0.050562,3.82273,[ 2 30] ; [ 4 11],[ 4.08510638 27.91489362] ; [ 1.91489362 13.08510638],0
a3,1,0.050749,3.816541,[16 16] ; [12  3],[19.06382979 12.93617021] ; [8.93617021 6.06382979],0
v2,1,0.050892,3.811835,[ 4 27] ; [ 6 10],[ 6.59574468 24.40425532] ; [ 3.40425532 12.59574468],0
r4,1,0.055234,3.675,[ 3 29] ; [ 5 11],[ 5.33333333 26.66666667] ; [ 2.66666667 13.33333333],0
n5,1,0.05778,3.6,[23  9] ; [7 9],[20. 12.] ; [10.  6.],0
s5,1,0.070713,3.266399,[ 1 30] ; [ 3 13],[ 2.63829787 28.36170213] ; [ 1.36170213 14.63829787],0
d4,1,0.087781,2.914611,[18 14] ; [13  3],[20.66666667 11.33333333] ; [10.33333333  5.66666667],0
b5,1,0.09769,2.742857,[16 16] ; [ 4 12],[13.33333333 18.66666667] ; [6.66666667 9.33333333],0
r3,1,0.121418,2.39893,[12 19] ; [10  6],[14.5106383 16.4893617] ; [7.4893617 8.5106383],0
p3,1,0.170904,1.875,[ 7 25] ; [ 1 15],[ 5.33333333 26.66666667] ; [ 2.66666667 13.33333333],0
v1,1,0.176426,1.827477,[ 6 25] ; [ 6 10],[ 7.91489362 23.08510638] ; [ 4.08510638 11.91489362],0
p2,1,0.211123,1.563705,[ 8 23] ; [7 9],[ 9.89361702 21.10638298] ; [ 5.10638298 10.89361702],0
s3,1,0.218693,1.512926,[ 7 24] ; [6 9],[ 8.76086957 22.23913043] ; [ 4.23913043 10.76086957],0
n6,1,0.228258,1.451681,[14 17] ; [ 4 11],[12.13043478 18.86956522] ; [5.86956522 9.13043478],0
n2,1,0.301941,1.065601,[6 8] ; [7 4],[7.28 6.72] ; [5.72 5.28],0
a5,1,0.307014,1.043478,[15 17] ; [10  6],[16.66666667 15.33333333] ; [8.33333333 7.66666667],0
a6,1,0.307014,1.043478,[17 15] ; [ 6 10],[15.33333333 16.66666667] ; [7.66666667 8.33333333],0
r2,1,0.35991,0.838208,[14 15] ; [10  6],[15.46666667 13.53333333] ; [8.53333333 7.46666667],0
p9,1,0.39329,0.728745,[14 16] ; [ 5 10],[12.66666667 17.33333333] ; [6.33333333 8.66666667],0
s7,1,0.399901,0.708624,[ 4 27] ; [ 3 10],[ 4.93181818 26.06818182] ; [ 2.06818182 10.93181818],0
d5,1,0.412589,0.671329,[16 16] ; [10  6],[17.33333333 14.66666667] ; [8.66666667 7.33333333],0
p10,1,0.421436,0.646308,[12 19] ; [ 4 11],[10.7826087 20.2173913] ; [5.2173913 9.7826087],0
p4,1,0.432768,0.615385,[ 7 25] ; [ 2 14],[ 6. 26.] ; [ 3. 13.],0
p7,1,0.4795,0.5,[ 9 23] ; [ 3 13],[ 8. 24.] ; [ 4. 12.],0
s4,1,0.503996,0.446512,[ 4 28] ; [ 1 15],[ 3.33333333 28.66666667] ; [ 1.66666667 14.33333333],0
n4,1,0.508883,0.436364,[23  9] ; [10  6],[22. 10.] ; [11.  5.],0
u2,1,0.531168,0.392157,[ 2 14] ; [1 3],[ 2.4 13.6] ; [0.6 3.4],0
b1,1,0.537094,0.380952,[17 15] ; [10  6],[18. 14.] ; [9. 7.],0
s1,1,0.563024,0.334495,[ 4 28] ; [ 3 13],[ 4.66666667 27.33333333] ; [ 2.33333333 13.66666667],0
a1,1,0.563024,0.334495,[ 4 28] ; [ 3 13],[ 4.66666667 27.33333333] ; [ 2.33333333 13.66666667],0
p8,1,0.593694,0.284613,[ 4 27] ; [ 3 13],[ 4.61702128 26.38297872] ; [ 2.38297872 13.61702128],0
p6,1,0.644079,0.213447,[ 1 29] ; [ 1 15],[ 1.30434783 28.69565217] ; [ 0.69565217 15.30434783],0
p11,1,0.676381,0.174229,[12 20] ; [7 9],[12.66666667 19.33333333] ; [6.33333333 9.66666667],0
d3,1,0.678845,0.171429,[14 18] ; [ 6 10],[13.33333333 18.66666667] ; [6.66666667 9.33333333],0
a2,1,0.738298,0.111628,[ 3 29] ; [ 2 14],[ 3.33333333 28.66666667] ; [ 1.66666667 14.33333333],0
v3,1,0.772445,0.083624,[ 5 27] ; [ 2 14],[ 4.66666667 27.33333333] ; [ 2.33333333 13.66666667],0
n1,1,0.821348,0.050991,[7 7] ; [6 5],[7.28 6.72] ; [5.72 5.28],0
d1,1,0.831013,0.045541,[11 21] ; [ 6 10],[11.33333333 20.66666667] ; [ 5.66666667 10.33333333],0
a7,1,0.838118,0.041739,[15 17] ; [8 8],[15.33333333 16.66666667] ; [7.66666667 8.33333333],0
a8,1,0.868573,0.027381,[ 4 28] ; [ 2 12],[ 4.17391304 27.82608696] ; [ 1.82608696 12.17391304],0
d2,1,0.926526,0.008504,[14 17] ; [7 9],[13.85106383 17.14893617] ; [7.14893617 8.85106383],0
b2,1,0.961291,0.002356,[ 9 13] ; [4 6],[ 8.9375 13.0625] ; [4.0625 5.9375],0
b3,1,0.961291,0.002356,[ 9 13] ; [4 6],[ 8.9375 13.0625] ; [4.0625 5.9375],0
s8,1,1.0,0.0,[ 2 30] ; [ 1 15],[ 2. 30.] ; [ 1. 15.],0
b4,1,1.0,0.0,[20 12] ; [10  6],[20. 12.] ; [10.  6.],0
n3,1,1.0,0.0,[7 7] ; [5 5],[7. 7.] ; [5. 5.],0
