Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,7e-05,15.800894,[31  4] ; [27 30],[22.06521739 12.93478261] ; [35.93478261 21.06521739],1
s6,1,0.000393,12.565286,[22 12] ; [15 41],[13.97777778 20.02222222] ; [23.02222222 32.97777778],1
v4,1,0.001905,9.638507,[31  4] ; [33 24],[24.34782609 10.65217391] ; [39.65217391 17.34782609],0
p6,1,0.004712,7.986668,[10 24] ; [ 4 52],[ 5.28888889 28.71111111] ; [ 8.71111111 47.28888889],0
d4,1,0.006715,7.347561,[31  4] ; [35 21],[25.38461538  9.61538462] ; [40.61538462 15.38461538],0
s7,1,0.008906,6.841555,[14 19] ; [ 8 41],[ 8.85365854 24.14634146] ; [13.14634146 35.85365854],0
r4,1,0.015583,5.84932,[25 10] ; [26 31],[19.40217391 15.59782609] ; [31.59782609 25.40217391],0
p4,1,0.020112,5.402161,[12 22] ; [ 8 48],[ 7.55555556 26.44444444] ; [12.44444444 43.55555556],0
p10,1,0.021979,5.247439,[16 18] ; [13 42],[11.07865169 22.92134831] ; [17.92134831 37.07865169],0
d5,1,0.025886,4.963636,[30  5] ; [36 20],[25.38461538  9.61538462] ; [40.61538462 15.38461538],0
s8,1,0.027433,4.863375,[11 24] ; [ 7 49],[ 6.92307692 28.07692308] ; [11.07692308 44.92307692],0
p9,1,0.040573,4.193777,[17 17] ; [15 38],[12.50574713 21.49425287] ; [19.49425287 33.50574713],0
s2,1,0.042443,4.117436,[15 20] ; [13 44],[10.65217391 24.34782609] ; [17.34782609 39.65217391],0
r1,1,0.051938,3.777768,[25 10] ; [29 28],[20.54347826 14.45652174] ; [33.45652174 23.54347826],0
a5,1,0.059846,3.541654,[27  8] ; [33 24],[22.82608696 12.17391304] ; [37.17391304 19.82608696],0
d1,1,0.066992,3.355237,[21 14] ; [23 34],[16.73913043 18.26086957] ; [27.26086957 29.73913043],0
u3,1,0.069385,3.297514,[7 4] ; [ 6 14],[4.61290323 6.38709677] ; [ 8.38709677 11.61290323],0
v3,1,0.072633,3.222493,[14 19] ; [13 41],[10.24137931 22.75862069] ; [16.75862069 37.24137931],0
s5,1,0.076043,3.147513,[10 23] ; [ 8 47],[ 6.75 26.25] ; [11.25 43.75],0
r2,1,0.077027,3.126548,[31  3] ; [42 13],[27.88764045  6.11235955] ; [45.11235955  9.88764045],0
n6,1,0.086324,2.941628,[23 12] ; [27 30],[19.02173913 15.97826087] ; [30.97826087 26.02173913],0
s4,1,0.087943,2.911633,[10 25] ; [ 8 49],[ 6.84782609 28.15217391] ; [11.15217391 45.84782609],0
b1,1,0.101299,2.684974,[16 19] ; [36 21],[19.7826087 15.2173913] ; [32.2173913 24.7826087],0
a1,1,0.101906,2.675455,[ 2 33] ; [10 47],[ 4.56521739 30.43478261] ; [ 7.43478261 49.56521739],0
p3,1,0.10479,2.63108,[11 23] ; [10 47],[ 7.84615385 26.15384615] ; [13.15384615 43.84615385],0
d3,1,0.126713,2.332316,[22 13] ; [26 30],[18.46153846 16.53846154] ; [29.53846154 26.46153846],0
n5,1,0.141587,2.160626,[16 19] ; [35 22],[19.40217391 15.59782609] ; [31.59782609 25.40217391],0
v1,1,0.160512,1.969394,[12 23] ; [12 45],[ 9.13043478 25.86956522] ; [14.86956522 42.13043478],0
p8,1,0.173571,1.851828,[ 9 26] ; [ 8 48],[ 6.53846154 28.46153846] ; [10.46153846 45.53846154],0
a7,1,0.235575,1.406882,[24 11] ; [32 25],[21.30434783 13.69565217] ; [34.69565217 22.30434783],0
s3,1,0.289341,1.122685,[16 19] ; [19 36],[13.61111111 21.38888889] ; [21.38888889 33.61111111],0
