Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.087781,2.914611,[13 18] ; [ 3 14],[10.33333333 20.66666667] ; [ 5.66666667 11.33333333],0
u3,1,0.096791,2.757639,[5 7] ; [1 9],[3.27272727 8.72727273] ; [2.72727273 7.27272727],0
v3,1,0.099958,2.706209,[ 8 24] ; [ 1 16],[ 5.87755102 26.12244898] ; [ 3.12244898 13.87755102],0
v4,1,0.108478,2.576253,[19 13] ; [ 6 11],[16.32653061 15.67346939] ; [8.67346939 8.32653061],0
p7,1,0.135223,2.231499,[ 8 23] ; [8 9],[10.33333333 20.66666667] ; [ 5.66666667 11.33333333],0
p10,1,0.144036,2.134301,[15 17] ; [ 4 12],[12.66666667 19.33333333] ; [6.33333333 9.66666667],0
n1,1,0.193868,1.687977,[10  8] ; [3 7],[8.35714286 9.64285714] ; [4.64285714 5.35714286],0
a3,1,0.217044,1.52381,[20 12] ; [7 9],[18. 14.] ; [9. 7.],0
a1,1,0.220483,1.501225,[ 6 26] ; [ 1 16],[ 4.57142857 27.42857143] ; [ 2.42857143 14.57142857],0
a5,1,0.315041,1.009424,[18 14] ; [ 7 10],[16.32653061 15.67346939] ; [8.67346939 8.32653061],0
d5,1,0.315041,1.009424,[18 14] ; [ 7 10],[16.32653061 15.67346939] ; [8.67346939 8.32653061],0
p1,1,0.32203,0.980684,[ 5 27] ; [ 1 16],[ 3.91836735 28.08163265] ; [ 2.08163265 14.91836735],0
b4,1,0.324558,0.970489,[16 16] ; [11  6],[17.63265306 14.36734694] ; [9.36734694 7.63265306],0
p8,1,0.358268,0.843956,[10 22] ; [ 3 13],[ 8.66666667 23.33333333] ; [ 4.33333333 11.66666667],0
p2,1,0.385733,0.752351,[11 21] ; [8 9],[12.40816327 19.59183673] ; [ 6.59183673 10.40816327],0
b5,1,0.409343,0.680707,[13 19] ; [9 8],[14.36734694 17.63265306] ; [7.63265306 9.36734694],0
n4,1,0.409343,0.680707,[19 13] ; [8 9],[17.63265306 14.36734694] ; [9.36734694 7.63265306],0
v1,1,0.416871,0.659119,[ 9 23] ; [ 3 14],[ 7.83673469 24.16326531] ; [ 4.16326531 12.83673469],0
d4,1,0.425794,0.634268,[15 17] ; [10  7],[16.32653061 15.67346939] ; [8.67346939 8.32653061],0
a7,1,0.435543,0.607996,[15 17] ; [ 6 11],[13.71428571 18.28571429] ; [7.28571429 9.71428571],0
b1,1,0.43833,0.600652,[19 13] ; [12  5],[20.24489796 11.75510204] ; [10.75510204  6.24489796],0
p4,1,0.447699,0.576471,[ 8 24] ; [ 6 11],[ 9.14285714 22.85714286] ; [ 4.85714286 12.14285714],0
s1,1,0.466348,0.530615,[ 4 28] ; [ 1 16],[ 3.26530612 28.73469388] ; [ 1.73469388 15.26530612],0
s8,1,0.466348,0.530615,[ 4 28] ; [ 1 16],[ 3.26530612 28.73469388] ; [ 1.73469388 15.26530612],0
d3,1,0.555794,0.347039,[16 16] ; [ 7 10],[15.02040816 16.97959184] ; [7.97959184 9.02040816],0
p6,1,0.563024,0.334495,[ 4 28] ; [ 3 13],[ 4.66666667 27.33333333] ; [ 2.33333333 13.66666667],0
d1,1,0.569056,0.324265,[10 22] ; [ 4 13],[ 9.14285714 22.85714286] ; [ 4.85714286 12.14285714],0
p9,1,0.575207,0.314047,[13 18] ; [ 5 10],[12.13043478 18.86956522] ; [5.86956522 9.13043478],0
b2,1,0.618402,0.24812,[10 12] ; [4 7],[ 9.33333333 12.66666667] ; [4.66666667 6.33333333],0
b3,1,0.618402,0.24812,[10 12] ; [4 7],[ 9.33333333 12.66666667] ; [4.66666667 6.33333333],0
u1,1,0.642412,0.215602,[ 1 31] ; [ 1 16],[ 1.30612245 30.69387755] ; [ 0.69387755 16.30612245],0
s7,1,0.647141,0.209524,[ 6 24] ; [ 2 12],[ 5.45454545 24.54545455] ; [ 2.54545455 11.45454545],0
a6,1,0.685969,0.163483,[15 17] ; [9 8],[15.67346939 16.32653061] ; [8.32653061 8.67346939],0
p5,1,0.711923,0.136364,[ 3 29] ; [ 1 15],[ 2.66666667 29.33333333] ; [ 1.33333333 14.66666667],0
n3,1,0.721501,0.127059,[8 9] ; [4 6],[7.55555556 9.44444444] ; [4.44444444 5.55555556],0
p3,1,0.72872,0.120291,[ 9 23] ; [ 4 13],[ 8.48979592 23.51020408] ; [ 4.51020408 12.48979592],0
p11,1,0.72872,0.120291,[ 9 23] ; [ 4 13],[ 8.48979592 23.51020408] ; [ 4.51020408 12.48979592],0
v2,1,0.784191,0.075,[ 5 27] ; [ 3 13],[ 5.33333333 26.66666667] ; [ 2.66666667 13.33333333],0
a2,1,0.792516,0.069193,[ 3 29] ; [ 2 15],[ 3.26530612 28.73469388] ; [ 1.73469388 15.26530612],0
a4,1,0.831013,0.045541,[10 21] ; [ 6 11],[10.33333333 20.66666667] ; [ 5.66666667 11.33333333],0
u2,1,0.867258,0.027937,[4 8] ; [3 7],[3.81818182 8.18181818] ; [3.18181818 6.81818182],0
n6,1,0.867259,0.027936,[12 19] ; [ 7 10],[12.27083333 18.72916667] ; [ 6.72916667 10.27083333],0
n5,1,0.894275,0.017661,[22 10] ; [12  5],[22.20408163  9.79591837] ; [11.79591837  5.20408163],0
s4,1,0.940422,0.005586,[ 4 28] ; [ 2 15],[ 3.91836735 28.08163265] ; [ 2.08163265 14.91836735],0
s2,1,0.940422,0.005586,[ 4 28] ; [ 2 15],[ 3.91836735 28.08163265] ; [ 2.08163265 14.91836735],0
r1,1,0.948701,0.004139,[11 21] ; [ 6 11],[11.10204082 20.89795918] ; [ 5.89795918 11.10204082],0
s3,1,0.95209,0.00361,[ 8 23] ; [ 4 12],[ 7.91489362 23.08510638] ; [ 4.08510638 11.91489362],0
s5,1,0.959249,0.002611,[ 2 30] ; [ 1 16],[ 1.95918367 30.04081633] ; [ 1.04081633 15.95918367],0
n2,1,1.0,0.0,[9 9] ; [5 5],[9. 9.] ; [5. 5.],0
