Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.000496,12.131778,[ 7 12] ; [49 13],[13.13580247  5.86419753] ; [42.86419753 19.13580247],1
a3,1,0.001006,10.816546,[ 5 14] ; [42 19],[11.1625  7.8375] ; [35.8375 25.1625],0
d2,1,0.004455,8.088422,[ 2 17] ; [29 33],[ 7.27160494 11.72839506] ; [23.72839506 38.27160494],0
d3,1,0.012058,6.302296,[ 5 13] ; [38 24],[9.675 8.325] ; [33.325 28.675],0
b1,1,0.022928,5.17394,[13  6] ; [24 38],[ 8.67901235 10.32098765] ; [28.32098765 33.67901235],0
p8,1,0.027922,4.832907,[11  8] ; [18 42],[ 6.97468354 12.02531646] ; [22.02531646 37.97468354],0
s7,1,0.036653,4.366483,[ 3 14] ; [27 32],[ 6.71052632 10.28947368] ; [23.28947368 35.71052632],0
a5,1,0.043231,4.086345,[ 6 13] ; [36 26],[9.85185185 9.14814815] ; [32.14814815 29.85185185],0
s3,1,0.111486,2.533023,[ 6 13] ; [31 28],[9.01282051 9.98717949] ; [27.98717949 31.01282051],0
p7,1,0.131894,2.270065,[11  7] ; [25 36],[8.20253165 9.79746835] ; [27.79746835 33.20253165],0
a7,1,0.139689,2.181377,[ 8 11] ; [38 24],[10.79012346  8.20987654] ; [35.20987654 26.79012346],0
a4,1,0.163676,1.939936,[ 3 16] ; [20 42],[ 5.39506173 13.60493827] ; [17.60493827 44.39506173],0
v1,1,0.17545,1.835749,[ 5 14] ; [25 32],[ 7.5 11.5] ; [22.5 34.5],0
r2,1,0.204717,1.6084,[ 8 10] ; [35 22],[10.32  7.68] ; [32.68 24.32],0
p6,1,0.213206,1.549525,[ 7 12] ; [13 45],[ 4.93506494 14.06493506] ; [15.06493506 42.93506494],0
s2,1,0.220683,1.499925,[ 6 13] ; [29 32],[ 8.3125 10.6875] ; [26.6875 34.3125],0
v2,1,0.237853,1.393271,[ 8 11] ; [34 25],[10.23076923  8.76923077] ; [31.76923077 27.23076923],0
b3,1,0.23806,1.392045,[1 8] ; [11 25],[2.4 6.6] ; [ 9.6 26.4],0
b2,1,0.23806,1.392045,[1 8] ; [11 25],[2.4 6.6] ; [ 9.6 26.4],0
n4,1,0.282024,1.157313,[ 9 10] ; [38 24],[11.02469136  7.97530864] ; [35.97530864 26.02469136],0
p4,1,0.306274,1.046674,[10  9] ; [24 37],[ 8.075 10.925] ; [25.925 35.075],0
a8,1,0.317708,0.998358,[ 2 15] ; [ 3 57],[ 1.1038961 15.8961039] ; [ 3.8961039 56.1038961],0
r1,1,0.350415,0.871955,[ 3 16] ; [16 45],[ 4.5125 14.4875] ; [14.4875 46.5125],0
n3,1,0.41835,0.654947,[6 2] ; [16 11],[5.02857143 2.97142857] ; [16.97142857 10.02857143],0
s6,1,0.430592,0.621225,[ 8 11] ; [32 29],[9.5 9.5] ; [30.5 30.5],0
p2,1,0.44088,0.593992,[14  4] ; [41 19],[12.69230769  5.30769231] ; [42.30769231 17.69230769],0
n5,1,0.452467,0.564466,[12  7] ; [32 28],[10.58227848  8.41772152] ; [33.41772152 26.58227848],0
p11,1,0.537135,0.380876,[14  5] ; [41 21],[12.90123457  6.09876543] ; [42.09876543 19.90123457],0
s5,1,0.557704,0.343695,[ 3 16] ; [13 46],[ 3.8974359 15.1025641] ; [12.1025641 46.8974359],0
p3,1,0.566529,0.328525,[ 5 14] ; [20 40],[ 6.01265823 12.98734177] ; [18.98734177 41.01265823],0
b5,1,0.58613,0.296428,[10  9] ; [37 25],[11.02469136  7.97530864] ; [35.97530864 26.02469136],0
s4,1,0.619479,0.2466,[ 4 15] ; [10 52],[ 3.28395062 15.71604938] ; [10.71604938 51.28395062],0
n2,1,0.628745,0.233766,[5 3] ; [20  8],[5.55555556 2.44444444] ; [19.44444444  8.55555556],0
p9,1,0.658503,0.195348,[14  5] ; [41 19],[13.2278481  5.7721519] ; [41.7721519 18.2278481],0
n6,1,0.675657,0.175056,[12  7] ; [41 19],[12.74683544  6.25316456] ; [40.25316456 19.74683544],0
v4,1,0.677408,0.173058,[11  6] ; [42 18],[11.7012987  5.2987013] ; [41.2987013 18.7012987],0
u1,1,0.683331,0.166401,[ 1 18] ; [ 5 57],[ 1.40740741 17.59259259] ; [ 4.59259259 57.40740741],0
p10,1,0.723891,0.124795,[12  6] ; [36 22],[11.36842105  6.63157895] ; [36.63157895 21.36842105],0
a6,1,0.746123,0.104818,[ 9 10] ; [32 30],[9.61728395 9.38271605] ; [31.38271605 30.61728395],0
s8,1,0.818292,0.052782,[ 5 14] ; [18 44],[ 5.39506173 13.60493827] ; [17.60493827 44.39506173],0
n1,1,0.842342,0.03956,[2 6] ; [ 8 20],[2.22222222 5.77777778] ; [ 7.77777778 20.22222222],0
s1,1,0.850623,0.035466,[ 1 18] ; [ 4 58],[ 1.17283951 17.82716049] ; [ 3.82716049 58.17283951],0
u3,1,0.852603,0.034521,[ 4 10] ; [ 6 13],[4.24242424 9.75757576] ; [ 5.75757576 13.24242424],0
b4,1,0.889956,0.019144,[11  8] ; [37 25],[11.25925926  7.74074074] ; [36.74074074 25.25925926],0
u2,1,0.965548,0.001866,[6 8] ; [ 8 11],[5.93939394 8.06060606] ; [ 8.06060606 10.93939394],0
