Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,72.236771,[106  34] ; [18 76],[74.18803419 65.81196581] ; [49.81196581 44.18803419],1
d4,1,0.0,60.349203,[138   2] ; [56 38],[116.06837607  23.93162393] ; [77.93162393 16.06837607],1
d5,1,0.0,57.03417,[137   3] ; [56 38],[115.47008547  24.52991453] ; [77.52991453 16.47008547],1
d3,1,0.0,54.609862,[122  18] ; [39 55],[96.32478632 43.67521368] ; [64.67521368 29.32478632],1
a4,1,0.0,41.210492,[88 52] ; [19 75],[64.01709402 75.98290598] ; [42.98290598 51.01709402],1
a2,1,0.0,36.533082,[60 81] ; [ 6 88],[ 39.6 101.4] ; [26.4 67.6],1
u1,1,0.0,29.041614,[48 93] ; [ 4 90],[ 31.2 109.8] ; [20.8 73.2],1
a7,1,0.000137,14.537321,[111  30] ; [52 42],[97.8 43.2] ; [65.2 28.8],1
r2,1,0.000685,11.530658,[137   2] ; [81 11],[131.17748918   7.82251082] ; [86.82251082  5.17748918],1
v2,1,0.001247,10.419993,[90 45] ; [41 50],[78.25221239 56.74778761] ; [52.74778761 38.25221239],0
r1,1,0.001383,10.22863,[126  14] ; [69 24],[117.16738197  22.83261803] ; [77.83261803 15.16738197],0
a6,1,0.001491,10.090019,[104  36] ; [51 43],[92.73504274 47.26495726] ; [62.26495726 31.73504274],0
a5,1,0.001929,9.616368,[120  21] ; [64 30],[110.4  30.6] ; [73.6 20.4],0
a3,1,0.002321,9.276316,[123  18] ; [67 27],[114.  27.] ; [76. 18.],0
p11,1,0.014089,6.026925,[118  23] ; [66 28],[110.4  30.6] ; [73.6 20.4],0
n4,1,0.015792,5.825917,[119  21] ; [67 26],[111.75965665  28.24034335] ; [74.24034335 18.75965665],0
v3,1,0.027808,4.839923,[65 66] ; [32 60],[56.98206278 74.01793722] ; [40.01793722 51.98206278],0
s4,1,0.042309,4.122807,[ 21 120] ; [24 70],[ 27. 114.] ; [18. 76.],0
b5,1,0.057521,3.607456,[91 50] ; [49 45],[84. 57.] ; [56. 38.],0
