Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,81.424603,[71 55] ; [ 31 218],[34.272 91.728] ; [ 67.728 181.272],1
s2,1,0.0,57.302373,[80 46] ; [ 58 189],[46.61662198 79.38337802] ; [ 91.38337802 155.61662198],1
s3,1,0.0,46.875953,[92 34] ; [ 87 158],[60.79245283 65.20754717] ; [118.20754717 126.79245283],1
s6,1,0.0,46.658139,[100  25] ; [106 142],[69.03485255 55.96514745] ; [136.96514745 111.03485255],1
a3,1,0.0,26.600088,[102  24] ; [132 114],[79.25806452 46.74193548] ; [154.74193548  91.25806452],1
u1,1,0.000442,12.347555,[ 26 100] ; [ 20 229],[ 15.456 110.544] ; [ 30.544 218.456],1
p10,1,0.000549,11.942032,[103  22] ; [161  86],[88.70967742 36.29032258] ; [175.29032258  71.70967742],1
n4,1,0.000648,11.631987,[98 26] ; [153  96],[83.44235925 40.55764075] ; [167.55764075  81.44235925],1
a5,1,0.000745,11.372779,[97 29] ; [148 101],[82.32 43.68] ; [162.68  86.32],1
a2,1,0.000836,11.160331,[33 93] ; [ 31 218],[ 21.504 104.496] ; [ 42.496 206.504],1
s5,1,0.001907,9.636978,[41 81] ; [ 46 197],[29.07945205 92.92054795] ; [ 57.92054795 185.07945205],0
p9,1,0.001981,9.566612,[106  19] ; [171  73],[93.83468835 31.16531165] ; [183.16531165  60.83468835],0
p4,1,0.002127,9.436918,[64 61] ; [ 86 162],[50.26809651 74.73190349] ; [ 99.73190349 148.26809651],0
a8,1,0.002861,8.894113,[24 94] ; [ 21 211],[ 15.17142857 102.82857143] ; [ 29.82857143 202.17142857],0
r1,1,0.00396,8.302192,[99 26] ; [159  87],[86.92722372 38.07277628] ; [171.07277628  74.92722372],0
p2,1,0.008183,6.992997,[104  22] ; [174  75],[93.408 32.592] ; [184.592  64.408],0
p5,1,0.010384,6.567797,[ 11 113] ; [  7 241],[  6. 118.] ; [ 12. 236.],0
n5,1,0.012077,6.2996,[93 31] ; [153  94],[82.22102426 41.77897574] ; [163.77897574  83.22102426],0
p12,1,0.013085,6.15758,[  8 117] ; [  4 245],[  4.01069519 120.98930481] ; [  7.98930481 241.01069519],0
r3,1,0.017102,5.685879,[117   8] ; [211  37],[109.91957105  15.08042895] ; [218.08042895  29.91957105],0
r2,1,0.024572,5.053828,[114   8] ; [210  36],[107.41304348  14.58695652] ; [216.58695652  29.41304348],0
p8,1,0.02926,4.752262,[55 69] ; [ 81 166],[45.45552561 78.54447439] ; [ 90.54447439 156.45552561],0
d2,1,0.038119,4.299687,[61 65] ; [ 92 155],[51.68364611 74.31635389] ; [101.31635389 145.68364611],0
p7,1,0.045984,3.982184,[64 58] ; [102 144],[55.0326087 66.9673913] ; [110.9673913 135.0326087],0
a4,1,0.055764,3.659099,[54 72] ; [ 81 166],[45.60321716 80.39678284] ; [ 89.39678284 157.60321716],0
v4,1,0.078914,3.087122,[113  10] ; [212  36],[107.74932615  15.25067385] ; [217.25067385  30.74932615],0
s4,1,0.081162,3.041481,[28 98] ; [ 37 210],[ 21.95710456 104.04289544] ; [ 43.04289544 203.95710456],0
d1,1,0.084271,2.980551,[66 60] ; [107 142],[58.128 67.872] ; [114.872 134.128],0
r4,1,0.086713,2.934369,[104  22] ; [186  63],[97.44 28.56] ; [192.56  56.44],0
n6,1,0.128242,2.313652,[100  23] ; [184  64],[94.15633423 28.84366577] ; [189.84366577  58.15633423],0
d5,1,0.166215,1.916758,[98 28] ; [177  72],[92.4 33.6] ; [182.6  66.4],0
n2,1,0.173702,1.850704,[26  7] ; [52 27],[22.98214286 10.01785714] ; [55.01785714 23.98214286],0
