Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,5e-06,20.658517,[55  3] ; [19 15],[46.65217391 11.34782609] ; [27.34782609  6.65217391],1
p8,1,5.3e-05,16.34995,[55  4] ; [20 14],[47.58064516 11.41935484] ; [27.41935484  6.58064516],1
p4,1,0.003413,8.572515,[55  3] ; [25  9],[50.43478261  7.56521739] ; [29.56521739  4.43478261],0
s2,1,0.004319,8.144427,[40 17] ; [14 21],[33.45652174 23.54347826] ; [20.54347826 14.45652174],0
s3,1,0.004698,7.992215,[42 14] ; [16 19],[35.69230769 20.30769231] ; [22.30769231 12.69230769],0
r2,1,0.006324,7.45554,[57  1] ; [29  6],[53.6344086  4.3655914] ; [32.3655914  2.6344086],0
r3,1,0.006877,7.304739,[56  1] ; [29  6],[52.66304348  4.33695652] ; [32.33695652  2.66304348],0
s6,1,0.012105,6.295372,[50  3] ; [25  8],[46.22093023  6.77906977] ; [28.77906977  4.22093023],0
s7,1,0.015491,5.859748,[44 10] ; [19 14],[39.10344828 14.89655172] ; [23.89655172  9.10344828],0
a1,1,0.017618,5.633701,[12 47] ; [ 1 34],[ 8.15957447 50.84042553] ; [ 4.84042553 30.15957447],0
p3,1,0.019791,5.430261,[50  8] ; [23 12],[45.52688172 12.47311828] ; [27.47311828  7.52688172],0
p12,1,0.027798,4.84054,[19 40] ; [ 4 30],[14.59139785 44.40860215] ; [ 8.40860215 25.59139785],0
s8,1,0.04379,4.06465,[39 18] ; [16 18],[34.45054945 22.54945055] ; [20.54945055 13.45054945],0
r1,1,0.050898,3.811626,[52  6] ; [26  9],[48.64516129  9.35483871] ; [29.35483871  5.64516129],0
p11,1,0.084117,2.983495,[52  7] ; [26  9],[48.95744681 10.04255319] ; [29.04255319  5.95744681],0
a2,1,0.102384,2.668017,[15 44] ; [ 4 31],[11.92553191 47.07446809] ; [ 7.07446809 27.92553191],0
p10,1,0.103256,2.654526,[55  4] ; [28  6],[52.65591398  6.34408602] ; [30.34408602  3.65591398],0
p2,1,0.105498,2.620394,[54  5] ; [28  7],[51.46808511  7.53191489] ; [30.53191489  4.46808511],0
p9,1,0.113364,2.506687,[57  2] ; [30  4],[55.19354839  3.80645161] ; [31.80645161  2.19354839],0
r4,1,0.12223,2.388507,[56  3] ; [30  5],[53.9787234  5.0212766] ; [32.0212766  2.9787234],0
a7,1,0.139098,2.18791,[44 15] ; [21 14],[40.79787234 18.20212766] ; [24.20212766 10.79787234],0
d2,1,0.186764,1.742961,[30 28] ; [23 12],[33.05376344 24.94623656] ; [19.94623656 15.05376344],0
v3,1,0.218221,1.516033,[36 21] ; [17 17],[33.1978022 23.8021978] ; [19.8021978 14.1978022],0
b5,1,0.220222,1.502921,[26 33] ; [20 15],[28.87234043 30.12765957] ; [17.12765957 17.87234043],0
n2,1,0.2524,1.309972,[8 2] ; [5 4],[6.84210526 3.15789474] ; [6.15789474 2.84210526],0
u1,1,0.270407,1.214681,[14 45] ; [ 5 30],[11.92553191 47.07446809] ; [ 7.07446809 27.92553191],0
n6,1,0.278399,1.17489,[57  1] ; [32  2],[56.10869565  1.89130435] ; [32.89130435  1.10869565],0
n5,1,0.283824,1.148686,[58  1] ; [33  2],[57.11702128  1.88297872] ; [33.88297872  1.11702128],0
v4,1,0.298378,1.08143,[55  2] ; [32  3],[53.90217391  3.09782609] ; [33.09782609  1.90217391],0
v2,1,0.315817,1.006192,[33 24] ; [16 18],[30.69230769 26.30769231] ; [18.30769231 15.69230769],0
p1,1,0.32056,0.986659,[21 38] ; [ 9 26],[18.82978723 40.17021277] ; [11.17021277 23.82978723],0
s4,1,0.342057,0.902707,[ 9 48] ; [ 3 31],[ 7.51648352 49.48351648] ; [ 4.48351648 29.51648352],0
b1,1,0.363374,0.826199,[23 36] ; [17 18],[25.10638298 33.89361702] ; [14.89361702 20.10638298],0
a4,1,0.389191,0.741469,[29 30] ; [14 21],[26.9893617 32.0106383] ; [16.0106383 18.9893617],0
a8,1,0.421491,0.646154,[10 42] ; [ 4 28],[ 8.66666667 43.33333333] ; [ 5.33333333 26.66666667],0
d1,1,0.461178,0.543034,[36 23] ; [24 11],[37.65957447 21.34042553] ; [22.34042553 12.65957447],0
s5,1,0.468138,0.526368,[37 15] ; [21 12],[35.48235294 16.51764706] ; [22.51764706 10.48235294],0
n3,1,0.497739,0.459753,[6 4] ; [4 5],[5.26315789 4.73684211] ; [4.73684211 4.26315789],0
u2,1,0.528265,0.397727,[7 5] ; [4 5],[6.28571429 5.71428571] ; [4.71428571 4.28571429],0
a5,1,0.545271,0.365857,[47 12] ; [26  9],[45.81914894 13.18085106] ; [27.18085106  7.81914894],0
a3,1,0.545271,0.365857,[47 12] ; [26  9],[45.81914894 13.18085106] ; [27.18085106  7.81914894],0
b4,1,0.617422,0.249508,[34 25] ; [22 13],[35.14893617 23.85106383] ; [20.85106383 14.14893617],0
d5,1,0.674902,0.175921,[46 12] ; [29  6],[46.77419355 11.22580645] ; [28.22580645  6.77419355],0
d4,1,0.707326,0.140962,[48 10] ; [30  5],[48.64516129  9.35483871] ; [29.35483871  5.64516129],0
a6,1,0.714519,0.133805,[37 21] ; [21 14],[36.17204301 21.82795699] ; [21.82795699 13.17204301],0
d3,1,0.894248,0.017671,[39 19] ; [24 11],[39.29032258 18.70967742] ; [23.70967742 11.29032258],0
u3,1,0.898708,0.016204,[7 5] ; [5 4],[6.85714286 5.14285714] ; [5.14285714 3.85714286],0
v1,1,0.899734,0.015875,[39 18] ; [23 10],[39.26666667 17.73333333] ; [22.73333333 10.26666667],0
n1,1,0.913906,0.011688,[6 4] ; [5 3],[6.11111111 3.88888889] ; [4.88888889 3.11111111],0
b3,1,0.982608,0.000475,[21 23] ; [12 13],[21.04347826 22.95652174] ; [11.95652174 13.04347826],0
b2,1,0.982608,0.000475,[21 23] ; [12 13],[21.04347826 22.95652174] ; [11.95652174 13.04347826],0
s1,1,0.98702,0.000265,[ 5 54] ; [ 3 32],[ 5.0212766 53.9787234] ; [ 2.9787234 32.0212766],0
