Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,5e-06,20.918587,[ 2 28] ; [23 15],[11.02941176 18.97058824] ; [13.97058824 24.02941176],1
p3,1,0.003737,8.407395,[ 4 25] ; [18 20],[ 9.52238806 19.47761194] ; [12.47761194 25.52238806],0
s7,1,0.005331,7.763467,[ 4 25] ; [15 17],[ 9.03278689 19.96721311] ; [ 9.96721311 22.03278689],0
s6,1,0.00727,7.204961,[ 8 22] ; [22 15],[13.43283582 16.56716418] ; [16.56716418 20.43283582],0
r3,1,0.011145,6.442105,[18 12] ; [33  5],[22.5  7.5] ; [28.5  9.5],0
p10,1,0.029003,4.767447,[ 9 19] ; [22 15],[13.35384615 14.64615385] ; [17.64615385 19.35384615],0
s5,1,0.039598,4.235039,[ 3 25] ; [12 25],[ 6.46153846 21.53846154] ; [ 8.53846154 28.46153846],0
r4,1,0.041284,4.164339,[14 16] ; [27 11],[18.08823529 11.91176471] ; [22.91176471 15.08823529],0
s8,1,0.04837,3.897076,[ 4 26] ; [13 25],[ 7.5 22.5] ; [ 9.5 28.5],0
d4,1,0.050149,3.83646,[14 16] ; [26 11],[17.91044776 12.08955224] ; [22.08955224 14.91044776],0
b1,1,0.066679,3.362945,[23  7] ; [21 17],[19.41176471 10.58823529] ; [24.58823529 13.41176471],0
r1,1,0.113383,2.506423,[14 16] ; [25 13],[17.20588235 12.79411765] ; [21.79411765 16.20588235],0
u2,1,0.121335,2.4,[8 7] ; [12  3],[10.  5.] ; [10.  5.],0
s4,1,0.123113,2.377261,[ 4 26] ; [11 27],[ 6.61764706 23.38235294] ; [ 8.38235294 29.61764706],0
n4,1,0.127135,2.327144,[19 11] ; [17 21],[15.88235294 14.11764706] ; [20.11764706 17.88235294],0
v1,1,0.127135,2.327144,[11 19] ; [21 17],[14.11764706 15.88235294] ; [17.88235294 20.11764706],0
v4,1,0.130887,2.281948,[20 10] ; [29  6],[22.61538462  7.38461538] ; [26.38461538  8.61538462],0
u3,1,0.143235,2.142857,[6 9] ; [10  5],[8. 7.] ; [8. 7.],0
r2,1,0.15366,2.035536,[21  8] ; [32  5],[23.28787879  5.71212121] ; [29.71212121  7.28787879],0
p1,1,0.156122,2.011394,[ 1 29] ; [ 5 33],[ 2.64705882 27.35294118] ; [ 3.35294118 34.64705882],0
a4,1,0.157763,1.995534,[ 7 23] ; [15 23],[ 9.70588235 20.29411765] ; [12.29411765 25.70588235],0
n2,1,0.165623,1.922123,[10  5] ; [14  2],[11.61290323  3.38709677] ; [12.38709677  3.61290323],0
d3,1,0.185913,1.749708,[ 8 22] ; [16 22],[10.58823529 19.41176471] ; [13.41176471 24.58823529],0
n5,1,0.204669,1.60874,[16 14] ; [14 23],[13.43283582 16.56716418] ; [16.56716418 20.43283582],0
p7,1,0.208,1.585294,[12 18] ; [20 16],[14.54545455 15.45454545] ; [17.45454545 18.54545455],0
a5,1,0.211142,1.563582,[12 18] ; [21 17],[14.55882353 15.44117647] ; [18.44117647 19.55882353],0
b4,1,0.254535,1.298239,[14 16] ; [23 15],[16.32352941 13.67647059] ; [20.67647059 17.32352941],0
a3,1,0.385382,0.753463,[15 15] ; [23 15],[16.76470588 13.23529412] ; [21.23529412 16.76470588],0
p11,1,0.385382,0.753463,[15 15] ; [23 15],[16.76470588 13.23529412] ; [21.23529412 16.76470588],0
p5,1,0.435303,0.608634,[ 2 28] ; [ 1 36],[ 1.34328358 28.65671642] ; [ 1.65671642 35.34328358],0
a8,1,0.465552,0.532514,[ 2 28] ; [ 1 34],[ 1.38461538 28.61538462] ; [ 1.61538462 33.38461538],0
b5,1,0.481267,0.495991,[16 14] ; [17 21],[14.55882353 15.44117647] ; [18.44117647 19.55882353],0
p9,1,0.493236,0.469459,[14 15] ; [21 16],[15.37878788 13.62121212] ; [19.62121212 17.37878788],0
p4,1,0.513187,0.427562,[11 18] ; [17 20],[12.3030303 16.6969697] ; [15.6969697 21.3030303],0
p2,1,0.524384,0.405263,[14 14] ; [22 16],[15.27272727 12.72727273] ; [20.72727273 17.27272727],0
b3,1,0.542385,0.371137,[ 7 10] ; [ 8 17],[ 6.07142857 10.92857143] ; [ 8.92857143 16.07142857],0
b2,1,0.542385,0.371137,[ 7 10] ; [ 8 17],[ 6.07142857 10.92857143] ; [ 8.92857143 16.07142857],0
