Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.014364,5.992805,[5 8] ; [14 97],[ 1.99193548 11.00806452] ; [17.00806452 93.99193548],0
s5,1,0.014495,5.976863,[6 4] ; [26 82],[2.71186441 7.28813559] ; [29.28813559 78.71186441],0
p3,1,0.026268,4.938298,[11  2] ; [58 53],[7.23387097 5.76612903] ; [61.76612903 49.23387097],0
p1,1,0.042261,4.12474,[4 9] ; [12 99],[ 1.67741935 11.32258065] ; [14.32258065 96.67741935],0
a1,1,0.061085,3.50768,[ 2 11] ; [  4 107],[ 0.62903226 12.37096774] ; [  5.37096774 105.62903226],0
s8,1,0.07061,3.268779,[ 1 12] ; [35 75],[3.80487805 9.19512195] ; [32.19512195 77.80487805],0
d3,1,0.07352,3.202626,[6 7] ; [77 32],[8.8442623 4.1557377] ; [74.1557377 34.8442623],0
a2,1,0.10149,2.681971,[5 8] ; [21 90],[ 2.72580645 10.27419355] ; [23.27419355 87.72580645],0
d1,1,0.113965,2.498355,[5 8] ; [68 43],[7.65322581 5.34677419] ; [65.34677419 45.65322581],0
s4,1,0.23791,1.392935,[3 8] ; [15 93],[1.66386555 9.33613445] ; [16.33613445 91.66386555],0
p8,1,0.251879,1.312851,[11  2] ; [77 34],[9.22580645 3.77419355] ; [78.77419355 32.22580645],0
s6,1,0.252954,1.306915,[7 2] ; [63 45],[5.38461538 3.61538462] ; [64.61538462 43.38461538],0
d4,1,0.270894,1.212215,[9 4] ; [91 20],[10.48387097  2.51612903] ; [89.51612903 21.48387097],0
d5,1,0.278802,1.172918,[9 4] ; [90 20],[10.46341463  2.53658537] ; [88.53658537 21.46341463],0
r3,1,0.296199,1.09123,[11  1] ; [108   3],[11.6097561  0.3902439] ; [107.3902439   3.6097561],0
r4,1,0.305604,1.049578,[11  2] ; [103   8],[11.9516129  1.0483871] ; [102.0483871   8.9516129],0
p12,1,0.311513,1.024252,[ 2 11] ; [  8 102],[ 1.05691057 11.94308943] ; [  8.94308943 101.05691057],0
a6,1,0.323064,0.976501,[10  3] ; [70 41],[8.38709677 4.61290323] ; [71.61290323 39.38709677],0
v3,1,0.325828,0.965408,[5 7] ; [30 77],[3.52941176 8.47058824] ; [31.47058824 75.52941176],0
p7,1,0.33602,0.925557,[12  1] ; [89 20],[10.76229508  2.23770492] ; [90.23770492 18.76229508],0
n5,1,0.355524,0.853642,[11  2] ; [80 30],[9.61788618 3.38211382] ; [81.38211382 28.61788618],0
a7,1,0.530555,0.393328,[9 4] ; [84 25],[9.90983607 3.09016393] ; [83.09016393 25.90983607],0
r1,1,0.55274,0.352432,[10  2] ; [84 27],[9.17073171 2.82926829] ; [84.82926829 26.17073171],0
u3,1,0.5713,0.320513,[3 2] ; [21 24],[2.4 2.6] ; [21.6 23.4],0
d2,1,0.589109,0.291738,[7 6] ; [51 60],[6.08064516 6.91935484] ; [51.91935484 59.08064516],0
p2,1,0.606744,0.264944,[12  1] ; [97 14],[11.42741935  1.57258065] ; [97.57258065 13.42741935],0
a4,1,0.609288,0.261213,[7 6] ; [51 59],[6.1300813 6.8699187] ; [51.8699187 58.1300813],0
b4,1,0.617657,0.249174,[9 4] ; [69 42],[8.17741935 4.82258065] ; [69.82258065 41.17741935],0
b5,1,0.661698,0.191468,[9 4] ; [70 41],[8.28225806 4.71774194] ; [70.71774194 40.28225806],0
b2,1,0.677998,0.172388,[4 7] ; [25 33],[4.62318841 6.37681159] ; [24.37681159 33.62318841],0
b3,1,0.677998,0.172388,[4 7] ; [25 33],[4.62318841 6.37681159] ; [24.37681159 33.62318841],0
v2,1,0.693098,0.155752,[7 5] ; [56 51],[6.35294118 5.64705882] ; [56.64705882 50.35294118],0
u2,1,0.739156,0.11087,[2 3] ; [22 24],[2.35294118 2.64705882] ; [21.64705882 24.35294118],0
v4,1,0.786774,0.073171,[11  1] ; [104   7],[11.2195122  0.7804878] ; [103.7804878   7.2195122],0
a8,1,0.791738,0.069724,[ 1 10] ; [12 90],[1.26548673 9.73451327] ; [11.73451327 90.26548673],0
r2,1,0.800347,0.063957,[11  1] ; [102   7],[11.20661157  0.79338843] ; [101.79338843   7.20661157],0
n4,1,0.8121,0.05651,[10  3] ; [82 29],[9.64516129 3.35483871] ; [82.35483871 28.64516129],0
v1,1,0.827872,0.047277,[7 5] ; [60 49],[6.6446281 5.3553719] ; [60.3553719 48.6446281],0
a3,1,0.836334,0.042678,[8 5] ; [65 46],[7.65322581 5.34677419] ; [65.34677419 45.65322581],0
n6,1,0.864149,0.029274,[11  2] ; [91 19],[10.7804878  2.2195122] ; [91.2195122 18.7804878],0
s2,1,0.883881,0.021331,[4 8] ; [39 71],[4.2295082 7.7704918] ; [38.7704918 71.2295082],0
b1,1,0.890243,0.019043,[6 7] ; [49 62],[5.76612903 7.23387097] ; [49.23387097 61.76612903],0
a5,1,0.903396,0.014731,[9 4] ; [75 36],[8.80645161 4.19354839] ; [75.19354839 35.80645161],0
p11,1,0.925145,0.008827,[11  2] ; [95 16],[11.11290323  1.88709677] ; [94.88709677 16.11290323],0
s3,1,0.987997,0.000226,[5 7] ; [46 65],[4.97560976 7.02439024] ; [46.02439024 64.97560976],0
