Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,6.2e-05,16.05308,[37 22] ; [ 1 15],[29.89333333 29.10666667] ; [8.10666667 7.89333333],1
d3,1,0.002553,9.102345,[48 11] ; [7 9],[43.26666667 15.73333333] ; [11.73333333  4.26666667],0
d5,1,0.003237,8.668821,[50  9] ; [8 8],[45.62666667 13.37333333] ; [12.37333333  3.62666667],0
u2,1,0.005625,7.666711,[11  5] ; [1 8],[7.68 8.32] ; [4.32 4.68],0
d2,1,0.010428,6.56023,[36 23] ; [ 4 12],[31.46666667 27.53333333] ; [8.53333333 7.46666667],0
a8,1,0.01975,5.433831,[ 3 49] ; [ 4 11],[ 5.43283582 46.56716418] ; [ 1.56716418 13.43283582],0
r1,1,0.023144,5.157668,[49 10] ; [9 7],[45.62666667 13.37333333] ; [12.37333333  3.62666667],0
s3,1,0.028118,4.820788,[22 36] ; [11  5],[25.86486486 32.13513514] ; [7.13513514 8.86486486],0
a4,1,0.029198,4.755921,[29 30] ; [ 3 13],[25.17333333 33.82666667] ; [6.82666667 9.17333333],0
a3,1,0.031863,4.605862,[42 16] ; [7 9],[38.40540541 19.59459459] ; [10.59459459  5.40540541],0
v4,1,0.071206,3.255008,[54  5] ; [12  4],[51.92  7.08] ; [14.08  1.92],0
p1,1,0.078154,3.102878,[ 3 55] ; [ 3 13],[ 4.7027027 53.2972973] ; [ 1.2972973 14.7027027],0
r3,1,0.09731,2.749079,[51  8] ; [11  5],[48.77333333 10.22666667] ; [13.22666667  2.77333333],0
n5,1,0.131473,2.275027,[36 23] ; [13  3],[38.54666667 20.45333333] ; [10.45333333  5.54666667],0
p3,1,0.138632,2.193078,[26 31] ; [ 4 12],[23.42465753 33.57534247] ; [6.57534247 9.42465753],0
s6,1,0.140506,2.172414,[41 17] ; [7 7],[38.66666667 19.33333333] ; [9.33333333 4.66666667],0
a2,1,0.148524,2.087346,[18 41] ; [ 2 14],[15.73333333 43.26666667] ; [ 4.26666667 11.73333333],0
n4,1,0.148524,2.087346,[41 18] ; [14  2],[43.26666667 15.73333333] ; [11.73333333  4.26666667],0
s4,1,0.179038,1.805594,[12 46] ; [ 1 15],[10.18918919 47.81081081] ; [ 2.81081081 13.18918919],0
a5,1,0.200681,1.63741,[43 16] ; [9 7],[40.90666667 18.09333333] ; [11.09333333  4.90666667],0
v2,1,0.204681,1.608652,[39 19] ; [8 8],[36.83783784 21.16216216] ; [10.16216216  5.83783784],0
a7,1,0.255962,1.290465,[42 17] ; [9 7],[40.12 18.88] ; [10.88  5.12],0
b1,1,0.285777,1.139412,[28 31] ; [10  6],[29.89333333 29.10666667] ; [8.10666667 7.89333333],0
b5,1,0.318982,0.993114,[41 18] ; [9 7],[39.33333333 19.66666667] ; [10.66666667  5.33333333],0
p10,1,0.341894,0.903316,[36 21] ; [8 8],[34.35616438 22.64383562] ; [9.64383562 6.35616438],0
n1,1,0.349445,0.87547,[ 5 14] ; [2 2],[ 5.7826087 13.2173913] ; [1.2173913 2.7826087],0
s2,1,0.350209,0.872699,[33 25] ; [7 9],[31.35135135 26.64864865] ; [8.64864865 7.35135135],0
a6,1,0.357273,0.847458,[37 22] ; [8 8],[35.4 23.6] ; [9.6 6.4],0
b4,1,0.389365,0.740923,[40 19] ; [9 7],[38.54666667 20.45333333] ; [10.45333333  5.54666667],0
s5,1,0.392059,0.732547,[22 35] ; [ 4 11],[20.58333333 36.41666667] ; [5.41666667 9.58333333],0
p2,1,0.525946,0.402217,[37 20] ; [9 7],[35.91780822 21.08219178] ; [10.08219178  5.91780822],0
r4,1,0.572935,0.317797,[48 11] ; [12  4],[47.2 11.8] ; [12.8  3.2],0
p6,1,0.584371,0.299221,[18 38] ; [ 4 12],[17.11111111 38.88888889] ; [ 4.88888889 11.11111111],0
a1,1,0.623472,0.241018,[ 5 54] ; [ 2 14],[ 5.50666667 53.49333333] ; [ 1.49333333 14.50666667],0
p5,1,0.654493,0.200283,[ 5 52] ; [ 2 14],[ 5.46575342 51.53424658] ; [ 1.53424658 14.46575342],0
n6,1,0.667461,0.184587,[43 15] ; [11  5],[42.32432432 15.67567568] ; [11.67567568  4.32432432],0
p7,1,0.748326,0.102943,[25 30] ; [8 8],[25.56338028 29.43661972] ; [7.43661972 8.56338028],0
v1,1,0.763164,0.090799,[32 27] ; [8 8],[31.46666667 27.53333333] ; [8.53333333 7.46666667],0
s8,1,0.767726,0.087232,[23 35] ; [7 9],[23.51351351 34.48648649] ; [6.48648649 9.51351351],0
u3,1,0.789561,0.071225,[8 8] ; [4 5],[7.68 8.32] ; [4.32 4.68],0
p8,1,0.807082,0.05963,[23 34] ; [7 9],[23.42465753 33.57534247] ; [6.57534247 9.42465753],0
s7,1,0.816855,0.053635,[24 27] ; [7 9],[23.59701493 27.40298507] ; [7.40298507 8.59701493],0
p4,1,0.847584,0.036942,[29 26] ; [8 8],[28.66197183 26.33802817] ; [8.33802817 7.66197183],0
b3,1,0.853531,0.034083,[ 7 19] ; [3 7],[ 7.22222222 18.77777778] ; [2.77777778 7.22222222],0
b2,1,0.853531,0.034083,[ 7 19] ; [3 7],[ 7.22222222 18.77777778] ; [2.77777778 7.22222222],0
r2,1,0.865987,0.028479,[55  3] ; [15  1],[54.86486486  3.13513514] ; [15.13513514  0.86486486],0
s1,1,0.927319,0.008321,[ 4 54] ; [ 1 15],[ 3.91891892 54.08108108] ; [ 1.08108108 14.91891892],0
p9,1,0.936473,0.006353,[35 22] ; [10  6],[35.1369863 21.8630137] ; [9.8630137 6.1369863],0
