Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,113.059977,[433  20] ; [78 50],[398.42168675  54.57831325] ; [112.57831325  15.42168675],1
r2,1,0.0,34.091507,[435  14] ; [105  22],[420.9375  28.0625] ; [119.0625   7.9375],1
a5,1,0.0,31.795807,[335 118] ; [61 67],[308.75731497 144.24268503] ; [87.24268503 40.75731497],1
d1,1,0.0,25.5739,[270 183] ; [44 84],[244.82271945 208.17728055] ; [69.17728055 58.82271945],1
d3,1,1e-06,23.45242,[326 126] ; [62 64],[303.41868512 148.58131488] ; [84.58131488 41.41868512],1
d4,1,3e-06,21.716988,[373  79] ; [81 47],[353.80689655  98.19310345] ; [100.19310345  27.80689655],1
u1,1,1.2e-05,19.119841,[ 80 373] ; [  3 125],[ 64.71428571 388.28571429] ; [ 18.28571429 109.71428571],1
a7,1,2.1e-05,18.139867,[352 100] ; [75 52],[333.3402418 118.6597582] ; [93.6597582 33.3402418],1
v2,1,4.5e-05,16.661729,[248 180] ; [47 79],[227.90613718 200.09386282] ; [67.09386282 58.90613718],1
a2,1,0.000357,12.743908,[108 345] ; [ 12 116],[ 93.56282272 359.43717728] ; [ 26.43717728 101.56282272],1
d5,1,0.000473,12.220715,[368  84] ; [85 42],[353.6373057  98.3626943] ; [99.3626943 27.6373057],1
r3,1,0.000502,12.1087,[433  19] ; [112  16],[424.72413793  27.27586207] ; [120.27586207   7.72413793],1
n4,1,0.000817,11.202979,[346 106] ; [79 49],[331.20689655 120.79310345] ; [93.79310345 34.20689655],1
v1,1,0.001408,10.195371,[228 213] ; [44 80],[212.30442478 228.69557522] ; [59.69557522 64.30442478],0
a6,1,0.001677,9.87342,[327 125] ; [74 54],[312.50344828 139.49655172] ; [88.49655172 39.50344828],0
a3,1,0.002393,9.220965,[318 133] ; [72 56],[303.78238342 147.21761658] ; [86.21761658 41.78238342],0
a4,1,0.00287,8.888109,[196 254] ; [37 91],[181.40138408 268.59861592] ; [51.59861592 76.40138408],0
s6,1,0.003041,8.782978,[265 185] ; [56 71],[250.34662045 199.65337955] ; [70.65337955 56.34662045],0
s8,1,0.003283,8.642837,[173 279] ; [31 97],[158.97931034 293.02068966] ; [45.02068966 82.97931034],0
u3,1,0.003581,8.484976,[84 49] ; [22 33],[74.9893617 58.0106383] ; [31.0106383 23.9893617],0
s7,1,0.004163,8.211335,[184 249] ; [34 87],[170.38628159 262.61371841] ; [47.61371841 73.38628159],0
s3,1,0.011654,6.362787,[224 224] ; [47 79],[211.51219512 236.48780488] ; [59.48780488 66.51219512],0
s2,1,0.012245,6.27499,[185 265] ; [37 91],[172.83737024 277.16262976] ; [49.16262976 78.83737024],0
v3,1,0.014361,5.99322,[169 259] ; [35 92],[157.31891892 270.68108108] ; [46.68108108 80.31891892],0
b4,1,0.018042,5.592041,[269 184] ; [61 67],[257.29776248 195.70223752] ; [72.70223752 55.29776248],0
d2,1,0.020441,5.373853,[211 241] ; [45 83],[199.50344828 252.49655172] ; [56.49655172 71.50344828],0
a8,1,0.030351,4.689317,[ 57 351] ; [  8 113],[ 50.13232514 357.86767486] ; [ 14.86767486 106.13232514],0
p10,1,0.030672,4.671252,[350  98] ; [86 39],[340.88656195 107.11343805] ; [95.11343805 29.88656195],0
p4,1,0.038133,4.299061,[254 196] ; [58 68],[243.75 206.25] ; [68.25 57.75],0
p2,1,0.072003,3.236753,[372  78] ; [96 31],[364.99133449  85.00866551] ; [103.00866551  23.99133449],0
p3,1,0.112364,2.52065,[204 247] ; [47 79],[196.18890815 254.81109185] ; [54.81109185 71.18890815],0
s1,1,0.117761,2.446853,[ 15 431] ; [  1 127],[ 12.43205575 433.56794425] ; [  3.56794425 124.43205575],0
p11,1,0.12663,2.333334,[358  95] ; [93 35],[351.64027539 101.35972461] ; [99.35972461 28.64027539],0
n5,1,0.12766,2.320726,[328 121] ; [84 43],[321.15972222 127.84027778] ; [90.84027778 36.15972222],0
u2,1,0.163586,1.94076,[80 53] ; [27 28],[75.69680851 57.30319149] ; [31.30319149 23.69680851],0
p7,1,0.169214,1.889889,[266 174] ; [67 58],[259.32743363 180.67256637] ; [73.67256637 51.32743363],0
p8,1,0.177101,1.821788,[221 224] ; [54 72],[214.31698774 230.68301226] ; [60.68301226 65.31698774],0
u4,1,0.247319,1.338385,[ 11 442] ; [  1 127],[  9.35628227 443.64371773] ; [  2.64371773 125.35628227],0
a1,1,0.321063,0.984613,[ 16 437] ; [  7 121],[ 17.93287435 435.06712565] ; [  5.06712565 122.93287435],0
s4,1,0.326541,0.962569,[ 49 400] ; [ 18 110],[ 52.13691508 396.86308492] ; [ 14.86308492 113.13691508],0
p6,1,0.359528,0.839543,[138 309] ; [33 91],[133.86514886 313.13485114] ; [37.13485114 86.86514886],0
n6,1,0.405029,0.693345,[368  84] ; [100  28],[364.71724138  87.28275862] ; [103.28275862  24.71724138],0
b5,1,0.43079,0.620693,[280 173] ; [84 44],[283.80722892 169.19277108] ; [80.19277108 47.80722892],0
n3,1,0.442753,0.589138,[68 32] ; [32 11],[69.93006993 30.06993007] ; [30.06993007 12.93006993],0
b1,1,0.480875,0.496878,[172 281] ; [53 75],[175.4302926 277.5697074] ; [49.5697074 78.4302926],0
n2,1,0.521358,0.411207,[68 34] ; [31 12],[69.64137931 32.35862069] ; [29.35862069 13.64137931],0
p12,1,0.594765,0.282965,[ 23 426] ; [  5 121],[ 21.86434783 427.13565217] ; [  6.13565217 119.86434783],0
p9,1,0.702606,0.145775,[359  90] ; [98 27],[357.47909408  91.52090592] ; [99.52090592 25.47909408],0
b2,1,0.724363,0.12435,[ 94 174] ; [25 51],[ 92.70930233 175.29069767] ; [26.29069767 49.70930233],0
b3,1,0.724363,0.12435,[ 94 174] ; [25 51],[ 92.70930233 175.29069767] ; [26.29069767 49.70930233],0
n1,1,0.909203,0.013006,[33 69] ; [14 28],[33.29166667 68.70833333] ; [13.70833333 28.29166667],0
p5,1,0.980553,0.000594,[ 25 424] ; [  7 120],[ 24.94444444 424.05555556] ; [  7.05555556 119.94444444],0
p1,1,0.990845,0.000132,[ 28 422] ; [  8 120],[ 28.02768166 421.97231834] ; [  7.97231834 120.02768166],0
