Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,82.11076,[199  70] ; [ 40 104],[155.66828087 113.33171913] ; [83.33171913 60.66828087],1
p6,1,0.0,41.974744,[140 126] ; [ 28 115],[109.26161369 156.73838631] ; [58.73838631 84.26161369],1
p8,1,0.0,39.526379,[183  84] ; [51 90],[153.13235294 113.86764706] ; [80.86764706 60.13235294],1
p5,1,1e-06,24.841874,[ 53 216] ; [  3 141],[ 36.47457627 232.52542373] ; [ 19.52542373 124.47457627],1
p2,1,1e-06,23.305525,[248  21] ; [108  36],[231.87409201  37.12590799] ; [124.12590799  19.87409201],1
v1,1,3e-05,17.43177,[194  70] ; [74 66],[175.12871287  88.87128713] ; [92.87128713 47.12871287],1
n5,1,8e-05,15.557704,[231  36] ; [100  42],[216.0806846  50.9193154] ; [114.9193154  27.0806846],1
p7,1,0.000105,15.05344,[207  59] ; [84 57],[190.18673219  75.81326781] ; [100.81326781  40.18673219],1
n4,1,0.001273,10.381011,[231  38] ; [105  39],[218.84745763  50.15254237] ; [117.15254237  26.84745763],0
p12,1,0.001322,10.311673,[ 39 230] ; [  6 138],[ 29.30992736 239.69007264] ; [ 15.69007264 128.30992736],0
d2,1,0.002817,8.922634,[153 115] ; [60 84],[138.55339806 129.44660194] ; [74.44660194 69.55339806],0
s6,1,0.0032,8.689968,[198  65] ; [87 55],[185.07407407  77.92592593] ; [99.92592593 42.07407407],0
d1,1,0.003636,8.457293,[188  81] ; [80 64],[174.55690073  94.44309927] ; [93.44309927 50.55690073],0
a2,1,0.005902,7.580057,[ 80 189] ; [ 25 119],[ 68.38983051 200.61016949] ; [ 36.61016949 107.38983051],0
u1,1,0.01462,5.961727,[ 67 202] ; [ 21 123],[ 57.31719128 211.68280872] ; [ 30.68280872 113.31719128],0
a5,1,0.014869,5.931971,[225  44] ; [106  38],[215.59079903  53.40920097] ; [115.40920097  28.59079903],0
p11,1,0.028378,4.80497,[238  31] ; [116  28],[230.57142857  38.42857143] ; [123.42857143  20.57142857],0
s7,1,0.02908,4.762853,[150 103] ; [67 73],[139.69720102 113.30279898] ; [77.30279898 62.69720102],0
r4,1,0.031467,4.62732,[256  13] ; [129  15],[250.76271186  18.23728814] ; [134.23728814   9.76271186],0
s5,1,0.040057,4.215451,[109 151] ; [43 94],[ 99.5465995 160.4534005] ; [52.4534005 84.5465995],0
p9,1,0.053886,3.716242,[259   9] ; [133  11],[254.99029126  13.00970874] ; [137.00970874   6.99029126],0
u2,1,0.054084,3.710093,[35 20] ; [17 22],[30.42553191 24.57446809] ; [21.57446809 17.42553191],0
d5,1,0.057835,3.598397,[237  32] ; [117  27],[230.57142857  38.42857143] ; [123.42857143  20.57142857],0
d3,1,0.064852,3.408729,[204  65] ; [97 47],[196.05084746  72.94915254] ; [104.94915254  39.05084746],0
n1,1,0.072397,3.227828,[16 23] ; [ 7 26],[12.45833333 26.54166667] ; [10.54166667 22.45833333],0
a3,1,0.115976,2.470833,[214  55] ; [104  39],[207.62621359  61.37378641] ; [110.37378641  32.62621359],0
u4,1,0.18006,1.797129,[  7 262] ; [  1 143],[  5.21065375 263.78934625] ; [  2.78934625 141.21065375],0
r3,1,0.181262,1.787244,[261   7] ; [142   1],[262.78345499   5.21654501] ; [140.21654501   2.78345499],0
p1,1,0.189921,1.718234,[ 27 241] ; [  9 135],[ 23.41747573 244.58252427] ; [ 12.58252427 131.41747573],0
n3,1,0.196305,1.669656,[32  8] ; [22 11],[29.5890411 10.4109589] ; [24.4109589  8.5890411],0
s8,1,0.214416,1.541353,[139 127] ; [66 78],[133. 133.] ; [72. 72.],0
u3,1,0.223448,1.482088,[37 18] ; [22 18],[34.15789474 20.84210526] ; [24.84210526 15.15789474],0
r2,1,0.257272,1.283377,[252  14] ; [137   4],[254.23587224  11.76412776] ; [134.76412776   6.23587224],0
a4,1,0.262336,1.256388,[129 139] ; [61 83],[123.59223301 144.40776699] ; [66.40776699 77.59223301],0
s2,1,0.28591,1.138783,[151 116] ; [73 70],[145.87317073 121.12682927] ; [78.12682927 64.87317073],0
a7,1,0.31839,0.995549,[209  59] ; [106  38],[204.90291262  63.09708738] ; [110.09708738  33.90291262],0
n6,1,0.338401,0.916478,[239  27] ; [124  19],[236.08312958  29.91687042] ; [126.91687042  16.08312958],0
