Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,79.294746,[45 82] ; [205  47],[83.77308707 43.22691293] ; [166.22691293  85.77308707],1
n6,1,2e-06,22.445275,[74 53] ; [205  48],[93.24473684 33.75526316] ; [185.75526316  67.24473684],1
a5,1,5.9e-05,16.13166,[60 68] ; [173  81],[78.07329843 49.92670157] ; [154.92670157  99.07329843],1
p3,1,0.000209,13.746645,[28 99] ; [104 148],[44.23218997 82.76781003] ; [ 87.76781003 164.23218997],1
d2,1,0.000358,12.739113,[34 94] ; [115 138],[50.05774278 77.94225722] ; [ 98.94225722 154.05774278],1
a4,1,0.000405,12.508548,[30 98] ; [105 146],[45.59366755 82.40633245] ; [ 89.40633245 161.59366755],1
a2,1,0.000537,11.981658,[  9 119] ; [ 53 201],[ 20.77486911 107.22513089] ; [ 41.22513089 212.77486911],1
p11,1,0.001507,10.07063,[79 49] ; [196  58],[92.14659686 35.85340314] ; [182.85340314  71.14659686],0
p4,1,0.001567,9.997935,[43 84] ; [128 123],[57.45238095 69.54761905] ; [113.54761905 137.45238095],0
p10,1,0.003497,8.528361,[73 54] ; [181  69],[85.56498674 41.43501326] ; [168.43501326  81.56498674],0
d1,1,0.006033,7.540478,[48 80] ; [133 121],[60.64921466 67.35078534] ; [120.35078534 133.64921466],0
v1,1,0.006754,7.337208,[41 85] ; [117 131],[53.22994652 72.77005348] ; [104.77005348 143.22994652],0
a8,1,0.008089,7.013619,[  5 116] ; [ 30 200],[ 12.06552707 108.93447293] ; [ 22.93447293 207.06552707],0
d5,1,0.010949,6.473497,[83 44] ; [197  57],[93.33333333 33.66666667] ; [186.66666667  67.33333333],0
r4,1,0.014319,5.998349,[92 36] ; [210  44],[101.19371728  26.80628272] ; [200.80628272  53.19371728],0
v3,1,0.015592,5.848329,[26 98] ; [ 81 164],[35.95663957 88.04336043] ; [ 71.04336043 173.95663957],0
n1,1,0.023135,5.15831,[11 42] ; [24 35],[16.5625 36.4375] ; [18.4375 40.5625],0
r1,1,0.029975,4.710722,[79 49] ; [183  69],[88.25263158 39.74736842] ; [173.74736842  78.25263158],0
u1,1,0.031391,4.631448,[  6 122] ; [ 29 225],[ 11.72774869 116.27225131] ; [ 23.27225131 230.72774869],0
p9,1,0.033959,4.496766,[83 44] ; [190  61],[91.72222222 35.27777778] ; [181.27777778  69.72222222],0
s8,1,0.034303,4.479528,[ 13 115] ; [ 47 207],[ 20.10471204 107.89528796] ; [ 39.89528796 214.10471204],0
s1,1,0.034856,4.452197,[  7 121] ; [  4 245],[  3.73474801 124.26525199] ; [  7.26525199 241.73474801],0
a6,1,0.035222,4.434392,[77 51] ; [180  74],[86.11518325 41.88481675] ; [170.88481675  83.11518325],0
s4,1,0.044209,4.04855,[ 20 108] ; [ 22 229],[ 14.18469657 113.81530343] ; [ 27.81530343 223.18469657],0
r2,1,0.056809,3.628175,[107  21] ; [224  24],[112.68085106  15.31914894] ; [218.31914894  29.68085106],0
s6,1,0.077879,3.108618,[45 82] ; [114 140],[53. 74.] ; [106. 148.],0
p2,1,0.091475,2.848226,[88 39] ; [194  57],[94.74603175 32.25396825] ; [187.25396825  63.74603175],0
b3,1,0.098921,2.722859,[13 45] ; [50 96],[17.91176471 40.08823529] ; [ 45.08823529 100.91176471],0
b2,1,0.098921,2.722859,[13 45] ; [50 96],[17.91176471 40.08823529] ; [ 45.08823529 100.91176471],0
a3,1,0.100105,2.703877,[68 60] ; [156  96],[75.45263158 52.54736842] ; [148.54736842 103.45263158],0
