Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,24.37438,[29 52] ; [101  44],[46.59292035 34.40707965] ; [83.40707965 61.59292035],1
v3,1,7e-06,20.253098,[21 61] ; [81 62],[37.17333333 44.82666667] ; [64.82666667 78.17333333],1
d5,1,0.000247,13.432235,[56 26] ; [127  17],[66.39823009 15.60176991] ; [116.60176991  27.39823009],1
p9,1,0.002092,9.467017,[68 14] ; [139   7],[74.44736842  7.55263158] ; [132.55263158  13.44736842],0
n5,1,0.003957,8.30362,[61 20] ; [131  15],[68.51101322 12.48898678] ; [123.48898678  22.51101322],0
b4,1,0.007308,7.195603,[39 43] ; [96 50],[48.55263158 33.44736842] ; [86.44736842 59.55263158],0
r1,1,0.010596,6.531847,[61 21] ; [128  18],[67.97368421 14.02631579] ; [121.02631579  24.97368421],0
p10,1,0.011353,6.409226,[65 16] ; [134  12],[71.00881057  9.99118943] ; [127.99118943  18.00881057],0
n4,1,0.012242,6.27541,[62 20] ; [129  17],[68.69298246 13.30701754] ; [122.30701754  23.69298246],0
d1,1,0.012756,6.202691,[45 37] ; [104  42],[53.5877193 28.4122807] ; [95.4122807 50.5877193],0
s5,1,0.017373,5.658335,[28 49] ; [75 66],[36.38073394 40.61926606] ; [66.61926606 74.38073394],0
d4,1,0.018223,5.574617,[64 18] ; [129  15],[70.02654867 11.97345133] ; [122.97345133  21.02654867],0
a3,1,0.019972,5.414374,[52 30] ; [112  32],[59.50442478 22.49557522] ; [104.49557522  39.50442478],0
n1,1,0.02176,5.264877,[ 5 13] ; [13  7],[8.52631579 9.47368421] ; [ 9.47368421 10.52631579],0
r4,1,0.021809,5.260936,[72 10] ; [140   6],[76.24561404  5.75438596] ; [135.75438596  10.24561404],0
s4,1,0.02404,5.091743,[25 55] ; [ 26 118],[18.21428571 61.78571429] ; [ 32.78571429 111.21428571],0
s8,1,0.025451,4.992944,[39 42] ; [92 53],[46.95132743 34.04867257] ; [84.04867257 60.95132743],0
v4,1,0.04493,4.021276,[76  5] ; [144   2],[78.50220264  2.49779736] ; [141.49779736   4.50220264],0
p11,1,0.050807,3.814613,[66 16] ; [131  15],[70.85087719 11.14912281] ; [126.14912281  19.85087719],0
a5,1,0.092268,2.834349,[57 25] ; [116  30],[62.21929825 19.78070175] ; [110.78070175  35.21929825],0
b2,1,0.094299,2.799405,[15 31] ; [46 51],[19.62237762 26.37762238] ; [41.37762238 55.62237762],0
b3,1,0.094299,2.799405,[15 31] ; [46 51],[19.62237762 26.37762238] ; [41.37762238 55.62237762],0
u4,1,0.112899,2.51317,[ 1 81] ; [  8 138],[ 3.23684211 78.76315789] ; [  5.76315789 140.23684211],0
s7,1,0.141157,2.165303,[42 36] ; [89 50],[47.0875576 30.9124424] ; [83.9124424 55.0875576],0
a7,1,0.153413,2.037985,[55 27] ; [110  35],[59.60352423 22.39647577] ; [105.39647577  39.60352423],0
r2,1,0.177292,1.820178,[74  6] ; [140   5],[76.08888889  3.91111111] ; [137.91111111   7.08888889],0
u1,1,0.181088,1.788672,[12 70] ; [ 32 114],[15.8245614 66.1754386] ; [ 28.1754386 117.8245614],0
a2,1,0.1841,1.764208,[14 68] ; [ 36 110],[17.98245614 64.01754386] ; [ 32.01754386 113.98245614],0
n3,1,0.19659,1.667524,[14  4] ; [11  8],[12.16216216  5.83783784] ; [12.83783784  6.16216216],0
p4,1,0.196883,1.66535,[68 14] ; [129  16],[71.16299559 10.83700441] ; [125.83700441  19.16299559],0
s1,1,0.204119,1.612653,[ 5 76] ; [  4 142],[ 3.21145374 77.78854626] ; [  5.78854626 140.21145374],0
n6,1,0.224442,1.475743,[71 11] ; [132  12],[73.65486726  8.34513274] ; [129.34513274  14.65486726],0
d3,1,0.245387,1.349378,[57 25] ; [111  34],[60.68722467 21.31277533] ; [107.31277533  37.68722467],0
a4,1,0.29746,1.085546,[34 48] ; [71 75],[37.76315789 44.23684211] ; [67.23684211 78.76315789],0
u2,1,0.300532,1.071834,[18 12] ; [16 18],[15.9375 14.0625] ; [18.0625 15.9375],0
p3,1,0.355435,0.853957,[57 25] ; [109  36],[59.96475771 22.03524229] ; [106.03524229  38.96475771],0
a8,1,0.36092,0.834689,[11 69] ; [ 24 105],[13.39712919 66.60287081] ; [ 21.60287081 107.39712919],0
p12,1,0.408689,0.68261,[11 70] ; [ 26 120],[13.20264317 67.79735683] ; [ 23.79735683 122.20264317],0
p1,1,0.450348,0.569777,[15 67] ; [ 21 124],[13.00440529 68.99559471] ; [ 22.99559471 122.00440529],0
s3,1,0.469966,0.522056,[52 29] ; [86 59],[49.46017699 31.53982301] ; [88.53982301 56.46017699],0
d2,1,0.531295,0.391915,[40 42] ; [77 68],[42.26431718 39.73568282] ; [74.73568282 70.26431718],0
p7,1,0.533075,0.388526,[72  8] ; [134  11],[73.24444444  6.75555556] ; [132.75555556  12.24444444],0
p5,1,0.555683,0.347235,[19 63] ; [ 39 107],[20.85964912 61.14035088] ; [ 37.14035088 108.85964912],0
n2,1,0.56635,0.328827,[14  4] ; [17  3],[14.68421053  3.31578947] ; [16.31578947  3.68421053],0
a6,1,0.599095,0.276364,[53 29] ; [88 56],[51.15929204 30.84070796] ; [89.84070796 54.15929204],0
s2,1,0.740882,0.109353,[47 34] ; [88 58],[48.17180617 32.82819383] ; [86.82819383 59.17180617],0
r3,1,0.755594,0.09689,[76  4] ; [140   6],[76.46017699  3.53982301] ; [139.53982301   6.46017699],0
b5,1,0.773449,0.082867,[45 37] ; [83 63],[46.03508772 35.96491228] ; [81.96491228 64.03508772],0
a1,1,0.808458,0.058766,[ 6 76] ; [ 12 134],[ 6.47368421 75.52631579] ; [ 11.52631579 134.47368421],0
p2,1,0.83094,0.04558,[74  8] ; [133  13],[74.44736842  7.55263158] ; [132.55263158  13.44736842],0
b1,1,0.833438,0.044224,[36 46] ; [62 84],[35.24561404 46.75438596] ; [62.75438596 83.24561404],0
s6,1,0.85168,0.03496,[59 19] ; [109  33],[59.56363636 18.43636364] ; [108.43636364  33.56363636],0
u3,1,0.986995,0.000266,[17 12] ; [20 14],[17.03174603 11.96825397] ; [19.96825397 14.03174603],0
