Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,71.161528,[30 82] ; [58  4],[56.64367816 55.35632184] ; [31.35632184 30.64367816],1
r4,1,6.9e-05,15.827848,[69 46] ; [55  7],[80.56497175 34.43502825] ; [43.43502825 18.56497175],1
s8,1,0.000149,14.386021,[18 95] ; [26 36],[28.41142857 84.58857143] ; [15.58857143 46.41142857],1
n6,1,0.001037,10.760095,[61 52] ; [49 13],[71.02857143 41.97142857] ; [38.97142857 23.02857143],0
p2,1,0.001529,10.043439,[55 60] ; [45 17],[64.97175141 50.02824859] ; [35.02824859 26.97175141],0
v4,1,0.001886,9.657301,[84 29] ; [58  4],[91.69142857 21.30857143] ; [50.30857143 11.69142857],0
r3,1,0.002154,9.413229,[82 32] ; [56  5],[89.89714286 24.10285714] ; [48.10285714 12.89714286],0
p6,1,0.002333,9.267038,[17 94] ; [22 40],[25.02312139 85.97687861] ; [13.97687861 48.02312139],0
v2,1,0.002847,8.903113,[38 74] ; [34 25],[47.15789474 64.84210526] ; [24.84210526 34.15789474],0
s5,1,0.003411,8.573399,[17 94] ; [20 37],[24.44642857 86.55357143] ; [12.55357143 44.44642857],0
d4,1,0.003545,8.503457,[78 35] ; [55  7],[85.88 27.12] ; [47.12 14.88],0
s2,1,0.004344,8.134314,[34 80] ; [32 30],[42.75 71.25] ; [23.25 38.75],0
d1,1,0.005421,7.733447,[49 66] ; [40 22],[57.82485876 57.17514124] ; [31.17514124 30.82485876],0
r1,1,0.005972,7.558829,[66 47] ; [49 13],[74.25714286 38.74285714] ; [40.74285714 21.25714286],0
s6,1,0.006739,7.341335,[49 64] ; [39 21],[57.47976879 55.52023121] ; [30.52023121 29.47976879],0
d3,1,0.006999,7.273236,[65 49] ; [48 14],[73.19318182 40.80681818] ; [39.80681818 22.19318182],0
a7,1,0.012598,6.224746,[69 45] ; [49 13],[76.43181818 37.56818182] ; [41.56818182 20.43181818],0
p8,1,0.015921,5.811626,[26 87] ; [25 37],[32.93142857 80.06857143] ; [18.06857143 43.93142857],0
d5,1,0.025858,4.965468,[78 36] ; [52 10],[84.20454545 29.79545455] ; [45.79545455 16.20454545],0
p7,1,0.027336,4.869471,[41 73] ; [32 28],[47.82758621 66.17241379] ; [25.17241379 34.82758621],0
n2,1,0.034361,4.476631,[28 25] ; [16  4],[31.94520548 21.05479452] ; [12.05479452  7.94520548],0
n1,1,0.057142,3.618462,[23 29] ; [ 4 16],[19.5 32.5] ; [ 7.5 12.5],0
s7,1,0.06056,3.521978,[29 76] ; [24 33],[34.35185185 70.64814815] ; [18.64814815 38.35185185],0
