Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,9e-06,19.821683,[29 77] ; [21  8],[39.25925926 66.74074074] ; [10.74074074 18.25925926],1
s6,1,4.6e-05,16.596194,[45 61] ; [24  4],[54.58208955 51.41791045] ; [14.41791045 13.58208955],1
p5,1,0.001562,10.003642,[ 7 98] ; [ 8 21],[11.75373134 93.24626866] ; [ 3.24626866 25.75373134],0
r4,1,0.00159,9.971721,[53 53] ; [24  5],[60.45925926 45.54074074] ; [16.54074074 12.45925926],0
s3,1,0.002112,9.449526,[38 65] ; [20  9],[45.25757576 57.74242424] ; [12.74242424 16.25757576],0
s7,1,0.006962,7.282847,[31 69] ; [16 11],[37.00787402 62.99212598] ; [ 9.99212598 17.00787402],0
p10,1,0.010301,6.582121,[67 36] ; [26  3],[72.56818182 30.43181818] ; [20.43181818  8.56818182],0
s4,1,0.010831,6.492918,[10 96] ; [ 8 21],[14.13333333 91.86666667] ; [ 3.86666667 25.13333333],0
v4,1,0.01131,6.415926,[79 26] ; [28  1],[83.84328358 21.15671642] ; [23.15671642  5.84328358],0
d3,1,0.012386,6.254755,[49 57] ; [21  8],[54.96296296 51.03703704] ; [15.03703704 13.96296296],0
a5,1,0.020826,5.34129,[55 51] ; [22  7],[60.45925926 45.54074074] ; [16.54074074 12.45925926],0
b4,1,0.020832,5.340833,[59 47] ; [23  6],[64.38518519 41.61481481] ; [17.61481481 11.38518519],0
u2,1,0.024173,5.082181,[15 26] ; [7 2],[18.04 22.96] ; [3.96 5.04],0
s1,1,0.032587,4.567339,[  2 104] ; [ 3 26],[  3.92592593 102.07407407] ; [ 1.07407407 27.92592593],0
p6,1,0.034953,4.447489,[26 75] ; [13 15],[30.53488372 70.46511628] ; [ 8.46511628 19.53488372],0
u3,1,0.042033,4.133867,[ 9 32] ; [5 4],[11.48 29.52] ; [2.52 6.48],0
p2,1,0.04635,3.968833,[70 34] ; [25  4],[74.28571429 29.71428571] ; [20.71428571  8.28571429],0
v1,1,0.063949,3.431891,[38 63] ; [16 12],[42.27906977 58.72093023] ; [11.72093023 16.27906977],0
s8,1,0.073776,3.196937,[26 80] ; [12 17],[29.83703704 76.16296296] ; [ 8.16296296 20.83703704],0
b5,1,0.099113,2.719754,[69 37] ; [14 15],[65.17037037 40.82962963] ; [17.82962963 11.17037037],0
p9,1,0.105111,2.626238,[78 25] ; [26  3],[81.15151515 21.84848485] ; [22.84848485  6.15151515],0
d1,1,0.111059,2.53908,[41 65] ; [16 13],[44.75555556 61.24444444] ; [12.24444444 16.75555556],0
p4,1,0.154383,2.028405,[49 55] ; [18 11],[52.39097744 51.60902256] ; [14.60902256 14.39097744],0
u1,1,0.157302,1.999975,[  4 102] ; [ 3 26],[  5.4962963 100.5037037] ; [ 1.5037037 27.4962963],0
d4,1,0.200765,1.636804,[71 35] ; [23  6],[73.80740741 32.19259259] ; [20.19259259  8.80740741],0
p8,1,0.231041,1.43444,[39 65] ; [14 14],[41.75757576 62.24242424] ; [11.24242424 16.75757576],0
a7,1,0.258574,1.276376,[57 49] ; [19 10],[59.67407407 46.32592593] ; [16.32592593 12.67407407],0
n1,1,0.269544,1.219065,[17 16] ; [2 5],[15.675 17.325] ; [3.325 3.675],0
r2,1,0.281774,1.158512,[77 24] ; [24  4],[79.07751938 21.92248062] ; [21.92248062  6.07751938],0
p7,1,0.292335,1.108835,[52 53] ; [17 11],[54.47368421 50.52631579] ; [14.52631579 13.47368421],0
v2,1,0.300923,1.070099,[42 61] ; [14 13],[44.36923077 58.63076923] ; [11.63076923 15.36923077],0
p11,1,0.360042,0.837748,[75 31] ; [23  6],[76.94814815 29.05185185] ; [21.05185185  7.94814815],0
d2,1,0.378734,0.774809,[42 63] ; [ 9 20],[39.96268657 65.03731343] ; [11.03731343 17.96268657],0
n3,1,0.388662,0.743123,[23 10] ; [6 1],[23.925  9.075] ; [5.075 1.925],0
a1,1,0.391041,0.735702,[ 9 97] ; [ 4 25],[10.20740741 95.79259259] ; [ 2.79259259 26.20740741],0
a3,1,0.397962,0.714477,[64 42] ; [20  9],[65.95555556 40.04444444] ; [18.04444444 10.95555556],0
p3,1,0.423788,0.639788,[42 63] ; [14 15],[43.88059701 61.11940299] ; [12.11940299 16.88059701],0
a8,1,0.436606,0.605187,[12 88] ; [ 2 27],[10.85271318 89.14728682] ; [ 3.14728682 25.85271318],0
n6,1,0.447544,0.576866,[84 21] ; [25  4],[85.41044776 19.58955224] ; [23.58955224  5.41044776],0
p1,1,0.495062,0.465507,[10 96] ; [ 4 25],[10.99259259 95.00740741] ; [ 3.00740741 25.99259259],0
a6,1,0.613218,0.255515,[64 42] ; [16 13],[62.81481481 43.18518519] ; [17.18518519 11.81481481],0
d5,1,0.712913,0.135385,[73 33] ; [21  8],[73.80740741 32.19259259] ; [20.19259259  8.80740741],0
a4,1,0.71575,0.132601,[36 69] ; [11 18],[36.82835821 68.17164179] ; [10.17164179 18.82835821],0
n5,1,0.753245,0.098825,[88 17] ; [25  4],[88.54477612 16.45522388] ; [24.45522388  4.54477612],0
a2,1,0.776903,0.080291,[13 93] ; [ 3 26],[12.56296296 93.43703704] ; [ 3.43703704 25.56296296],0
b2,1,0.790984,0.070243,[25 47] ; [ 5 11],[24.54545455 47.45454545] ; [ 5.45454545 10.54545455],0
b3,1,0.790984,0.070243,[25 47] ; [ 5 11],[24.54545455 47.45454545] ; [ 5.45454545 10.54545455],0
v3,1,0.905308,0.014151,[35 70] ; [ 9 19],[34.73684211 70.26315789] ; [ 9.26315789 18.73684211],0
p12,1,0.974926,0.000988,[ 7 97] ; [ 2 27],[ 7.03759398 96.96240602] ; [ 1.96240602 27.03759398],0
r3,1,0.975425,0.000949,[83 22] ; [23  6],[83.05970149 21.94029851] ; [22.94029851  6.05970149],0
b1,1,0.989945,0.000159,[44 62] ; [12 17],[43.97037037 62.02962963] ; [12.02962963 16.97037037],0
