Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.3e-05,18.968837,[49 11] ; [29 37],[37.14285714 22.85714286] ; [40.85714286 25.14285714],1
s3,1,0.054923,3.684422,[38 22] ; [55 15],[42.92307692 17.07692308] ; [50.07692308 19.92307692],0
a4,1,0.067086,3.352926,[31 29] ; [25 45],[25.84615385 34.15384615] ; [30.15384615 39.84615385],0
s5,1,0.095973,2.771214,[18 38] ; [31 35],[22.49180328 33.50819672] ; [26.50819672 39.49180328],0
s4,1,0.105201,2.62487,[ 8 52] ; [17 52],[11.62790698 48.37209302] ; [13.37209302 55.62790698],0
p10,1,0.113457,2.505391,[47 12] ; [61  7],[50.17322835  8.82677165] ; [57.82677165 10.17322835],0
d1,1,0.126676,2.332773,[38 22] ; [35 35],[33.69230769 26.30769231] ; [39.30769231 30.69230769],0
b4,1,0.134902,2.235162,[37 23] ; [34 36],[32.76923077 27.23076923] ; [38.23076923 31.76923077],0
r3,1,0.137941,2.200781,[59  1] ; [65  5],[57.23076923  2.76923077] ; [66.76923077  3.23076923],0
n4,1,0.140198,2.175787,[50 10] ; [50 19],[46.51162791 13.48837209] ; [53.48837209 15.51162791],0
a5,1,0.155188,2.020503,[47 13] ; [47 23],[43.38461538 16.61538462] ; [50.61538462 19.38461538],0
d4,1,0.162944,1.946691,[52  8] ; [54 16],[48.92307692 11.07692308] ; [57.07692308 12.92307692],0
n6,1,0.185753,1.750986,[53  7] ; [55 14],[50.23255814  9.76744186] ; [57.76744186 11.23255814],0
p1,1,0.200717,1.637151,[ 6 54] ; [ 3 67],[ 4.15384615 55.84615385] ; [ 4.84615385 65.15384615],0
p11,1,0.234648,1.41246,[49 11] ; [51 19],[46.15384615 13.84615385] ; [53.84615385 16.15384615],0
p3,1,0.238265,1.39083,[23 37] ; [20 50],[19.84615385 40.15384615] ; [23.15384615 46.84615385],0
s6,1,0.308097,1.038815,[46 14] ; [57 11],[48.28125 11.71875] ; [54.71875 13.28125],0
a6,1,0.345779,0.888887,[34 25] ; [46 24],[36.58914729 22.41085271] ; [43.41085271 26.58914729],0
b1,1,0.351671,0.867417,[28 32] ; [27 43],[25.38461538 34.61538462] ; [29.61538462 40.38461538],0
n1,1,0.386671,0.749384,[4 7] ; [13 12],[5.19444444 5.80555556] ; [11.80555556 13.19444444],0
a7,1,0.420589,0.648668,[38 22] ; [49 21],[40.15384615 19.84615385] ; [46.84615385 23.15384615],0
v1,1,0.455522,0.556874,[33 26] ; [32 33],[30.92741935 28.07258065] ; [34.07258065 30.92741935],0
n5,1,0.460117,0.54561,[45 15] ; [47 21],[43.125 16.875] ; [48.875 19.125],0
p2,1,0.474481,0.511522,[43 17] ; [54 16],[44.76923077 15.23076923] ; [52.23076923 17.76923077],0
d2,1,0.4816,0.495238,[32 28] ; [33 37],[30. 30.] ; [35. 35.],0
r4,1,0.496012,0.463458,[56  4] ; [63  7],[54.92307692  5.07692308] ; [64.07692308  5.92307692],0
s1,1,0.50093,0.452965,[ 3 55] ; [ 2 68],[ 2.265625 55.734375] ; [ 2.734375 67.265625],0
p5,1,0.518926,0.416027,[ 2 58] ; [ 4 66],[ 2.76923077 57.23076923] ; [ 3.23076923 66.76923077],0
a8,1,0.532519,0.389583,[11 44] ; [10 54],[ 9.70588235 45.29411765] ; [11.29411765 52.70588235],0
v4,1,0.548788,0.359493,[56  4] ; [67  3],[56.76923077  3.23076923] ; [66.23076923  3.76923077],0
