Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,6e-06,20.36745,[98  3] ; [9 5],[93.97391304  7.02608696] ; [13.02608696  0.97391304],1
p2,1,0.000209,13.744696,[86 15] ; [6 8],[80.8 20.2] ; [11.2  2.8],1
r2,1,0.001245,10.421947,[95  5] ; [9 4],[92.03539823  7.96460177] ; [11.96460177  1.03539823],0
r4,1,0.004637,8.015956,[88 13] ; [8 6],[84.31304348 16.68695652] ; [11.68695652  2.31304348],0
v1,1,0.006475,7.413128,[44 53] ; [ 1 13],[39.32432432 57.67567568] ; [5.67567568 8.32432432],0
a8,1,0.015291,5.882677,[ 8 88] ; [4 9],[10.56880734 85.43119266] ; [ 1.43119266 11.56880734],0
d2,1,0.024379,5.067457,[40 61] ; [10  4],[43.91304348 57.08695652] ; [6.08695652 7.91304348],0
b1,1,0.0396,4.234946,[36 65] ; [9 5],[39.52173913 61.47826087] ; [5.47826087 8.52173913],0
p8,1,0.045965,3.982894,[53 48] ; [ 3 10],[49.61403509 51.38596491] ; [6.38596491 6.61403509],0
p11,1,0.048211,3.902625,[76 25] ; [7 7],[72.89565217 28.10434783] ; [10.10434783  3.89565217],0
s5,1,0.055252,3.674472,[11 86] ; [4 9],[13.22727273 83.77272727] ; [ 1.77272727 11.22727273],0
r1,1,0.063667,3.439192,[74 26] ; [7 7],[71.05263158 28.94736842] ; [9.94736842 4.05263158],0
d4,1,0.074624,3.178256,[71 30] ; [13  1],[73.77391304 27.22608696] ; [10.22608696  3.77391304],0
s6,1,0.075658,3.1558,[64 36] ; [5 8],[61.0619469 38.9380531] ; [7.9380531 5.0619469],0
n6,1,0.104849,2.630199,[78 23] ; [8 6],[75.53043478 25.46956522] ; [10.46956522  3.53043478],0
d1,1,0.126105,2.339814,[43 58] ; [9 5],[45.66956522 55.33043478] ; [6.33043478 7.66956522],0
a6,1,0.12762,2.321218,[71 30] ; [7 7],[68.50434783 32.49565217] ; [9.49565217 4.50434783],0
v3,1,0.156263,2.010019,[35 65] ; [ 2 11],[32.74336283 67.25663717] ; [4.25663717 8.74336283],0
b3,1,0.181588,1.784581,[19 38] ; [6 5],[20.95588235 36.04411765] ; [4.04411765 6.95588235],0
b2,1,0.181588,1.784581,[19 38] ; [6 5],[20.95588235 36.04411765] ; [4.04411765 6.95588235],0
p3,1,0.194002,1.686963,[47 53] ; [ 4 10],[44.73684211 55.26315789] ; [6.26315789 7.73684211],0
a3,1,0.226239,1.464354,[62 38] ; [11  3],[64.03508772 35.96491228] ; [8.96491228 5.03508772],0
p12,1,0.229752,1.442396,[ 2 98] ; [ 1 12],[ 2.65486726 97.34513274] ; [ 0.34513274 12.65486726],0
a7,1,0.2317,1.430398,[67 34] ; [7 7],[64.99130435 36.00869565] ; [9.00869565 4.99130435],0
a4,1,0.275834,1.1875,[35 65] ; [7 7],[36.84210526 63.15789474] ; [5.15789474 8.84210526],0
p1,1,0.33693,0.922076,[ 7 94] ; [ 2 12],[ 7.90434783 93.09565217] ; [ 1.09565217 12.90434783],0
p10,1,0.345349,0.890472,[69 30] ; [8 6],[67.46017699 31.53982301] ; [9.53982301 4.46017699],0
n4,1,0.381379,0.766252,[76 25] ; [9 5],[74.65217391 26.34782609] ; [10.34782609  3.65217391],0
p4,1,0.427166,0.630516,[47 53] ; [5 9],[45.61403509 54.38596491] ; [6.38596491 7.61403509],0
s7,1,0.471166,0.51924,[32 65] ; [ 3 10],[30.86363636 66.13636364] ; [4.13636364 8.86363636],0
p9,1,0.482198,0.493887,[74 27] ; [9 5],[72.89565217 28.10434783] ; [10.10434783  3.89565217],0
n2,1,0.487857,0.48125,[21  7] ; [3 2],[20.36363636  7.63636364] ; [3.63636364 1.36363636],0
u3,1,0.549076,0.358974,[19 20] ; [2 1],[19.5 19.5] ; [1.5 1.5],0
p7,1,0.550985,0.355556,[64 34] ; [8 6],[63. 35.] ; [9. 5.],0
a1,1,0.584233,0.299441,[ 4 97] ; [ 1 13],[ 4.39130435 96.60869565] ; [ 0.60869565 13.39130435],0
s1,1,0.59725,0.279163,[ 4 95] ; [ 1 13],[ 4.38053097 94.61946903] ; [ 0.61946903 13.38053097],0
s4,1,0.599778,0.275331,[12 89] ; [ 1 13],[11.4173913 89.5826087] ; [ 1.5826087 12.4173913],0
n5,1,0.60703,0.264523,[71 29] ; [9 5],[70.1754386 29.8245614] ; [9.8245614 4.1754386],0
d3,1,0.651967,0.203429,[64 37] ; [8 6],[63.23478261 37.76521739] ; [8.76521739 5.23478261],0
a5,1,0.651967,0.203429,[64 37] ; [8 6],[63.23478261 37.76521739] ; [8.76521739 5.23478261],0
n3,1,0.739332,0.110714,[18  9] ; [3 1],[18.29032258  8.70967742] ; [2.70967742 1.29032258],0
b5,1,0.74295,0.107551,[53 48] ; [8 6],[53.57391304 47.42608696] ; [7.42608696 6.57391304],0
s8,1,0.758161,0.0948,[33 68] ; [ 4 10],[32.49565217 68.50434783] ; [4.50434783 9.49565217],0
p5,1,0.7996,0.064448,[10 91] ; [ 1 12],[ 9.74561404 91.25438596] ; [ 1.25438596 11.74561404],0
v2,1,0.804072,0.061544,[45 52] ; [6 8],[44.56756757 52.43243243] ; [6.43243243 7.56756757],0
b4,1,0.889937,0.01915,[63 38] ; [9 5],[63.23478261 37.76521739] ; [8.76521739 5.23478261],0
d5,1,0.930712,0.00756,[71 30] ; [10  4],[71.13913043 29.86086957] ; [9.86086957 4.13913043],0
p6,1,0.936377,0.006372,[27 71] ; [ 4 10],[27.125 70.875] ; [ 3.875 10.125],0
