Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,9e-06,19.802317,[15 27] ; [129  50],[27.36651584 14.63348416] ; [116.63348416  62.36651584],1
n5,1,9.4e-05,15.246057,[17 24] ; [131  48],[27.58181818 13.41818182] ; [120.41818182  58.58181818],1
v3,1,0.00179,9.752821,[ 5 34] ; [ 68 106],[13.36619718 25.63380282] ; [ 59.63380282 114.36619718],0
p10,1,0.008514,6.922134,[22 18] ; [134  43],[28.75576037 11.24423963] ; [127.24423963  49.75576037],0
p11,1,0.01475,5.946077,[25 17] ; [140  40],[31.21621622 10.78378378] ; [133.78378378  46.21621622],0
u3,1,0.02576,4.972087,[20  5] ; [51 41],[15.17094017  9.82905983] ; [55.82905983 36.17094017],0
p4,1,0.033831,4.503227,[14 27] ; [94 85],[20.12727273 20.87272727] ; [87.87272727 91.12727273],0
s6,1,0.048885,3.879282,[20 21] ; [115  61],[25.50691244 15.49308756] ; [109.49308756  66.50691244],0
p5,1,0.057281,3.614406,[ 1 41] ; [ 22 156],[ 4.39090909 37.60909091] ; [ 18.60909091 159.39090909],0
b1,1,0.070459,3.272305,[20 22] ; [ 59 121],[14.94594595 27.05405405] ; [ 64.05405405 115.94594595],0
p9,1,0.086755,2.933586,[27 13] ; [140  35],[31.06976744  8.93023256] ; [135.93023256  39.06976744],0
p3,1,0.090721,2.861529,[12 30] ; [ 77 103],[16.83783784 25.16216216] ; [ 72.16216216 107.83783784],0
p7,1,0.097416,2.74734,[18 20] ; [109  67],[22.55140187 15.44859813] ; [104.44859813  71.55140187],0
u2,1,0.100973,2.690109,[17  7] ; [48 44],[13.44827586 10.55172414] ; [51.55172414 40.44827586],0
s7,1,0.106536,2.604869,[10 28] ; [ 69 102],[14.36363636 23.63636364] ; [ 64.63636364 106.36363636],0
s4,1,0.114241,2.494556,[11 31] ; [ 28 149],[ 7.47945205 34.52054795] ; [ 31.52054795 145.47945205],0
a7,1,0.135804,2.224874,[25 17] ; [127  51],[29.01818182 12.98181818] ; [122.98181818  55.01818182],0
r1,1,0.151049,2.061625,[35  7] ; [130  49],[31.35746606 10.64253394] ; [133.64253394  45.35746606],0
n1,1,0.155941,2.01315,[7 4] ; [15 23],[4.93877551 6.06122449] ; [17.06122449 20.93877551],0
v2,1,0.164644,1.93105,[13 24] ; [82 90],[16.81818182 20.18181818] ; [78.18181818 93.81818182],0
b5,1,0.169085,1.891038,[30 12] ; [108  72],[26.10810811 15.89189189] ; [111.89189189  68.10810811],0
u1,1,0.171715,1.867907,[ 3 39] ; [  5 175],[ 1.51351351 40.48648649] ; [  6.48648649 173.51351351],0
p2,1,0.200735,1.637017,[29 13] ; [141  39],[32.16216216  9.83783784] ; [137.83783784  42.16216216],0
d4,1,0.219924,1.504869,[32  9] ; [123  57],[28.75565611 12.24434389] ; [126.24434389  53.75565611],0
n3,1,0.227917,1.453813,[10  1] ; [28 10],[8.53061224 2.46938776] ; [29.46938776  8.53061224],0
b2,1,0.228126,1.452506,[ 3 18] ; [27 74],[ 5.16393443 15.83606557] ; [24.83606557 76.16393443],0
b3,1,0.228126,1.452506,[ 3 18] ; [27 74],[ 5.16393443 15.83606557] ; [24.83606557 76.16393443],0
a6,1,0.230909,1.435254,[26 16] ; [93 87],[22.51351351 19.48648649] ; [96.48648649 83.51351351],0
u4,1,0.259584,1.270974,[ 1 41] ; [  1 179],[ 0.37837838 41.62162162] ; [  1.62162162 178.37837838],0
s2,1,0.317325,0.999941,[16 26] ; [83 95],[18.9 23.1] ; [80.1 97.9],0
a3,1,0.32668,0.962014,[17 25] ; [87 91],[19.85454545 22.14545455] ; [84.14545455 93.85454545],0
a4,1,0.346869,0.884879,[ 6 36] ; [ 37 142],[ 8.1719457 33.8280543] ; [ 34.8280543 144.1719457],0
s8,1,0.355277,0.85452,[12 30] ; [ 65 115],[14.56756757 27.43243243] ; [ 62.43243243 117.56756757],0
r2,1,0.359902,0.838235,[39  3] ; [173   7],[40.10810811  1.89189189] ; [171.89189189   8.10810811],0
v1,1,0.416963,0.65886,[16 25] ; [81 95],[18.32718894 22.67281106] ; [78.67281106 97.32718894],0
a8,1,0.423171,0.641491,[ 4 36] ; [ 25 143],[ 5.57692308 34.42307692] ; [ 23.42307692 144.57692308],0
p8,1,0.430375,0.621811,[16 25] ; [82 97],[18.26363636 22.73636364] ; [79.73636364 99.26363636],0
n2,1,0.449238,0.572573,[9 2] ; [26 11],[8.02083333 2.97916667] ; [26.97916667 10.02083333],0
s5,1,0.47375,0.513216,[ 8 31] ; [ 45 128],[ 9.75 29.25] ; [ 43.25 129.75],0
b4,1,0.57969,0.306736,[26 16] ; [103  77],[24.40540541 17.59459459] ; [104.59459459  75.40540541],0
d3,1,0.652108,0.203253,[26 16] ; [104  75],[24.70588235 17.29411765] ; [105.29411765  73.70588235],0
s1,1,0.764614,0.089657,[ 2 38] ; [  7 170],[ 1.65898618 38.34101382] ; [  7.34101382 169.65898618],0
d1,1,0.768938,0.086297,[15 27] ; [ 60 120],[14.18918919 27.81081081] ; [ 60.81081081 119.18918919],0
d2,1,0.791597,0.069822,[ 9 33] ; [ 42 138],[ 9.64864865 32.35135135] ; [ 41.35135135 138.64864865],0
d5,1,0.856296,0.032794,[29 13] ; [121  58],[28.50678733 13.49321267] ; [121.49321267  57.50678733],0
v4,1,0.904045,0.014533,[39  2] ; [172   8],[39.14479638  1.85520362] ; [171.85520362   8.14479638],0
p1,1,0.905289,0.014157,[ 4 38] ; [ 16 163],[ 3.80090498 38.19909502] ; [ 16.19909502 162.80090498],0
s3,1,0.916493,0.010994,[24 18] ; [99 77],[23.69724771 18.30275229] ; [99.30275229 76.69724771],0
r3,1,0.936866,0.006274,[40  1] ; [175   4],[40.06818182  0.93181818] ; [174.93181818   4.06818182],0
p6,1,0.946166,0.004559,[13 26] ; [ 60 117],[13.18055556 25.81944444] ; [ 59.81944444 117.18055556],0
a1,1,0.950222,0.003897,[ 1 41] ; [  4 176],[ 0.94594595 41.05405405] ; [  4.05405405 175.94594595],0
