Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,84.101005,[320  63] ; [134 134],[267.09984639 115.90015361] ; [186.90015361  81.09984639],1
p3,1,0.0,44.945035,[255 133] ; [107 165],[212.81212121 175.18787879] ; [149.18787879 122.81212121],1
p4,1,0.0,43.129863,[294  94] ; [139 133],[254.55151515 133.44848485] ; [178.44848485  93.55151515],1
p6,1,0.0,32.069236,[193 192] ; [ 76 195],[157.87347561 227.12652439] ; [111.12652439 159.87347561],1
p11,1,3e-06,22.067815,[348  40] ; [207  65],[326.27272727  61.72727273] ; [228.72727273  43.27272727],1
p5,1,4e-06,21.282451,[ 73 315] ; [ 17 254],[ 52.98937785 335.01062215] ; [ 37.01062215 233.98937785],1
s8,1,0.000274,13.237957,[204 181] ; [105 167],[181.07305936 203.92694064] ; [127.92694064 144.07305936],1
r4,1,0.00074,11.386003,[364  24] ; [234  38],[351.55151515  36.44848485] ; [246.44848485  25.55151515],1
n5,1,0.000765,11.324381,[318  68] ; [191  77],[300.41896024  85.58103976] ; [208.58103976  59.41896024],1
p1,1,0.001213,10.470491,[ 47 340] ; [ 13 259],[ 35.23520486 351.76479514] ; [ 24.76479514 247.23520486],0
p10,1,0.001975,9.572269,[364  22] ; [237  34],[353.09893455  32.90106545] ; [247.90106545  23.09893455],0
v3,1,0.002545,9.108025,[168 209] ; [ 86 177],[149.621875 227.378125] ; [104.378125 158.621875],0
v1,1,0.003724,8.413702,[234 145] ; [131 130],[216.1484375 162.8515625] ; [148.8515625 112.1484375],0
r1,1,0.005106,7.841335,[324  62] ; [202  67],[309.97862595  76.02137405] ; [216.02137405  52.97862595],0
p12,1,0.005343,7.75939,[ 44 342] ; [ 14 258],[ 34.02431611 351.97568389] ; [ 23.97568389 248.02431611],0
n4,1,0.008155,6.999142,[318  70] ; [198  72],[304.2674772  83.7325228] ; [211.7325228  58.2674772],0
s5,1,0.020577,5.362242,[149 222] ; [ 82 181],[135.17507886 235.82492114] ; [ 95.82492114 167.17507886],0
n6,1,0.024809,5.037181,[345  40] ; [225  44],[335.55045872  49.44954128] ; [234.44954128  34.55045872],0
b5,1,0.03058,4.676366,[220 168] ; [177  95],[233.38787879 154.61212121] ; [163.61212121 108.38787879],0
s7,1,0.034302,4.479572,[206 164] ; [124 139],[192.89099526 177.10900474] ; [137.10900474 125.89099526],0
d1,1,0.073018,3.213848,[241 147] ; [150 122],[229.86060606 158.13939394] ; [161.13939394 110.86060606],0
v4,1,0.083911,2.987467,[374  10] ; [256  14],[369.90825688  14.09174312] ; [260.09174312   9.90825688],0
a5,1,0.084993,2.966748,[301  87] ; [195  77],[291.58787879  96.41212121] ; [204.41212121  67.58787879],0
a6,1,0.087027,2.928524,[256 131] ; [197  75],[266.02579666 120.97420334] ; [186.97420334  85.02579666],0
a1,1,0.097588,2.74452,[ 22 366] ; [  8 264],[ 17.63636364 370.36363636] ; [ 12.36363636 259.63636364],0
u4,1,0.178287,1.811849,[ 10 377] ; [  3 269],[  7.63429439 379.36570561] ; [  5.36570561 266.63429439],0
d4,1,0.178374,1.81112,[331  56] ; [222  50],[324.75113809  62.24886191] ; [228.24886191  43.75113809],0
n2,1,0.269929,1.217107,[47 14] ; [50 23],[44.15671642 16.84328358] ; [52.84328358 20.15671642],0
u3,1,0.335252,0.928503,[54 48] ; [44 29],[57.12 44.88] ; [40.88 32.12],0
r3,1,0.353419,0.861143,[372  13] ; [257  13],[369.71755725  15.28244275] ; [259.28244275  10.71755725],0
r2,1,0.368667,0.808154,[363  18] ; [251  17],[360.45300462  20.54699538] ; [253.54699538  14.45300462],0
s6,1,0.389439,0.740692,[268 106] ; [185  85],[263.07763975 110.92236025] ; [189.92236025  80.07763975],0
b4,1,0.404175,0.695871,[217 171] ; [161 111],[222.21818182 165.78181818] ; [155.78181818 116.21818182],0
v2,1,0.418723,0.653898,[221 155] ; [145 116],[216.03767661 159.96232339] ; [149.96232339 111.03767661],0
s4,1,0.447994,0.575723,[ 65 318] ; [ 40 231],[ 61.49082569 321.50917431] ; [ 43.50917431 227.49082569],0
b1,1,0.486207,0.484909,[140 248] ; [ 91 181],[135.8 252.2] ; [ 95.2 176.8],0
d5,1,0.502647,0.449344,[322  65] ; [220  51],[318.77507599  68.22492401] ; [223.22492401  47.77507599],0
n1,1,0.512422,0.429118,[23 37] ; [24 49],[21.20300752 38.79699248] ; [25.79699248 47.20300752],0
a2,1,0.520745,0.412418,[ 90 298] ; [ 69 203],[ 93.47272727 294.52727273] ; [ 65.52727273 206.47272727],0
u1,1,0.601735,0.272387,[ 68 320] ; [ 52 220],[ 70.54545455 317.45454545] ; [ 49.45454545 222.54545455],0
n3,1,0.631913,0.229475,[43 17] ; [55 18],[44.21052632 15.78947368] ; [53.78947368 19.21052632],0
s3,1,0.702755,0.145622,[225 158] ; [154 115],[222.63343558 160.36656442] ; [156.36656442 112.63343558],0
d2,1,0.703207,0.145157,[187 201] ; [127 145],[184.59393939 203.40606061] ; [129.40606061 142.59393939],0
a4,1,0.729541,0.119533,[174 213] ; [126 146],[176.17602428 210.82397572] ; [123.82397572 148.17602428],0
a8,1,0.758637,0.094416,[ 54 300] ; [ 35 209],[ 52.68561873 301.31438127] ; [ 36.31438127 207.68561873],0
a7,1,0.810182,0.057692,[286 101] ; [198  73],[284.66261398 102.33738602] ; [199.33738602  71.66261398],0
s2,1,0.827047,0.047738,[202 183] ; [144 126],[203.3740458 181.6259542] ; [142.6259542 127.3740458],0
b2,1,0.841184,0.040152,[ 94 141] ; [62 97],[ 93.04568528 141.95431472] ; [62.95431472 96.04568528],0
b3,1,0.841184,0.040152,[ 94 141] ; [62 97],[ 93.04568528 141.95431472] ; [62.95431472 96.04568528],0
a3,1,0.883716,0.021392,[284 102] ; [198  73],[283.18417047 102.81582953] ; [198.81582953  72.18417047],0
d3,1,0.888492,0.019659,[275 113] ; [190  80],[274.19452888 113.80547112] ; [190.80547112  79.19452888],0
u2,1,0.893938,0.017775,[59 45] ; [41 30],[59.42857143 44.57142857] ; [40.57142857 30.42857143],0
s1,1,0.986589,0.000283,[ 10 376] ; [  7 261],[ 10.03363914 375.96636086] ; [  6.96636086 261.03363914],0
