Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,33.180169,[ 9 42] ; [76 39],[26.11445783 24.88554217] ; [58.88554217 56.11445783],1
s3,1,0.0,28.640867,[12 39] ; [78 36],[27.81818182 23.18181818] ; [62.18181818 51.81818182],1
s8,1,1e-06,24.087561,[ 6 45] ; [60 55],[20.27710843 30.72289157] ; [45.72289157 69.27710843],1
r4,1,1e-06,23.400089,[34 17] ; [109   6],[43.93373494  7.06626506] ; [99.06626506 15.93373494],1
s7,1,3.4e-05,17.183649,[11 34] ; [65 41],[22.64900662 22.35099338] ; [53.35099338 52.64900662],1
p4,1,5e-05,16.455776,[11 38] ; [65 49],[22.84662577 26.15337423] ; [53.15337423 60.84662577],1
n6,1,5.7e-05,16.212137,[23 27] ; [88 25],[34.04907975 15.95092025] ; [76.95092025 36.04907975],1
s5,1,9.3e-05,15.275344,[ 5 44] ; [46 65],[15.61875 33.38125] ; [35.38125 75.61875],1
r3,1,0.000163,14.220409,[37 14] ; [106   7],[44.4695122  6.5304878] ; [98.5304878 14.4695122],1
p9,1,0.001282,10.368439,[22 28] ; [79 33],[31.17283951 18.82716049] ; [69.82716049 42.17283951],0
r2,1,0.004828,7.942679,[43  7] ; [112   3],[46.96969697  3.03030303] ; [108.03030303   6.96969697],0
v1,1,0.005048,7.862265,[14 37] ; [58 56],[22.25454545 28.74545455] ; [49.74545455 64.25454545],0
v2,1,0.007213,7.219053,[17 32] ; [63 46],[24.81012658 24.18987342] ; [55.18987342 53.81012658],0
p7,1,0.008392,6.94787,[15 34] ; [59 52],[22.6625 26.3375] ; [51.3375 59.6625],0
p2,1,0.013091,6.156812,[27 23] ; [84 30],[33.84146341 16.15853659] ; [77.15853659 36.84146341],0
v4,1,0.017476,5.647952,[41  9] ; [108   7],[45.15151515  4.84848485] ; [103.84848485  11.15151515],0
d5,1,0.025805,4.969058,[37 14] ; [99 15],[42.03636364  8.96363636] ; [93.96363636 20.03636364],0
p3,1,0.030409,4.686004,[13 37] ; [50 64],[19.20731707 30.79268293] ; [43.79268293 70.20731707],0
p10,1,0.032376,4.578472,[23 27] ; [71 40],[29.19254658 20.80745342] ; [64.80745342 46.19254658],0
s4,1,0.039353,4.245551,[ 5 46] ; [27 88],[ 9.8313253 41.1686747] ; [22.1686747 92.8313253],0
