Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000189,13.935787,[52 64] ; [18  2],[59.70588235 56.29411765] ; [10.29411765  9.70588235],1
s7,1,0.000932,10.958327,[28 83] ; [12  7],[34.15384615 76.84615385] ; [ 5.84615385 13.15384615],1
s2,1,0.002241,9.340641,[30 85] ; [13  9],[36.09489051 78.90510949] ; [ 6.90510949 15.09489051],0
p5,1,0.016569,5.7415,[  3 112] ; [ 3 18],[  5.07352941 109.92647059] ; [ 0.92647059 20.07352941],0
s4,1,0.030285,4.693016,[19 97] ; [ 8 14],[22.69565217 93.30434783] ; [ 4.30434783 17.69565217],0
n6,1,0.032991,4.546256,[79 36] ; [20  2],[83.10218978 31.89781022] ; [15.89781022  6.10218978],0
s8,1,0.054351,3.701892,[31 85] ; [10 11],[34.71532847 81.28467153] ; [ 6.28467153 14.71532847],0
r1,1,0.085727,2.952837,[64 50] ; [16  5],[67.55555556 46.44444444] ; [12.44444444  8.55555556],0
p7,1,0.093868,2.806757,[48 66] ; [13  8],[51.51111111 62.48888889] ; [ 9.48888889 11.51111111],0
n5,1,0.106869,2.599915,[80 35] ; [19  3],[83.10218978 31.89781022] ; [15.89781022  6.10218978],0
r2,1,0.141637,2.160084,[95 19] ; [21  1],[97.23529412 16.76470588] ; [18.76470588  3.23529412],0
r4,1,0.146899,2.104163,[83 33] ; [19  3],[85.73913043 30.26086957] ; [16.26086957  5.73913043],0
v1,1,0.1509,2.063129,[49 63] ; [ 6 16],[45.97014925 66.02985075] ; [ 9.02985075 12.97014925],0
b5,1,0.167509,1.905096,[66 50] ; [ 9 13],[63.04347826 52.95652174] ; [11.95652174 10.04347826],0
p2,1,0.185438,1.753492,[77 39] ; [17  4],[79.59124088 36.40875912] ; [14.40875912  6.59124088],0
p9,1,0.185935,1.749533,[75 38] ; [17  4],[77.58208955 35.41791045] ; [14.41791045  6.58208955],0
v3,1,0.206147,1.598279,[28 85] ; [ 8 13],[30.35820896 82.64179104] ; [ 5.64179104 15.35820896],0
v2,1,0.20679,1.593756,[34 74] ; [10 12],[36.55384615 71.44615385] ; [ 7.44615385 14.55384615],0
p11,1,0.249725,1.324843,[75 41] ; [17  5],[77.33333333 38.66666667] ; [14.66666667  7.33333333],0
s3,1,0.261532,1.260631,[52 61] ; [13  9],[54.40740741 58.59259259] ; [10.59259259 11.40740741],0
p10,1,0.273849,1.197364,[71 43] ; [15  5],[73.1641791 40.8358209] ; [12.8358209  7.1641791],0
p8,1,0.274492,1.194162,[40 74] ; [10 11],[42.22222222 71.77777778] ; [ 7.77777778 13.22222222],0
u2,1,0.281014,1.162179,[24 40] ; [2 8],[22.48648649 41.51351351] ; [3.51351351 6.48648649],0
d2,1,0.343073,0.898913,[26 90] ; [ 7 15],[27.73913043 88.26086957] ; [ 5.26086957 16.73913043],0
d3,1,0.398495,0.712863,[31 85] ; [ 4 18],[29.42028986 86.57971014] ; [ 5.57971014 16.42028986],0
a7,1,0.400492,0.706849,[62 53] ; [14  8],[63.79562044 51.20437956] ; [12.20437956  9.79562044],0
u1,1,0.40543,0.692163,[  2 114] ; [ 1 21],[  2.52173913 113.47826087] ; [ 0.47826087 21.52173913],0
a3,1,0.442239,0.590466,[52 62] ; [12 10],[53.64705882 60.35294118] ; [10.35294118 11.64705882],0
d5,1,0.4455,0.582075,[53 63] ; [12 10],[54.63768116 61.36231884] ; [10.36231884 11.63768116],0
r3,1,0.475158,0.509956,[91 23] ; [19  3],[92.20588235 21.79411765] ; [17.79411765  4.20588235],0
p1,1,0.481331,0.495847,[ 11 105] ; [ 1 20],[ 10.16058394 105.83941606] ; [ 1.83941606 19.16058394],0
p4,1,0.507379,0.439469,[44 72] ; [10 12],[45.39130435 70.60869565] ; [ 8.60869565 13.39130435],0
a2,1,0.517603,0.418667,[ 10 106] ; [ 1 21],[  9.24637681 106.75362319] ; [ 1.75362319 20.24637681],0
a8,1,0.547795,0.361281,[10 95] ; [ 1 18],[ 9.31451613 95.68548387] ; [ 1.68548387 17.31451613],0
n4,1,0.580109,0.306058,[75 40] ; [15  6],[76.10294118 38.89705882] ; [13.89705882  7.10294118],0
a5,1,0.589692,0.290825,[56 60] ; [12 10],[57.15942029 58.84057971] ; [10.84057971 11.15942029],0
d1,1,0.615519,0.252217,[  3 113] ; [ 1 21],[  3.36231884 112.63768116] ; [ 0.63768116 21.36231884],0
s1,1,0.678513,0.171805,[  8 107] ; [ 2 19],[  8.45588235 106.54411765] ; [ 1.54411765 19.45588235],0
b4,1,0.76641,0.088253,[54 62] ; [11 11],[54.63768116 61.36231884] ; [10.36231884 11.63768116],0
b1,1,0.771794,0.084117,[46 70] ; [ 8 14],[45.39130435 70.60869565] ; [ 8.60869565 13.39130435],0
a6,1,0.808098,0.058991,[60 56] ; [12 10],[60.52173913 55.47826087] ; [11.47826087 10.52173913],0
u3,1,0.823842,0.049554,[28 36] ; [4 6],[27.67567568 36.32432432] ; [4.32432432 5.67567568],0
n1,1,0.826328,0.048142,[15 24] ; [3 4],[15.26086957 23.73913043] ; [2.73913043 4.26086957],0
a4,1,0.845058,0.038192,[24 91] ; [ 5 17],[24.34306569 90.65693431] ; [ 4.65693431 17.34306569],0
p3,1,0.848821,0.036337,[39 76] ; [ 7 15],[38.61313869 76.38686131] ; [ 7.38686131 14.61313869],0
b3,1,0.891024,0.018771,[15 59] ; [2 7],[15.15662651 58.84337349] ; [1.84337349 7.15662651],0
b2,1,0.891024,0.018771,[15 59] ; [2 7],[15.15662651 58.84337349] ; [1.84337349 7.15662651],0
