Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.000191,13.913324,[44 22] ; [ 5 18],[36.33707865 29.66292135] ; [12.66292135 10.33707865],1
r4,1,0.000217,13.677805,[60  6] ; [13 10],[54.13483146 11.86516854] ; [18.86516854  4.13483146],1
a3,1,0.00034,12.833333,[49 17] ; [ 7 15],[42. 24.] ; [14.  8.],1
r3,1,0.000545,11.956159,[62  3] ; [15  7],[57.52873563  7.47126437] ; [19.47126437  2.52873563],1
r1,1,0.000897,11.028666,[56 10] ; [11 11],[50.25 15.75] ; [16.75  5.25],1
v4,1,0.002559,9.097795,[62  3] ; [16  6],[58.27586207  6.72413793] ; [19.72413793  2.27586207],0
p10,1,0.003738,8.406757,[53 11] ; [12 11],[47.81609195 16.18390805] ; [17.18390805  5.81609195],0
p9,1,0.017372,5.658424,[55 10] ; [14  9],[50.96590909 14.03409091] ; [18.03409091  4.96590909],0
d2,1,0.021859,5.256986,[22 44] ; [ 2 21],[17.79775281 48.20224719] ; [ 6.20224719 16.79775281],0
s8,1,0.027749,4.843574,[28 37] ; [ 4 19],[23.63636364 41.36363636] ; [ 8.36363636 14.63636364],0
b4,1,0.032387,4.577889,[40 26] ; [ 8 15],[35.59550562 30.40449438] ; [12.40449438 10.59550562],0
n6,1,0.038438,4.285548,[55 11] ; [13  8],[51.5862069 14.4137931] ; [16.4137931  4.5862069],0
a5,1,0.055662,3.662136,[41 25] ; [ 9 14],[37.07865169 28.92134831] ; [12.92134831 10.07865169],0
p8,1,0.077368,3.119353,[36 28] ; [ 8 15],[32.36781609 31.63218391] ; [11.63218391 11.36781609],0
p2,1,0.088368,2.903853,[49 16] ; [13 10],[45.79545455 19.20454545] ; [16.20454545  6.79545455],0
p6,1,0.149558,2.07675,[21 42] ; [ 4 19],[18.31395349 44.68604651] ; [ 6.68604651 16.31395349],0
u2,1,0.162241,1.953218,[11  6] ; [6 9],[9.03125 7.96875] ; [7.96875 7.03125],0
r2,1,0.16259,1.949973,[60  5] ; [18  4],[58.27586207  6.72413793] ; [19.72413793  2.27586207],0
n4,1,0.177351,1.819686,[49 17] ; [13  9],[46.5 19.5] ; [15.5  6.5],0
v2,1,0.178834,1.807286,[39 24] ; [10 12],[36.31764706 26.68235294] ; [12.68235294  9.31764706],0
a4,1,0.182959,1.773422,[18 47] ; [ 3 19],[15.68965517 49.31034483] ; [ 5.31034483 16.68965517],0
p3,1,0.188338,1.730569,[27 38] ; [ 6 17],[24.375 40.625] ; [ 8.625 14.375],0
b3,1,0.215225,1.535926,[25 25] ; [4 9],[23.01587302 26.98412698] ; [5.98412698 7.01587302],0
b2,1,0.215225,1.535926,[25 25] ; [4 9],[23.01587302 26.98412698] ; [5.98412698 7.01587302],0
u3,1,0.226398,1.463348,[12  5] ; [8 8],[10.3030303  6.6969697] ; [9.6969697 6.3030303],0
b5,1,0.230961,1.434936,[41 25] ; [11 12],[38.56179775 27.43820225] ; [13.43820225  9.56179775],0
s1,1,0.274395,1.194641,[ 4 60] ; [ 3 19],[ 5.20930233 58.79069767] ; [ 1.79069767 20.20930233],0
p4,1,0.277239,1.180573,[34 31] ; [ 9 14],[31.76136364 33.23863636] ; [11.23863636 11.76136364],0
s4,1,0.278914,1.172373,[ 8 57] ; [ 1 22],[ 6.64772727 58.35227273] ; [ 2.35227273 20.64772727],0
p7,1,0.303228,1.059944,[40 24] ; [11 11],[37.95348837 26.04651163] ; [13.04651163  8.95348837],0
n5,1,0.31215,1.021559,[52 14] ; [15  7],[50.25 15.75] ; [16.75  5.25],0
v3,1,0.378723,0.774843,[28 38] ; [ 7 15],[26.25 39.75] ; [ 8.75 13.25],0
s7,1,0.446733,0.578928,[30 32] ; [ 9 14],[28.44705882 33.55294118] ; [10.55294118 12.44705882],0
a7,1,0.448214,0.575163,[42 24] ; [12 10],[40.5 25.5] ; [13.5  8.5],0
a1,1,0.456667,0.554051,[ 3 63] ; [ 2 21],[ 3.70786517 62.29213483] ; [ 1.29213483 21.70786517],0
s5,1,0.503646,0.447245,[15 47] ; [ 4 19],[13.85882353 48.14117647] ; [ 5.14117647 17.85882353],0
p1,1,0.552592,0.352693,[12 53] ; [ 3 20],[11.07954545 53.92045455] ; [ 3.92045455 19.07954545],0
p5,1,0.559578,0.340435,[ 8 56] ; [ 4 19],[ 8.82758621 55.17241379] ; [ 3.17241379 19.82758621],0
d4,1,0.66712,0.184989,[35 31] ; [11 12],[34.11235955 31.88764045] ; [11.88764045 11.11235955],0
a8,1,0.677544,0.172903,[ 7 54] ; [ 3 17],[ 7.5308642 53.4691358] ; [ 2.4691358 17.5308642],0
d3,1,0.772365,0.083684,[31 35] ; [10 13],[30.40449438 35.59550562] ; [10.59550562 12.40449438],0
s6,1,0.798477,0.065187,[37 27] ; [14  9],[37.51724138 26.48275862] ; [13.48275862  9.51724138],0
s3,1,0.816405,0.053904,[36 28] ; [13  9],[36.46511628 27.53488372] ; [12.53488372  9.46511628],0
s2,1,0.882607,0.021805,[29 34] ; [11 12],[29.30232558 33.69767442] ; [10.69767442 12.30232558],0
b1,1,0.943519,0.005019,[31 35] ; [11 12],[31.14606742 34.85393258] ; [10.85393258 12.14606742],0
u1,1,0.968575,0.001552,[ 3 63] ; [ 1 22],[ 2.96629213 63.03370787] ; [ 1.03370787 21.96629213],0
n3,1,1.0,0.0,[6 3] ; [6 3],[6. 3.] ; [6. 3.],0
n2,1,1.0,0.0,[8 1] ; [8 1],[8. 1.] ; [8. 1.],0
n1,1,1.0,0.0,[4 5] ; [4 5],[4. 5.] ; [4. 5.],0
