Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.000925,10.971521,[ 17 386] ; [3 9],[ 19.42168675 383.57831325] ; [ 0.57831325 11.42168675],1
v4,1,0.006136,7.509905,[394  11] ; [10  2],[392.37410072  12.62589928] ; [11.62589928  0.37410072],0
r1,1,0.012831,6.192212,[344  61] ; [7 5],[340.89928058  64.10071942] ; [10.10071942  1.89928058],0
n2,1,0.013562,6.094273,[90 25] ; [1 3],[87.94117647 27.05882353] ; [3.05882353 0.94117647],0
a4,1,0.076605,3.135502,[171 234] ; [ 2 10],[168.02158273 236.97841727] ; [4.97841727 7.02158273],0
p7,1,0.089616,2.881254,[195 194] ; [9 3],[197.89526185 191.10473815] ; [6.10473815 5.89526185],0
d5,1,0.096549,2.761637,[318  87] ; [7 5],[315.64748201  89.35251799] ; [9.35251799 2.64748201],0
s2,1,0.104576,2.634333,[196 206] ; [3 9],[193.23188406 208.76811594] ; [5.76811594 6.23188406],0
n4,1,0.110441,2.547903,[288 116] ; [6 6],[285.51923077 118.48076923] ; [8.48076923 3.51923077],0
v1,1,0.121885,2.392934,[190 209] ; [3 9],[187.3649635 211.6350365] ; [5.6350365 6.3649635],0
s3,1,0.149113,2.081299,[216 181] ; [4 8],[213.54523227 183.45476773] ; [6.45476773 5.54523227],0
d1,1,0.151122,2.060886,[221 186] ; [4 8],[218.55608592 188.44391408] ; [6.44391408 5.55608592],0
p8,1,0.162698,1.948965,[152 244] ; [7 5],[154.32352941 241.67647059] ; [4.67647059 7.32352941],0
p10,1,0.17352,1.852269,[296 102] ; [11  1],[298.01463415  99.98536585] ; [8.98536585 3.01463415],0
b1,1,0.194823,1.680766,[131 276] ; [6 6],[133.07637232 273.92362768] ; [3.92362768 8.07637232],0
a3,1,0.218938,1.511321,[272 134] ; [6 6],[270.01913876 135.98086124] ; [7.98086124 4.01913876],0
b4,1,0.232125,1.427794,[235 172] ; [9 3],[237.01193317 169.98806683] ; [6.98806683 5.01193317],0
u3,1,0.234773,1.411711,[77 56] ; [2 4],[75.58992806 57.41007194] ; [3.41007194 2.58992806],0
a8,1,0.266457,1.234896,[ 56 317] ; [3 8],[ 57.30989583 315.69010417] ; [1.69010417 9.30989583],0
s7,1,0.271294,1.210195,[160 232] ; [3 9],[158.15841584 233.84158416] ; [4.84158416 7.15841584],0
n3,1,0.278412,1.174824,[84 29] ; [2 2],[83.05982906 29.94017094] ; [2.94017094 1.05982906],0
d3,1,0.299659,1.075711,[281 124] ; [10  2],[282.62589928 122.37410072] ; [8.37410072 3.62589928],0
p9,1,0.30194,1.065607,[315  81] ; [11  1],[316.41176471  79.58823529] ; [9.58823529 2.41176471],0
s8,1,0.364082,0.823762,[150 254] ; [6 6],[151.5 252.5] ; [4.5 7.5],0
b5,1,0.409727,0.679594,[258 149] ; [9 3],[259.35322196 147.64677804] ; [7.64677804 4.35322196],0
n5,1,0.421549,0.645992,[279 124] ; [7 5],[277.73012048 125.26987952] ; [8.26987952 3.73012048],0
s6,1,0.422696,0.642808,[253 144] ; [9 3],[254.31295844 142.68704156] ; [7.68704156 4.31295844],0
s1,1,0.427275,0.630219,[ 15 379] ; [ 1 11],[ 15.5270936 378.4729064] ; [ 0.4729064 11.5270936],0
a5,1,0.465441,0.532778,[278 129] ; [7 5],[276.83770883 130.16229117] ; [8.16229117 3.83770883],0
v2,1,0.510858,0.43231,[197 187] ; [5 7],[195.87878788 188.12121212] ; [6.12121212 5.87878788],0
n6,1,0.520894,0.412123,[333  72] ; [9 3],[332.15827338  72.84172662] ; [9.84172662 2.15827338],0
b2,1,0.526617,0.400915,[ 76 151] ; [1 4],[ 75.34051724 151.65948276] ; [1.65948276 3.34051724],0
b3,1,0.526617,0.400915,[ 76 151] ; [1 4],[ 75.34051724 151.65948276] ; [1.65948276 3.34051724],0
p12,1,0.565815,0.329735,[ 19 383] ; [ 1 11],[ 19.42028986 382.57971014] ; [ 0.57971014 11.42028986],0
d4,1,0.570421,0.321978,[330  75] ; [9 3],[329.24460432  75.75539568] ; [9.75539568 2.24460432],0
a7,1,0.618077,0.248579,[297 109] ; [8 4],[296.24401914 109.75598086] ; [8.75598086 3.24401914],0
d2,1,0.652415,0.202869,[176 229] ; [6 6],[176.76258993 228.23741007] ; [5.23741007 6.76258993],0
s5,1,0.789192,0.071482,[111 278] ; [3 9],[110.58852868 278.41147132] ; [3.41147132 8.58852868],0
p4,1,0.791397,0.069959,[152 249] ; [5 7],[152.43825666 248.56174334] ; [4.56174334 7.43825666],0
p2,1,0.816147,0.054058,[316  90] ; [9 3],[315.66985646  90.33014354] ; [9.33014354 2.66985646],0
a6,1,0.937888,0.006072,[275 131] ; [8 4],[274.87559809 131.12440191] ; [8.12440191 3.87559809],0
p6,1,0.964799,0.001948,[102 297] ; [3 9],[101.93430657 297.06569343] ; [3.06569343 8.93430657],0
v3,1,0.980106,0.000622,[130 256] ; [4 8],[129.95979899 256.04020101] ; [4.04020101 7.95979899],0
