Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,64.524523,[43 78] ; [250  78],[78.95991091 42.04008909] ; [214.04008909 113.95991091],1
d3,1,0.0,42.252162,[59 62] ; [263  66],[86.58222222 34.41777778] ; [235.41777778  93.58222222],1
b5,1,0.0,27.746862,[50 71] ; [227 104],[74.15265487 46.84734513] ; [202.84734513 128.15265487],1
a2,1,1e-06,24.443255,[ 12 109] ; [110 221],[32.65929204 88.34070796] ; [ 89.34070796 241.65929204],1
u1,1,4e-06,21.16077,[  9 112] ; [ 92 239],[27.03761062 93.96238938] ; [ 73.96238938 257.03761062],1
s8,1,0.003165,8.709744,[89 32] ; [192 137],[75.55777778 45.44222222] ; [205.44222222 123.55777778],0
d1,1,0.004651,8.010268,[66 55] ; [228 103],[78.70353982 42.29646018] ; [215.29646018 115.70353982],0
r1,1,0.011234,6.427966,[91 30] ; [281  48],[100.02666667  20.97333333] ; [271.97333333  57.02666667],0
b1,1,0.012302,6.266886,[60 61] ; [121 210],[48.45353982 72.54646018] ; [132.54646018 198.45353982],0
r4,1,0.015276,5.884397,[108  13] ; [316  15],[113.50442478   7.49557522] ; [310.49557522  20.50442478],0
p2,1,0.02658,4.917915,[92 27] ; [284  46],[99.65256125 19.34743875] ; [276.34743875  53.65256125],0
s7,1,0.028438,4.8013,[91 25] ; [215 103],[81.78801843 34.21198157] ; [224.21198157  93.78801843],0
b4,1,0.033792,4.505216,[60 61] ; [201 130],[69.86946903 51.13053097] ; [191.13053097 139.86946903],0
d4,1,0.038789,4.27007,[98 22] ; [293  36],[104.49888641  15.50111359] ; [286.50111359  42.49888641],0
p9,1,0.044575,4.034638,[99 20] ; [292  32],[105.03160271  13.96839729] ; [285.96839729  38.03160271],0
a1,1,0.047135,3.940549,[ 12 109] ; [ 16 315],[  7.49557522 113.50442478] ; [ 20.50442478 310.49557522],0
n1,1,0.047458,3.92906,[19 16] ; [22 43],[14.35 20.65] ; [26.65 38.35],0
r2,1,0.068115,3.32788,[115   6] ; [322   6],[117.76614699   3.23385301] ; [319.23385301   8.76614699],0
p10,1,0.070456,3.27237,[96 23] ; [286  41],[101.92376682  17.07623318] ; [280.07623318  46.92376682],0
n3,1,0.076144,3.145339,[23 14] ; [51 14],[26.84313725 10.15686275] ; [47.15686275 17.84313725],0
p4,1,0.164031,1.936662,[72 48] ; [220 108],[78.21428571 41.78571429] ; [213.78571429 114.21428571],0
a5,1,0.169206,1.889965,[86 35] ; [256  75],[91.55309735 29.44690265] ; [250.44690265  80.55309735],0
v1,1,0.179305,1.803374,[75 43] ; [180 139],[68.85583524 49.14416476] ; [186.14416476 132.85583524],0
p12,1,0.179454,1.802143,[  9 109] ; [ 40 290],[ 12.90625 105.09375] ; [ 36.09375 293.90625],0
p1,1,0.20567,1.601647,[  8 112] ; [ 35 294],[ 11.4922049 108.5077951] ; [ 31.5077951 297.4922049],0
n6,1,0.226079,1.465363,[98 21] ; [285  43],[101.96196868  17.03803132] ; [281.03803132  46.96196868],0
b2,1,0.279808,1.168022,[39 50] ; [ 70 119],[34.89568345 54.10431655] ; [ 74.10431655 114.89568345],0
b3,1,0.279808,1.168022,[39 50] ; [ 70 119],[34.89568345 54.10431655] ; [ 74.10431655 114.89568345],0
s5,1,0.291737,1.11159,[61 54] ; [149 166],[56.1627907 58.8372093] ; [153.8372093 161.1627907],0
a3,1,0.319282,0.991884,[95 26] ; [244  86],[90.95121951 30.04878049] ; [248.04878049  81.95121951],0
a8,1,0.376811,0.781079,[ 15 100] ; [ 50 252],[17.92565947 97.07434053] ; [ 47.07434053 254.92565947],0
v3,1,0.414014,0.667245,[54 64] ; [130 184],[50.25925926 67.74074074] ; [133.74074074 180.25925926],0
v2,1,0.433756,0.612745,[64 52] ; [187 128],[67.55452436 48.44547564] ; [183.44547564 131.55452436],0
p8,1,0.475821,0.508425,[59 59] ; [176 151],[62.31460674 55.68539326] ; [172.68539326 154.31460674],0
p7,1,0.517035,0.419804,[81 36] ; [209 108],[78.1797235 38.8202765] ; [211.8202765 105.1797235],0
d2,1,0.541082,0.373538,[61 60] ; [176 152],[63.86859688 57.13140312] ; [173.13140312 154.86859688],0
r3,1,0.566948,0.327815,[116   5] ; [319  10],[116.96666667   4.03333333] ; [318.03333333  10.96666667],0
p11,1,0.60331,0.270032,[96 25] ; [255  76],[93.96238938 27.03761062] ; [257.03761062  73.96238938],0
s4,1,0.628409,0.234224,[31 89] ; [ 77 249],[29.05829596 90.94170404] ; [ 78.94170404 247.05829596],0
u4,1,0.680265,0.169828,[  5 116] ; [ 11 320],[  4.28318584 116.71681416] ; [ 11.71681416 319.28318584],0
p3,1,0.702778,0.145598,[65 55] ; [171 157],[63.21428571 56.78571429] ; [172.78571429 155.21428571],0
d5,1,0.725244,0.123524,[99 21] ; [276  53],[100.22271715  19.77728285] ; [274.77728285  54.22271715],0
a4,1,0.727086,0.121804,[60 61] ; [158 173],[58.35840708 62.64159292] ; [159.64159292 171.35840708],0
s1,1,0.74309,0.10743,[  5 115] ; [ 16 310],[  5.65022422 114.34977578] ; [ 15.34977578 310.65022422],0
u2,1,0.750615,0.101015,[15 11] ; [52 33],[15.69369369 10.30630631] ; [51.30630631 33.69369369],0
n4,1,0.76974,0.085682,[95 25] ; [257  73],[93.86666667 26.13333333] ; [258.13333333  71.86666667],0
s3,1,0.838183,0.041705,[105  16] ; [287  41],[105.63919822  15.36080178] ; [286.36080178  41.63919822],0
n5,1,0.897076,0.016733,[93 26] ; [256  74],[92.49665924 26.50334076] ; [256.50334076  73.49665924],0
p5,1,0.903581,0.014675,[ 15 103] ; [ 43 284],[ 15.37977528 102.62022472] ; [ 42.62022472 284.37977528],0
p6,1,0.942571,0.00519,[50 67] ; [141 186],[50.33108108 66.66891892] ; [140.66891892 186.33108108],0
n2,1,0.9465,0.004503,[29  7] ; [52 13],[28.87128713  7.12871287] ; [52.12871287 12.87128713],0
s6,1,0.97215,0.001219,[101  15] ; [286  42],[101.10810811  14.89189189] ; [285.89189189  42.10810811],0
u3,1,0.986022,0.000307,[18  8] ; [59 26],[18.03603604  7.96396396] ; [58.96396396 26.03603604],0
