Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.776487,[40  9] ; [13 30],[28.22826087 20.77173913] ; [24.77173913 18.22826087],1
a1,1,0.016148,5.786671,[11 39] ; [ 2 41],[ 6.98924731 43.01075269] ; [ 6.01075269 36.98924731],0
r3,1,0.033991,4.495133,[19 28] ; [27 16],[24.02222222 22.97777778] ; [21.97777778 21.02222222],0
a4,1,0.040525,4.195781,[20 29] ; [ 9 34],[15.44565217 33.55434783] ; [13.55434783 29.44565217],0
u3,1,0.054586,3.694682,[ 3 20] ; [ 9 15],[ 5.87234043 17.12765957] ; [ 6.12765957 17.87234043],0
s2,1,0.058839,3.569825,[ 6 43] ; [12 31],[ 9.58695652 39.41304348] ; [ 8.41304348 34.58695652],0
n1,1,0.060432,3.525488,[ 9 11] ; [ 4 18],[ 6.19047619 13.80952381] ; [ 6.80952381 15.19047619],0
v4,1,0.064684,3.413022,[24 25] ; [28 13],[28.31111111 20.68888889] ; [23.68888889 17.31111111],0
a5,1,0.064755,3.411212,[27 23] ; [15 28],[22.58064516 27.41935484] ; [19.41935484 23.58064516],0
s3,1,0.074936,3.171445,[ 8 39] ; [14 28],[11.61797753 35.38202247] ; [10.38202247 31.61797753],0
d2,1,0.085003,2.966554,[23 25] ; [13 30],[18.98901099 29.01098901] ; [17.01098901 25.98901099],0
p2,1,0.161853,1.956824,[21 26] ; [25 17],[24.29213483 22.70786517] ; [21.70786517 20.29213483],0
s1,1,0.164477,1.932572,[ 2 48] ; [ 5 38],[ 3.76344086 46.23655914] ; [ 3.23655914 39.76344086],0
p1,1,0.192151,1.701049,[ 8 42] ; [ 3 39],[ 5.97826087 44.02173913] ; [ 5.02173913 36.97826087],0
a2,1,0.207613,1.587997,[ 6 44] ; [ 2 41],[ 4.30107527 45.69892473] ; [ 3.69892473 39.30107527],0
n2,1,0.216522,1.527273,[12  8] ; [ 9 13],[10. 10.] ; [11. 11.],0
d1,1,0.22098,1.497998,[20 30] ; [12 31],[17.20430108 32.79569892] ; [14.79569892 28.20430108],0
a6,1,0.229328,1.445026,[26 24] ; [17 26],[23.11827957 26.88172043] ; [19.88172043 23.11827957],0
a7,1,0.283241,1.151472,[23 26] ; [25 18],[25.56521739 23.43478261] ; [22.43478261 20.56521739],0
v3,1,0.319242,0.992051,[11 38] ; [ 6 36],[ 9.15384615 39.84615385] ; [ 7.84615385 34.15384615],0
n6,1,0.320198,0.988137,[29 20] ; [21 22],[26.63043478 22.36956522] ; [23.36956522 19.63043478],0
p3,1,0.368546,0.808563,[13 35] ; [ 8 34],[11.2 36.8] ; [ 9.8 32.2],0
s5,1,0.388001,0.745199,[ 5 44] ; [ 7 36],[ 6.39130435 42.60869565] ; [ 5.60869565 37.39130435],0
b2,1,0.405284,0.692593,[11 22] ; [ 4 14],[ 9.70588235 23.29411765] ; [ 5.29411765 12.70588235],0
b3,1,0.405284,0.692593,[11 22] ; [ 4 14],[ 9.70588235 23.29411765] ; [ 5.29411765 12.70588235],0
