Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,58.597807,[54 34] ; [ 22 134],[27.40983607 60.59016393] ; [ 48.59016393 107.40983607],1
s2,1,0.0,35.330708,[61 27] ; [ 46 108],[38.90909091 49.09090909] ; [68.09090909 85.90909091],1
s6,1,1e-06,23.377312,[68 19] ; [70 82],[50.23430962 36.76569038] ; [87.76569038 64.23430962],1
s3,1,2e-06,22.774486,[67 21] ; [68 85],[49.29460581 38.70539419] ; [85.70539419 67.29460581],1
s5,1,4.3e-05,16.734693,[33 51] ; [ 23 126],[20.1888412 63.8111588] ; [ 35.8111588 113.1888412],1
p5,1,0.000388,12.588206,[16 70] ; [  7 147],[ 8.24166667 77.75833333] ; [ 14.75833333 139.24166667],1
p8,1,0.00058,11.839441,[51 36] ; [55 99],[38.26556017 48.73443983] ; [67.73443983 86.26556017],1
p4,1,0.001167,10.541637,[53 35] ; [59 94],[40.89626556 47.10373444] ; [71.10373444 81.89626556],0
v3,1,0.001992,9.556681,[37 47] ; [ 37 114],[26.45106383 57.54893617] ; [ 47.54893617 103.45106383],0
a3,1,0.002856,8.89731,[51 36] ; [60 95],[39.90495868 47.09504132] ; [71.09504132 83.90495868],0
p6,1,0.003413,8.572647,[37 47] ; [ 39 114],[26.93670886 57.06329114] ; [ 49.06329114 103.93670886],0
p7,1,0.004447,8.091463,[61 25] ; [78 72],[50.65254237 35.34745763] ; [88.34745763 61.65254237],0
p1,1,0.005471,7.716837,[12 76] ; [  6 148],[ 6.54545455 81.45454545] ; [ 11.45454545 142.54545455],0
p3,1,0.006798,7.32559,[42 46] ; [ 47 108],[32.23045267 55.76954733] ; [56.76954733 98.23045267],0
s4,1,0.009365,6.751869,[24 64] ; [ 21 132],[16.43153527 71.56846473] ; [ 28.56846473 124.43153527],0
b5,1,0.009416,6.742086,[45 43] ; [106  50],[54.45901639 33.54098361] ; [96.54098361 59.45901639],0
n4,1,0.010352,6.573247,[64 24] ; [87 68],[54.68312757 33.31687243] ; [96.31687243 58.68312757],0
n5,1,0.014594,5.964883,[65 23] ; [89 64],[56.23236515 31.76763485] ; [97.76763485 55.23236515],0
p10,1,0.016154,5.786076,[69 18] ; [98 54],[60.79079498 26.20920502] ; [106.20920502  45.79079498],0
d5,1,0.018128,5.58376,[66 22] ; [93 62],[57.58024691 30.41975309] ; [101.41975309  53.58024691],0
d4,1,0.020033,5.409007,[69 19] ; [100  56],[60.95081967 27.04918033] ; [108.04918033  47.95081967],0
p2,1,0.033173,4.536819,[75 13] ; [113  41],[68.36363636 19.63636364] ; [119.63636364  34.36363636],0
d1,1,0.044604,4.033539,[34 54] ; [ 41 115],[27.04918033 60.95081967] ; [ 47.95081967 108.04918033],0
r2,1,0.055965,3.653113,[82  4] ; [137  19],[77.82644628  8.17355372] ; [141.17355372  14.82644628],0
n3,1,0.086099,2.945835,[12  9] ; [32  9],[14.90322581  6.09677419] ; [29.09677419 11.90322581],0
r1,1,0.088209,2.906762,[64 24] ; [96 59],[57.94238683 30.05761317] ; [102.05761317  52.94238683],0
v1,1,0.097778,2.741422,[43 44] ; [58 93],[36.92016807 50.07983193] ; [64.07983193 86.92016807],0
b2,1,0.101929,2.675095,[19 38] ; [16 61],[14.8880597 42.1119403] ; [20.1119403 56.8880597],0
b3,1,0.101929,2.675095,[19 38] ; [16 61],[14.8880597 42.1119403] ; [20.1119403 56.8880597],0
v4,1,0.102884,2.660253,[84  3] ; [141  14],[80.88842975  6.11157025] ; [144.11157025  10.88842975],0
u1,1,0.113372,2.506571,[ 5 83] ; [  3 153],[ 2.8852459 85.1147541] ; [  5.1147541 150.8852459],0
u3,1,0.18954,1.721189,[23 14] ; [47 48],[19.62121212 17.37878788] ; [50.37878788 44.62121212],0
s1,1,0.196284,1.669808,[ 6 81] ; [  5 148],[ 3.9875 83.0125] ; [  7.0125 145.9875],0
u2,1,0.213623,1.546703,[22 14] ; [46 48],[18.83076923 17.16923077] ; [49.16923077 44.83076923],0
n1,1,0.219638,1.506736,[10 11] ; [13 28],[ 7.79032258 13.20967742] ; [15.20967742 25.79032258],0
d3,1,0.268261,1.225615,[55 33] ; [85 69],[50.90909091 37.09090909] ; [89.09090909 64.90909091],0
b4,1,0.306037,1.047703,[55 33] ; [87 69],[51.21311475 36.78688525] ; [90.78688525 65.21311475],0
a6,1,0.31013,1.030123,[42 46] ; [85 71],[45.80327869 42.19672131] ; [81.19672131 74.80327869],0
r4,1,0.319974,0.989053,[77 11] ; [129  27],[74.29508197 13.70491803] ; [131.70491803  24.29508197],0
p9,1,0.328967,0.952959,[69 18] ; [112  40],[65.88702929 21.11297071] ; [115.11297071  36.88702929],0
p12,1,0.35991,0.838208,[ 5 83] ; [  5 149],[ 3.63636364 84.36363636] ; [  6.36363636 147.63636364],0
n6,1,0.404261,0.695616,[72 16] ; [119  35],[69.45454545 18.54545455] ; [121.54545455  32.45454545],0
a4,1,0.630837,0.230928,[18 70] ; [ 28 128],[16.59016393 71.40983607] ; [ 29.40983607 126.59016393],0
u4,1,0.680284,0.169807,[ 1 87] ; [  1 155],[ 0.72131148 87.27868852] ; [  1.27868852 154.72131148],0
n2,1,0.75555,0.096926,[16  5] ; [29 11],[15.49180328  5.50819672] ; [29.50819672 10.49180328],0
v2,1,0.805953,0.060344,[39 46] ; [65 82],[38.10344828 46.89655172] ; [65.89655172 81.10344828],0
a8,1,0.843572,0.038938,[10 70] ; [ 20 129],[10.48034934 69.51965066] ; [ 19.51965066 129.48034934],0
a1,1,0.887776,0.019915,[ 2 86] ; [  4 152],[ 2.16393443 85.83606557] ; [  3.83606557 152.16393443],0
p11,1,0.930851,0.00753,[67 21] ; [118  38],[66.72131148 21.27868852] ; [118.27868852  37.72131148],0
d2,1,0.936193,0.006409,[19 69] ; [ 33 123],[18.75409836 69.24590164] ; [ 33.24590164 122.75409836],0
a7,1,0.938049,0.006041,[59 29] ; [104  50],[59.27272727 28.72727273] ; [103.72727273  50.27272727],0
b1,1,0.99635,2.1e-05,[31 57] ; [ 55 101],[31.01639344 56.98360656] ; [ 54.98360656 101.01639344],0
