Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,5.7e-05,16.201451,[119  39] ; [18 24],[108.23  49.77] ; [28.77 13.23],1
p10,1,0.004902,7.915231,[145  13] ; [32 10],[139.83  18.17] ; [37.17  4.83],0
p7,1,0.007944,7.046059,[136  19] ; [29 12],[130.48469388  24.51530612] ; [34.51530612  6.48469388],0
p4,1,0.011581,6.373872,[132  25] ; [28 14],[126.23115578  30.76884422] ; [33.76884422  8.23115578],0
p5,1,0.013115,6.153514,[ 39 119] ; [ 3 39],[ 33.18 124.82] ; [ 8.82 33.18],0
n5,1,0.014248,6.007182,[137  21] ; [29 12],[131.79899497  26.20100503] ; [34.20100503  6.79899497],0
d2,1,0.014803,5.939744,[83 74] ; [31 11],[89.93969849 67.06030151] ; [24.06030151 17.93969849],0
p12,1,0.025408,4.995838,[ 30 128] ; [ 2 40],[ 25.28 132.72] ; [ 6.72 35.28],0
n6,1,0.025749,4.972767,[144  12] ; [33  8],[140.16243655  15.83756345] ; [36.83756345  4.16243655],0
n3,1,0.030891,4.659001,[14 12] ; [10  1],[16.86486486  9.13513514] ; [7.13513514 3.86486486],0
s3,1,0.032744,4.559113,[137  20] ; [31 11],[132.54271357  24.45728643] ; [35.45728643  6.54271357],0
u1,1,0.044369,4.042462,[ 36 122] ; [16 26],[ 41.08 116.92] ; [10.92 31.08],0
a7,1,0.048766,3.883383,[110  47] ; [35  6],[114.97474747  42.02525253] ; [30.02525253 10.97474747],0
s7,1,0.064551,3.416411,[118  39] ; [33  4],[122.20103093  34.79896907] ; [28.79896907  8.20103093],0
p9,1,0.091147,2.853998,[148  10] ; [36  6],[145.36  12.64] ; [38.64  3.36],0
a6,1,0.105306,2.623296,[98 58] ; [32 10],[102.42424242  53.57575758] ; [27.57575758 14.42424242],0
d3,1,0.106918,2.599192,[115  42] ; [35  6],[118.93939394  38.06060606] ; [31.06060606  9.93939394],0
p3,1,0.112756,2.515157,[110  47] ; [24 18],[105.71859296  51.28140704] ; [28.28140704 13.71859296],0
p2,1,0.113803,2.500594,[142  16] ; [34  8],[139.04  18.96] ; [36.96  5.04],0
s6,1,0.116351,2.465768,[143  14] ; [33  7],[140.26395939  16.73604061] ; [35.73604061  4.26395939],0
v1,1,0.116678,2.461353,[101  53] ; [22 20],[96.64285714 57.35714286] ; [26.35714286 15.64285714],0
v4,1,0.148376,2.088869,[154   4] ; [39  3],[152.47   5.53] ; [40.53  1.47],0
b1,1,0.218295,1.515543,[66 92] ; [22 20],[69.52 88.48] ; [18.48 23.52],0
