Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,91.714052,[14 88] ; [109  35],[51. 51.] ; [72. 72.],1
d4,1,0.0,67.680615,[59 44] ; [142   2],[83.81781377 19.18218623] ; [117.18218623  26.81781377],1
d3,1,0.0,66.657012,[38 65] ; [125  19],[67.97165992 35.02834008] ; [95.02834008 48.97165992],1
d5,1,0.0,53.325056,[63 40] ; [140   4],[84.65182186 18.34817814] ; [118.34817814  25.65182186],1
a4,1,0.0,35.268873,[25 78] ; [90 54],[47.95546559 55.04453441] ; [67.04453441 76.95546559],1
u1,1,0.0,33.477164,[  2 101] ; [45 99],[19.59919028 83.40080972] ; [ 27.40080972 116.59919028],1
a2,1,0.0,30.653985,[ 6 97] ; [52 92],[24.18623482 78.81376518] ; [ 33.81376518 110.18623482],1
a3,1,1e-06,23.236805,[56 47] ; [119  25],[72.9757085 30.0242915] ; [102.0242915  41.9757085],1
a5,1,2e-06,23.122705,[62 41] ; [125  19],[77.97975709 25.02024291] ; [109.02024291  34.97975709],1
r1,1,8.7e-05,15.398849,[64 38] ; [121  22],[77.02040816 24.97959184] ; [107.97959184  35.02040816],1
s8,1,0.002126,9.437704,[33 69] ; [75 69],[44.7804878 57.2195122] ; [63.2195122 80.7804878],0
s2,1,0.004083,8.246333,[41 62] ; [84 60],[52.12550607 50.87449393] ; [72.87449393 71.12550607],0
r2,1,0.009528,6.721012,[90 11] ; [139   4],[94.79098361  6.20901639] ; [134.20901639   8.79098361],0
s5,1,0.012642,6.218469,[28 69] ; [62 76],[37.14893617 59.85106383] ; [52.85106383 85.14893617],0
n1,1,0.032271,4.584041,[ 4 15] ; [16 15],[ 7.6 11.4] ; [12.4 18.6],0
s6,1,0.038483,4.283559,[63 37] ; [107  35],[70.24793388 29.75206612] ; [99.75206612 42.24793388],0
n4,1,0.060259,3.530235,[73 30] ; [116  27],[79.13414634 23.86585366] ; [109.86585366  33.13414634],0
r4,1,0.076106,3.146149,[86 17] ; [131  13],[90.48987854 12.51012146] ; [126.51012146  17.48987854],0
s7,1,0.077958,3.106966,[40 57] ; [72 64],[46.62660944 50.37339056] ; [65.37339056 70.62660944],0
p6,1,0.078724,3.091049,[41 59] ; [75 68],[47.73662551 52.26337449] ; [68.26337449 74.73662551],0
p10,1,0.088301,2.90507,[76 25] ; [121  23],[81.2122449 19.7877551] ; [115.7877551  28.2122449],0
p4,1,0.092442,2.831319,[76 27] ; [119  25],[81.31578947 21.68421053] ; [113.68421053  30.31578947],0
a6,1,0.11989,2.418761,[64 39] ; [103  41],[69.63967611 33.36032389] ; [97.36032389 46.63967611],0
a7,1,0.132766,2.259855,[69 34] ; [109  35],[74.22672065 28.77327935] ; [103.77327935  40.22672065],0
p9,1,0.14337,2.141412,[84 18] ; [128  16],[87.90243902 14.09756098] ; [124.09756098  19.90243902],0
u3,1,0.14604,2.113129,[25 21] ; [18  7],[27.85915493 18.14084507] ; [15.14084507  9.85915493],0
s3,1,0.210648,1.566969,[52 50] ; [85 59],[56.80487805 45.19512195] ; [80.19512195 63.80487805],0
p12,1,0.224909,1.472774,[ 4 98] ; [ 11 132],[ 6.24489796 95.75510204] ; [  8.75510204 134.24489796],0
b2,1,0.25338,1.304569,[20 41] ; [39 54],[23.37012987 37.62987013] ; [35.62987013 57.37012987],0
b3,1,0.25338,1.304569,[20 41] ; [39 54],[23.37012987 37.62987013] ; [35.62987013 57.37012987],0
v2,1,0.261019,1.263343,[40 61] ; [67 76],[44.29098361 56.70901639] ; [62.70901639 80.29098361],0
v1,1,0.303908,1.056969,[46 56] ; [72 67],[49.94190871 52.05809129] ; [68.05809129 70.94190871],0
p2,1,0.33581,0.92636,[84 18] ; [125  19],[86.65853659 15.34146341] ; [122.34146341  21.65853659],0
b4,1,0.34252,0.900975,[56 47] ; [87 57],[59.63157895 43.36842105] ; [83.36842105 60.63157895],0
v4,1,0.345765,0.88894,[95  8] ; [137   7],[96.74493927  6.25506073] ; [135.25506073   8.74493927],0
p11,1,0.431718,0.618197,[83 20] ; [110  34],[80.48178138 22.51821862] ; [112.51821862  31.48178138],0
r3,1,0.495415,0.464744,[95  8] ; [135   8],[96.30081301  6.69918699] ; [133.69918699   9.30081301],0
b1,1,0.551808,0.354088,[49 54] ; [63 81],[46.70445344 56.29554656] ; [65.29554656 78.70445344],0
u2,1,0.56804,0.325973,[23 24] ; [14 11],[24.15277778 22.84722222] ; [12.84722222 12.15277778],0
p8,1,0.609363,0.261104,[62 39] ; [93 51],[63.89795918 37.10204082] ; [91.10204082 52.89795918],0
n5,1,0.622957,0.241733,[72 29] ; [106  37],[73.68032787 27.31967213] ; [104.31967213  38.68032787],0
s4,1,0.643191,0.214593,[21 81] ; [ 33 110],[22.48163265 79.51836735] ; [ 31.51836735 111.48163265],0
p7,1,0.652236,0.203093,[74 27] ; [101  42],[72.43852459 28.56147541] ; [102.56147541  40.43852459],0
n2,1,0.656278,0.198076,[14  5] ; [21 10],[13.3  5.7] ; [21.7  9.3],0
n3,1,0.702436,0.145951,[15  4] ; [23  8],[14.44  4.56] ; [23.56  7.44],0
a1,1,0.796142,0.066741,[ 5 98] ; [  6 138],[ 4.58704453 98.41295547] ; [  6.41295547 137.58704453],0
a8,1,0.840048,0.040736,[11 86] ; [ 16 115],[11.48684211 85.51315789] ; [ 15.51315789 115.48684211],0
s1,1,0.864942,0.028929,[ 4 99] ; [  5 139],[ 3.75303644 99.24696356] ; [  5.24696356 138.75303644],0
b5,1,0.902876,0.014891,[60 43] ; [85 59],[60.46558704 42.53441296] ; [84.53441296 59.46558704],0
p5,1,0.929648,0.007795,[14 89] ; [ 20 123],[14.23577236 88.76422764] ; [ 19.76422764 123.23577236],0
n6,1,0.948718,0.004137,[86 17] ; [119  23],[86.18367347 16.81632653] ; [118.81632653  23.18367347],0
p1,1,0.983026,0.000453,[10 92] ; [ 14 130],[ 9.95121951 92.04878049] ; [ 14.04878049 129.95121951],0
