Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-06,23.95395,[103  10] ; [22 17],[92.92763158 20.07236842] ; [32.07236842  6.92763158],1
r4,1,1.1e-05,19.326223,[95 18] ; [19 20],[84.75 28.25] ; [29.25  9.75],1
p10,1,3.6e-05,17.073444,[71 41] ; [ 9 28],[60.13422819 51.86577181] ; [19.86577181 17.13422819],1
r3,1,0.000137,14.545154,[96 16] ; [22 17],[87.52317881 24.47682119] ; [30.47682119  8.52317881],1
s6,1,0.000315,12.976693,[75 34] ; [14 25],[65.5472973 43.4527027] ; [23.4527027 15.5472973],1
p4,1,0.000353,12.765225,[59 51] ; [ 8 31],[49.46308725 60.53691275] ; [17.53691275 21.46308725],1
s8,1,0.000376,12.649985,[50 62] ; [ 5 34],[40.79470199 71.20529801] ; [14.20529801 24.79470199],1
p9,1,0.000642,11.650922,[77 34] ; [14 23],[68.25 42.75] ; [22.75 14.25],1
p8,1,0.000758,11.342033,[45 67] ; [ 4 34],[36.58666667 75.41333333] ; [12.41333333 25.58666667],1
p2,1,0.000799,11.24409,[82 30] ; [17 22],[73.43046358 38.56953642] ; [25.56953642 13.43046358],1
n5,1,0.005333,7.762924,[98 15] ; [26 13],[92.18421053 20.81578947] ; [31.81578947  7.18421053],0
p7,1,0.008589,6.906407,[59 51] ; [11 27],[52.02702703 57.97297297] ; [17.97297297 20.02702703],0
s7,1,0.009596,6.708451,[56 48] ; [10 25],[49.38129496 54.61870504] ; [16.61870504 18.38129496],0
b5,1,0.012085,6.29838,[75 38] ; [17 22],[68.39473684 44.60526316] ; [23.60526316 15.39473684],0
u1,1,0.013005,6.16841,[26 87] ; [ 2 37],[20.81578947 92.18421053] ; [ 7.18421053 31.81578947],0
p6,1,0.020205,5.394073,[43 67] ; [ 7 31],[37.16216216 72.83783784] ; [12.83783784 25.16216216],0
r1,1,0.023701,5.116369,[87 25] ; [23 16],[81.58940397 30.41059603] ; [28.41059603 10.58940397],0
r2,1,0.028556,4.794173,[103   7] ; [31  7],[99.59459459 10.40540541] ; [34.40540541  3.59459459],0
d5,1,0.029691,4.727072,[91 22] ; [24 14],[86.05960265 26.94039735] ; [28.94039735  9.05960265],0
s2,1,0.029801,4.72073,[57 55] ; [12 27],[51.17880795 60.82119205] ; [17.82119205 21.17880795],0
a1,1,0.044244,4.047224,[  6 107] ; [ 6 33],[  8.92105263 104.07894737] ; [ 3.07894737 35.92105263],0
v2,1,0.062883,3.459675,[56 56] ; [12 25],[51.11409396 60.88590604] ; [16.88590604 20.11409396],0
d4,1,0.072938,3.215633,[88 25] ; [24 14],[83.81456954 29.18543046] ; [28.18543046  9.81456954],0
d1,1,0.075014,3.169757,[65 48] ; [16 23],[60.21710526 52.78289474] ; [20.78289474 18.21710526],0
s5,1,0.105427,2.621459,[37 70] ; [ 7 28],[33.15492958 73.84507042] ; [10.84507042 24.15492958],0
a7,1,0.123646,2.370516,[79 34] ; [22 17],[75.08552632 37.91447368] ; [25.91447368 13.08552632],0
n1,1,0.132233,2.266092,[21 12] ; [ 8 11],[18.40384615 14.59615385] ; [10.59615385  8.40384615],0
v1,1,0.167424,1.905862,[52 61] ; [13 26],[48.32236842 64.67763158] ; [16.67763158 22.32236842],0
v3,1,0.202599,1.623542,[45 66] ; [10 25],[41.81506849 69.18493151] ; [13.18493151 21.81506849],0
p5,1,0.211748,1.559431,[14 98] ; [ 2 36],[ 11.94666667 100.05333333] ; [ 4.05333333 33.94666667],0
n3,1,0.213808,1.545455,[24 10] ; [9 8],[22. 12.] ; [11.  6.],0
s3,1,0.239733,1.382161,[59 52] ; [16 22],[55.87248322 55.12751678] ; [19.12751678 18.87248322],0
n2,1,0.273211,1.200555,[27  8] ; [12  7],[25.27777778  9.72222222] ; [13.72222222  5.27777778],0
a8,1,0.335936,0.925879,[13 81] ; [ 8 31],[14.84210526 79.15789474] ; [ 6.15789474 32.84210526],0
b1,1,0.360658,0.8356,[60 53] ; [24 15],[62.44736842 50.55263158] ; [21.55263158 17.44736842],0
b2,1,0.383839,0.75837,[19 41] ; [10 14],[20.71428571 39.28571429] ; [ 8.28571429 15.71428571],0
b3,1,0.383839,0.75837,[19 41] ; [10 14],[20.71428571 39.28571429] ; [ 8.28571429 15.71428571],0
p3,1,0.446714,0.578975,[48 64] ; [14 25],[45.98675497 66.01324503] ; [16.01324503 22.98675497],0
a2,1,0.452915,0.563346,[30 83] ; [ 8 31],[28.25 84.75] ; [ 9.75 29.25],0
a4,1,0.521619,0.410692,[55 56] ; [17 22],[53.28 57.72] ; [18.72 20.28],0
u2,1,0.601163,0.273245,[12 24] ; [5 7],[12.75 23.25] ; [4.25 7.75],0
b4,1,0.628775,0.233725,[63 50] ; [20 19],[61.70394737 51.29605263] ; [21.29605263 17.70394737],0
d3,1,0.643972,0.213585,[76 37] ; [24 14],[74.83443709 38.16556291] ; [25.16556291 12.83443709],0
u3,1,0.656128,0.198261,[15 22] ; [4 8],[14.34693878 22.65306122] ; [4.65306122 7.34693878],0
p1,1,0.703747,0.144603,[ 11 102] ; [ 3 36],[ 10.40789474 102.59210526] ; [ 3.59210526 35.40789474],0
a3,1,0.76599,0.08858,[76 35] ; [27 11],[76.73154362 34.26845638] ; [26.26845638 11.73154362],0
s4,1,0.785893,0.073792,[18 94] ; [ 7 32],[18.54304636 93.45695364] ; [ 6.45695364 32.54304636],0
