Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.9e-05,18.275978,[69  8] ; [2 5],[65.08333333 11.91666667] ; [5.91666667 1.08333333],1
b4,1,0.006734,7.342657,[51 26] ; [1 6],[47.66666667 29.33333333] ; [4.33333333 2.66666667],0
p12,1,0.021489,5.286713,[ 4 73] ; [2 5],[ 5.5 71.5] ; [0.5 6.5],0
r3,1,0.021489,5.286713,[73  4] ; [5 2],[71.5  5.5] ; [6.5 0.5],0
r1,1,0.021693,5.270254,[54 22] ; [2 5],[51.27710843 24.72289157] ; [4.72289157 2.27710843],0
v4,1,0.043024,4.094451,[72  5] ; [5 2],[70.58333333  6.41666667] ; [6.41666667 0.58333333],0
a3,1,0.048033,3.908814,[51 26] ; [2 5],[48.58333333 28.41666667] ; [4.41666667 2.58333333],0
p5,1,0.072952,3.215311,[ 6 71] ; [2 5],[ 7.33333333 69.66666667] ; [0.66666667 6.33333333],0
v2,1,0.089192,2.888889,[38 34] ; [1 5],[36. 36.] ; [3. 3.],0
u3,1,0.095757,2.774825,[20  6] ; [2 3],[18.4516129  7.5483871] ; [3.5483871 1.4516129],0
s8,1,0.110612,2.545455,[35 42] ; [1 6],[33. 44.] ; [3. 4.],0
p9,1,0.125286,2.349959,[62 14] ; [4 3],[60.43373494 15.56626506] ; [5.56626506 1.43373494],0
a8,1,0.136249,2.21982,[ 2 68] ; [1 6],[ 2.72727273 67.27272727] ; [0.27272727 6.72727273],0
p8,1,0.157198,2.000972,[45 32] ; [6 1],[46.75 30.25] ; [4.25 2.75],0
n3,1,0.185877,1.75,[13  5] ; [1 2],[12.  6.] ; [2. 1.],0
d2,1,0.195209,1.677862,[30 47] ; [1 6],[28.41666667 48.58333333] ; [2.58333333 4.41666667],0
s3,1,0.198534,1.653124,[41 35] ; [2 5],[39.37349398 36.62650602] ; [3.62650602 3.37349398],0
d1,1,0.211131,1.563657,[41 36] ; [2 5],[39.41666667 37.58333333] ; [3.58333333 3.41666667],0
d5,1,0.216522,1.527273,[60 17] ; [4 3],[58.66666667 18.33333333] ; [5.33333333 1.66666667],0
p6,1,0.217894,1.518185,[25 49] ; [4 3],[26.49382716 47.50617284] ; [2.50617284 4.49382716],0
a7,1,0.294858,1.097307,[58 19] ; [4 3],[56.83333333 20.16666667] ; [5.16666667 1.83333333],0
v3,1,0.319159,0.99239,[18 53] ; [3 4],[19.11538462 51.88461538] ; [1.88461538 5.11538462],0
a1,1,0.330409,0.947296,[ 4 73] ; [1 6],[ 4.58333333 72.41666667] ; [0.41666667 6.58333333],0
s6,1,0.382193,0.763636,[56 21] ; [4 3],[55. 22.] ; [5. 2.],0
b1,1,0.385684,0.752505,[31 46] ; [4 3],[32.08333333 44.91666667] ; [2.91666667 4.08333333],0
p10,1,0.395197,0.722892,[55 21] ; [4 3],[54.02409639 21.97590361] ; [4.97590361 2.02409639],0
u2,1,0.396898,0.717703,[15 10] ; [4 1],[15.83333333  9.16666667] ; [3.16666667 1.83333333],0
b5,1,0.425031,0.636364,[45 32] ; [3 4],[44. 33.] ; [4. 3.],0
p2,1,0.450597,0.569149,[63 13] ; [5 2],[62.26506024 13.73493976] ; [5.73493976 1.26506024],0
s4,1,0.494125,0.467532,[20 57] ; [1 6],[19.25 57.75] ; [1.75 5.25],0
p7,1,0.525906,0.402296,[57 19] ; [6 1],[57.68674699 18.31325301] ; [5.31325301 1.68674699],0
s5,1,0.553306,0.351429,[30 45] ; [2 5],[29.26829268 45.73170732] ; [2.73170732 4.26829268],0
d4,1,0.566533,0.328518,[62 15] ; [5 2],[61.41666667 15.58333333] ; [5.58333333 1.41666667],0
d3,1,0.576646,0.311688,[52 25] ; [4 3],[51.33333333 25.66666667] ; [4.66666667 2.33333333],0
a6,1,0.587855,0.293706,[47 30] ; [5 2],[47.66666667 29.33333333] ; [4.33333333 2.66666667],0
n6,1,0.593718,0.284575,[51 25] ; [4 3],[50.36144578 25.63855422] ; [4.63855422 2.36144578],0
n5,1,0.593718,0.284575,[25 51] ; [3 4],[25.63855422 50.36144578] ; [2.36144578 4.63855422],0
s2,1,0.598222,0.277686,[36 41] ; [4 3],[36.66666667 40.33333333] ; [3.33333333 3.66666667],0
s7,1,0.64328,0.214478,[31 41] ; [2 4],[30.46153846 41.53846154] ; [2.53846154 3.46153846],0
v1,1,0.692348,0.156556,[37 36] ; [3 4],[36.5 36.5] ; [3.5 3.5],0
u1,1,0.749659,0.101818,[ 8 69] ; [1 6],[ 8.25 68.75] ; [0.75 6.25],0
b3,1,0.782097,0.076501,[13 28] ; [1 3],[12.75555556 28.24444444] ; [1.24444444 2.75555556],0
b2,1,0.782097,0.076501,[13 28] ; [1 3],[12.75555556 28.24444444] ; [1.24444444 2.75555556],0
a4,1,0.832636,0.044657,[25 52] ; [2 5],[24.75 52.25] ; [2.25 4.75],0
n1,1,0.843669,0.038889,[ 5 13] ; [1 2],[ 5.14285714 12.85714286] ; [0.85714286 2.14285714],0
p11,1,0.886826,0.020256,[53 24] ; [5 2],[53.16666667 23.83333333] ; [4.83333333 2.16666667],0
a2,1,0.927526,0.008273,[12 65] ; [1 6],[11.91666667 65.08333333] ; [1.08333333 5.91666667],0
a5,1,0.94264,0.005177,[54 23] ; [5 2],[54.08333333 22.91666667] ; [4.91666667 2.08333333],0
