Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1.3e-05,19.019792,[ 5 25] ; [20  7],[13.15789474 16.84210526] ; [11.84210526 15.15789474],1
p2,1,0.001517,10.057265,[ 7 23] ; [17  9],[12.85714286 17.14285714] ; [11.14285714 14.85714286],0
v1,1,0.001785,9.758025,[ 4 26] ; [14 13],[ 9.47368421 20.52631579] ; [ 8.52631579 18.47368421],0
v4,1,0.002099,9.460905,[10 20] ; [20  7],[15.78947368 14.21052632] ; [14.21052632 12.78947368],0
s8,1,0.002945,8.841064,[ 1 29] ; [ 9 18],[ 5.26315789 24.73684211] ; [ 4.73684211 22.26315789],0
p11,1,0.010677,6.518281,[ 5 25] ; [13 14],[ 9.47368421 20.52631579] ; [ 8.52631579 18.47368421],0
s6,1,0.022086,5.238971,[ 5 25] ; [12 15],[ 8.94736842 21.05263158] ; [ 8.05263158 18.94736842],0
p8,1,0.022882,5.177452,[ 4 25] ; [11 16],[ 7.76785714 21.23214286] ; [ 7.23214286 19.76785714],0
b5,1,0.025287,5.004115,[10 20] ; [17 10],[14.21052632 15.78947368] ; [12.78947368 14.21052632],0
s7,1,0.028435,4.801478,[ 4 25] ; [10 15],[ 7.51851852 21.48148148] ; [ 6.48148148 18.51851852],0
p4,1,0.043419,4.079014,[ 5 25] ; [11 16],[ 8.42105263 21.57894737] ; [ 7.57894737 19.42105263],0
a7,1,0.049737,3.850289,[10 20] ; [16 11],[13.68421053 16.31578947] ; [12.31578947 14.68421053],0
p6,1,0.068464,3.319472,[ 1 28] ; [ 5 22],[ 3.10714286 25.89285714] ; [ 2.89285714 24.10714286],0
r2,1,0.075967,3.149139,[17 12] ; [21  5],[20.03636364  8.96363636] ; [17.96363636  8.03636364],0
r4,1,0.091374,2.85,[ 2 28] ; [ 6 21],[ 4.21052632 25.78947368] ; [ 3.78947368 23.21052632],0
b4,1,0.117531,2.449915,[15 15] ; [19  8],[17.89473684 12.10526316] ; [16.10526316 10.89473684],0
p3,1,0.121867,2.393162,[ 5 25] ; [ 9 17],[ 7.5 22.5] ; [ 6.5 19.5],0
p5,1,0.124212,2.363395,[ 1 28] ; [ 4 22],[ 2.63636364 26.36363636] ; [ 2.36363636 23.63636364],0
d4,1,0.128668,2.3085,[14 16] ; [18  9],[16.84210526 13.15789474] ; [15.15789474 11.84210526],0
u3,1,0.143235,2.142857,[ 3 11] ; [5 5],[4.66666667 9.33333333] ; [3.33333333 6.66666667],0
n2,1,0.144127,2.133333,[ 8 12] ; [8 4],[10. 10.] ; [6. 6.],0
d3,1,0.146432,2.109031,[12 18] ; [16 11],[14.73684211 15.26315789] ; [13.26315789 13.73684211],0
s3,1,0.167937,1.90126,[ 8 21] ; [11 13],[10.39622642 18.60377358] ; [ 8.60377358 15.39622642],0
n6,1,0.186357,1.746183,[11 18] ; [15 12],[13.46428571 15.53571429] ; [12.53571429 14.46428571],0
s5,1,0.201749,1.629671,[ 4 26] ; [ 7 19],[ 5.89285714 24.10714286] ; [ 5.10714286 20.89285714],0
v3,1,0.229025,1.446904,[ 4 26] ; [ 7 20],[ 5.78947368 24.21052632] ; [ 5.21052632 21.78947368],0
d5,1,0.22979,1.442159,[13 17] ; [16 11],[15.26315789 14.73684211] ; [13.73684211 13.26315789],0
s2,1,0.244171,1.356352,[ 5 25] ; [ 8 19],[ 6.84210526 23.15789474] ; [ 6.15789474 20.84210526],0
d2,1,0.256066,1.289901,[14 15] ; [ 9 18],[11.91071429 17.08928571] ; [11.08928571 15.91071429],0
s4,1,0.273124,1.200988,[ 8 22] ; [ 4 23],[ 6.31578947 23.68421053] ; [ 5.68421053 21.31578947],0
a5,1,0.324732,0.969792,[15 15] ; [17 10],[16.84210526 13.15789474] ; [15.15789474 11.84210526],0
