Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.2e-05,19.207263,[332  35] ; [36 16],[322.32935561  44.67064439] ; [45.67064439  6.32935561],1
r1,1,0.000472,12.223854,[332  42] ; [37 15],[323.95774648  50.04225352] ; [45.04225352  6.95774648],1
s7,1,0.00596,7.562361,[263  99] ; [25 22],[254.90464548 107.09535452] ; [33.09535452 13.90464548],0
p11,1,0.009261,6.771776,[299  77] ; [33 19],[291.6635514  84.3364486] ; [40.3364486 11.6635514],0
n1,1,0.018499,5.548293,[37 36] ; [ 2 11],[33.10465116 39.89534884] ; [5.89534884 7.10465116],0
p12,1,0.022294,5.222707,[ 48 325] ; [ 1 50],[ 43.10613208 329.89386792] ; [ 5.89386792 45.10613208],0
s8,1,0.032559,4.568806,[244 130] ; [26 26],[237.04225352 136.95774648] ; [32.95774648 19.04225352],0
p9,1,0.034018,4.493791,[334  36] ; [41 10],[329.57244656  40.42755344] ; [45.42755344  5.57244656],0
p6,1,0.039552,4.237014,[154 216] ; [29 22],[160.83135392 209.16864608] ; [22.16864608 28.83135392],0
n3,1,0.041116,4.171232,[60 15] ; [7 6],[57.10227273 17.89772727] ; [9.89772727 3.10227273],0
r2,1,0.055677,3.661708,[372   3] ; [50  2],[370.6088993   4.3911007] ; [51.3911007  0.6088993],0
s5,1,0.072383,3.228132,[181 176] ; [19 32],[175. 182.] ; [25. 26.],0
n2,1,0.086314,2.941811,[61 13] ; [8 5],[58.68965517 15.31034483] ; [10.31034483  2.68965517],0
p1,1,0.13043,2.287377,[ 39 334] ; [ 2 50],[ 35.98352941 337.01647059] ; [ 5.01647059 46.98352941],0
a3,1,0.147676,2.096092,[287  88] ; [35 17],[282.78688525  92.21311475] ; [39.21311475 12.78688525],0
n5,1,0.151203,2.060076,[297  77] ; [36 15],[293.04  80.96] ; [39.96 11.04],0
n4,1,0.233605,1.418777,[300  74] ; [38 14],[296.74178404  77.25821596] ; [41.25821596 10.74178404],0
d1,1,0.241661,1.370879,[248 128] ; [30 22],[244.22429907 131.77570093] ; [33.77570093 18.22429907],0
p4,1,0.262682,1.254565,[249 124] ; [30 21],[245.44103774 127.55896226] ; [33.55896226 17.44103774],0
u1,1,0.297044,1.087416,[ 84 292] ; [15 37],[ 86.97196262 289.02803738] ; [12.02803738 39.97196262],0
d3,1,0.412032,0.672929,[270 104] ; [34 17],[267.52 106.48] ; [36.48 14.52],0
p5,1,0.432681,0.615615,[ 51 319] ; [ 5 46],[ 49.21615202 320.78384798] ; [ 6.78384798 44.21615202],0
p2,1,0.453743,0.561285,[316  58] ; [41 10],[314.16  59.84] ; [42.84  8.16],0
b5,1,0.465039,0.53374,[226 150] ; [34 18],[228.41121495 147.58878505] ; [31.58878505 20.41121495],0
p3,1,0.467834,0.527087,[203 170] ; [25 26],[200.5754717 172.4245283] ; [27.4245283 23.5754717],0
s4,1,0.538621,0.378101,[ 89 283] ; [10 40],[ 87.27014218 284.72985782] ; [11.72985782 38.27014218],0
a8,1,0.543435,0.369211,[ 59 290] ; [ 6 39],[ 57.57614213 291.42385787] ; [ 7.42385787 37.57614213],0
a1,1,0.543654,0.368809,[ 21 355] ; [ 4 48],[ 21.96261682 354.03738318] ; [ 3.03738318 48.96261682],0
a5,1,0.546872,0.36295,[289  87] ; [38 14],[287.27102804  88.72897196] ; [39.72897196 12.27102804],0
a6,1,0.556672,0.345499,[245 128] ; [32 20],[243.10823529 129.89176471] ; [33.89176471 18.10823529],0
b1,1,0.566963,0.32779,[153 223] ; [19 33],[151.10280374 224.89719626] ; [20.89719626 31.10280374],0
d4,1,0.575249,0.313978,[326  47] ; [44  8],[324.72941176  48.27058824] ; [45.27058824  6.72941176],0
d2,1,0.586904,0.295205,[202 172] ; [26 26],[200.16901408 173.83098592] ; [27.83098592 24.16901408],0
p10,1,0.587514,0.294243,[323  48] ; [43  8],[321.76777251  49.23222749] ; [44.23222749  6.76777251],0
v4,1,0.588865,0.29212,[372   4] ; [51  1],[371.60747664   4.39252336] ; [51.39252336  0.60747664],0
a2,1,0.602894,0.270654,[107 269] ; [13 39],[105.42056075 270.57943925] ; [14.57943925 37.42056075],0
d5,1,0.63139,0.23018,[312  61] ; [44  7],[313.17924528  59.82075472] ; [42.82075472  8.17924528],0
p8,1,0.69424,0.154534,[200 171] ; [26 25],[198.68720379 172.31279621] ; [27.31279621 23.68720379],0
u3,1,0.729994,0.119117,[60 27] ; [11  6],[59.39423077 27.60576923] ; [11.60576923  5.39423077],0
a7,1,0.745049,0.105738,[280  95] ; [37 14],[279.04929577  95.95070423] ; [37.95070423 13.04929577],0
s1,1,0.769418,0.085929,[ 18 353] ; [ 2 49],[ 17.58293839 353.41706161] ; [ 2.41706161 48.58293839],0
u2,1,0.801376,0.063286,[54 33] ; [10  7],[53.53846154 33.46153846] ; [10.46153846  6.53846154],0
v1,1,0.803589,0.061854,[216 147] ; [30 22],[215.17590361 147.82409639] ; [30.82409639 21.17590361],0
v3,1,0.820898,0.051253,[155 202] ; [23 28],[155.75 201.25] ; [22.25 28.75],0
a4,1,0.857305,0.03233,[183 193] ; [26 26],[183.60747664 192.39252336] ; [25.39252336 26.60747664],0
v2,1,0.859162,0.031485,[210 146] ; [30 22],[209.41176471 146.58823529] ; [30.58823529 21.41176471],0
n6,1,0.872491,0.025759,[324  47] ; [45  7],[323.63829787  47.36170213] ; [45.36170213  6.63829787],0
