Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,4.5e-05,16.666509,[23 23] ; [ 7 48],[13.66336634 32.33663366] ; [16.33663366 38.66336634],1
p6,1,0.000305,13.038465,[16 31] ; [ 3 50],[ 8.93 38.07] ; [10.07 42.93],1
p2,1,0.001971,9.576488,[34 13] ; [23 32],[26.26470588 20.73529412] ; [30.73529412 24.26470588],0
v4,1,0.002192,9.381152,[43  3] ; [38 17],[36.89108911  9.10891089] ; [44.10891089 10.89108911],0
r3,1,0.009213,6.781108,[41  6] ; [35 19],[35.36633663 11.63366337] ; [40.63366337 13.36633663],0
p10,1,0.011675,6.359606,[18 28] ; [ 9 45],[12.42 33.58] ; [14.58 39.42],0
p3,1,0.015211,5.891812,[19 28] ; [10 44],[13.4950495 33.5049505] ; [15.5049505 38.4950495],0
p4,1,0.016504,5.748419,[24 23] ; [15 39],[18.14851485 28.85148515] ; [20.85148515 33.14851485],0
a4,1,0.020119,5.401514,[11 35] ; [25 29],[16.56 29.44] ; [19.44 34.56],0
r4,1,0.022479,5.208313,[38  9] ; [33 22],[32.71568627 14.28431373] ; [38.28431373 16.71568627],0
a2,1,0.025252,5.006521,[ 4 43] ; [14 41],[ 8.29411765 38.70588235] ; [ 9.70588235 45.29411765],0
p1,1,0.049396,3.86184,[ 2 45] ; [ 9 46],[ 5.06862745 41.93137255] ; [ 5.93137255 49.06862745],0
v2,1,0.051729,3.784524,[21 24] ; [15 39],[16.36363636 28.63636364] ; [19.63636364 34.36363636],0
s6,1,0.058985,3.565705,[28 19] ; [22 32],[23.26732673 23.73267327] ; [26.73267327 27.26732673],0
v1,1,0.067852,3.334236,[20 27] ; [14 41],[15.66666667 31.33333333] ; [18.33333333 36.66666667],0
d2,1,0.078271,3.100437,[21 26] ; [33 20],[25.38 21.62] ; [28.62 24.38],0
u2,1,0.080025,3.064389,[12  9] ; [ 6 14],[ 9.2195122 11.7804878] ; [ 8.7804878 11.2195122],0
a1,1,0.081502,3.034695,[ 2 45] ; [ 8 47],[ 4.60784314 42.39215686] ; [ 5.39215686 49.60784314],0
s3,1,0.098694,2.72653,[26 21] ; [21 33],[21.87128713 25.12871287] ; [25.12871287 28.87128713],0
s2,1,0.101957,2.674659,[20 27] ; [14 38],[16.14141414 30.85858586] ; [17.85858586 34.14141414],0
p11,1,0.108489,2.576088,[28 19] ; [24 31],[23.96078431 23.03921569] ; [28.03921569 26.96078431],0
a6,1,0.151583,2.056251,[26 21] ; [38 17],[29.49019608 17.50980392] ; [34.50980392 20.49019608],0
n3,1,0.161713,1.958132,[10  5] ; [10 13],[7.89473684 7.10526316] ; [12.10526316 10.89473684],0
a3,1,0.161937,1.956047,[24 23] ; [35 19],[27.45544554 19.54455446] ; [31.54455446 22.45544554],0
b2,1,0.173003,1.856726,[ 7 21] ; [16 23],[ 9.6119403 18.3880597] ; [13.3880597 25.6119403],0
b3,1,0.173003,1.856726,[ 7 21] ; [16 23],[ 9.6119403 18.3880597] ; [13.3880597 25.6119403],0
s7,1,0.228061,1.452914,[17 28] ; [14 39],[14.23469388 30.76530612] ; [16.76530612 36.23469388],0
u1,1,0.283604,1.149737,[ 5 42] ; [10 45],[ 6.91176471 40.08823529] ; [ 8.08823529 46.91176471],0
p5,1,0.284077,1.147482,[ 4 42] ; [ 2 53],[ 2.73267327 43.26732673] ; [ 3.26732673 51.73267327],0
r1,1,0.298125,1.082562,[36 11] ; [37 18],[33.6372549 13.3627451] ; [39.3627451 15.6372549],0
n6,1,0.364764,0.821425,[37  9] ; [40 15],[35.06930693 10.93069307] ; [41.93069307 13.06930693],0
b1,1,0.380656,0.768581,[28 19] ; [28 27],[25.80392157 21.19607843] ; [30.19607843 24.80392157],0
a8,1,0.384203,0.757212,[ 7 35] ; [ 5 43],[ 5.6 36.4] ; [ 6.4 41.6],0
b4,1,0.393112,0.729294,[26 21] ; [35 20],[28.10784314 18.89215686] ; [32.89215686 22.10784314],0
d1,1,0.509076,0.435966,[20 27] ; [27 28],[21.65686275 25.34313725] ; [25.34313725 29.65686275],0
s8,1,0.517554,0.418765,[14 33] ; [13 41],[12.56435644 34.43564356] ; [14.43564356 39.56435644],0
n4,1,0.534043,0.386692,[38  9] ; [47  8],[39.16666667  7.83333333] ; [45.83333333  9.16666667],0
s4,1,0.585762,0.297012,[ 6 40] ; [ 9 44],[ 6.96969697 39.03030303] ; [ 8.03030303 44.96969697],0
u3,1,0.606248,0.265675,[11 12] ; [ 8 12],[10.1627907 12.8372093] ; [ 8.8372093 11.1627907],0
d4,1,0.614603,0.253527,[32 14] ; [35 19],[30.82 15.18] ; [36.18 17.82],0
a5,1,0.653547,0.201457,[27 20] ; [34 21],[28.10784314 18.89215686] ; [32.89215686 22.10784314],0
s5,1,0.671689,0.179633,[ 8 38] ; [11 42],[ 8.82828283 37.17171717] ; [10.17171717 42.82828283],0
r2,1,0.744121,0.106538,[42  5] ; [48  7],[41.47058824  5.52941176] ; [48.52941176  6.47058824],0
b5,1,0.768634,0.086532,[27 20] ; [30 25],[26.26470588 20.73529412] ; [30.73529412 24.26470588],0
a7,1,0.778464,0.079141,[30 17] ; [33 21],[29.31683168 17.68316832] ; [33.68316832 20.31683168],0
n2,1,0.791857,0.069643,[9 5] ; [15 10],[8.61538462 5.38461538] ; [15.38461538  9.61538462],0
s1,1,0.862648,0.02993,[ 3 43] ; [ 4 50],[ 3.22 42.78] ; [ 3.78 50.22],0
n1,1,0.876681,0.02408,[6 7] ; [10 13],[5.77777778 7.22222222] ; [10.22222222 12.77777778],0
v3,1,0.902275,0.015077,[14 33] ; [17 38],[14.28431373 32.71568627] ; [16.71568627 38.28431373],0
p12,1,0.910531,0.012627,[ 1 46] ; [ 1 54],[ 0.92156863 46.07843137] ; [ 1.07843137 53.92156863],0
d3,1,0.91233,0.012122,[27 20] ; [31 24],[26.7254902 20.2745098] ; [31.2745098 23.7254902],0
d5,1,0.913104,0.011908,[32 15] ; [38 17],[32.25490196 14.74509804] ; [37.74509804 17.25490196],0
