Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.000986,10.853243,[ 56 220] ; [13 14],[ 62.85148515 213.14851485] ; [ 6.14851485 20.85148515],1
v3,1,0.007196,7.223406,[113 161] ; [ 4 23],[106.50498339 167.49501661] ; [10.49501661 16.50498339],0
s6,1,0.013462,6.107301,[117 162] ; [18  9],[123.08823529 155.91176471] ; [11.91176471 15.08823529],0
r2,1,0.014311,5.999367,[255  22] ; [21  6],[251.48684211  25.51315789] ; [24.51315789  2.48684211],0
a6,1,0.015463,5.862884,[203  79] ; [14 14],[197.4  84.6] ; [19.6  8.4],0
u2,1,0.016835,5.713501,[46 40] ; [ 2 10],[42.12244898 43.87755102] ; [5.87755102 6.12244898],0
r3,1,0.108679,2.573328,[256  24] ; [23  5],[253.63636364  26.36363636] ; [25.36363636  2.63636364],0
a8,1,0.111068,2.538964,[ 38 210] ; [ 1 25],[ 35.29927007 212.70072993] ; [ 3.70072993 22.29927007],0
p6,1,0.129927,2.29338,[ 89 187] ; [13 15],[ 92.60526316 183.39473684] ; [ 9.39473684 18.60526316],0
s2,1,0.153592,2.036207,[ 35 246] ; [ 6 21],[ 37.40584416 243.59415584] ; [ 3.59415584 23.40584416],0
p2,1,0.165547,1.922814,[221  58] ; [19  9],[218.11074919  60.88925081] ; [21.88925081  6.11074919],0
a3,1,0.188402,1.730068,[194  86] ; [16 12],[190.90909091  89.09090909] ; [19.09090909  8.90909091],0
b4,1,0.262063,1.257828,[162 120] ; [13 15],[159.19354839 122.80645161] ; [15.80645161 12.19354839],0
n5,1,0.275754,1.187897,[233  47] ; [21  7],[230.90909091  49.09090909] ; [23.09090909  4.90909091],0
p11,1,0.281686,1.158937,[217  65] ; [19  9],[214.68387097  67.31612903] ; [21.31612903  6.68387097],0
b1,1,0.293908,1.101634,[109 173] ; [ 8 20],[106.43225806 175.56774194] ; [10.56774194 17.43225806],0
r4,1,0.424059,0.639038,[238  44] ; [22  6],[236.51612903  45.48387097] ; [23.48387097  4.51612903],0
p10,1,0.470494,0.520816,[210  66] ; [23  5],[211.53947368  64.46052632] ; [21.46052632  6.53947368],0
p7,1,0.472231,0.516751,[158 118] ; [18 10],[159.78947368 116.21052632] ; [16.21052632 11.78947368],0
n2,1,0.536639,0.381805,[45 24] ; [2 2],[44.42465753 24.57534247] ; [2.57534247 1.42465753],0
p5,1,0.554832,0.348732,[ 30 250] ; [ 2 26],[ 29.09090909 250.90909091] ; [ 2.90909091 25.09090909],0
a2,1,0.557231,0.344521,[ 64 218] ; [ 5 23],[ 62.76774194 219.23225806] ; [ 6.23225806 21.76774194],0
a5,1,0.570614,0.321657,[215  67] ; [20  8],[213.77419355  68.22580645] ; [21.22580645  6.77419355],0
s8,1,0.572522,0.318481,[ 76 204] ; [ 9 19],[ 77.27272727 202.72727273] ; [ 7.72727273 20.27272727],0
a4,1,0.588424,0.292813,[135 145] ; [12 16],[133.63636364 146.36363636] ; [13.36363636 14.63636364],0
d4,1,0.589372,0.291326,[223  58] ; [21  7],[221.88996764  59.11003236] ; [22.11003236  5.88996764],0
a1,1,0.595963,0.281127,[ 17 265] ; [ 1 27],[ 16.37419355 265.62580645] ; [ 1.62580645 26.37419355],0
v1,1,0.602526,0.271203,[144 133] ; [16 12],[145.31147541 131.68852459] ; [14.68852459 13.31147541],0
r1,1,0.608444,0.262447,[213  68] ; [20  8],[211.88673139  69.11326861] ; [21.11326861  6.88673139],0
d3,1,0.619415,0.246691,[178 104] ; [19  9],[179.20645161 102.79354839] ; [17.79354839 10.20645161],0
n1,1,0.61949,0.246584,[25 42] ; [1 3],[24.53521127 42.46478873] ; [1.46478873 2.53521127],0
p4,1,0.625371,0.23839,[156 123] ; [17 11],[157.22149837 121.77850163] ; [15.77850163 12.22149837],0
s1,1,0.631102,0.23057,[  6 273] ; [ 1 27],[  6.36156352 272.63843648] ; [ 0.63843648 27.36156352],0
