Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,44.349525,[103  25] ; [ 77 104],[74.5631068 53.4368932] ; [105.4368932  75.5631068],1
v1,1,5e-06,20.967822,[98 30] ; [92 89],[78.70550162 49.29449838] ; [111.29449838  69.70550162],1
n4,1,4.7e-05,16.552434,[121   8] ; [140  43],[107.91346154  21.08653846] ; [153.08653846  29.91346154],1
p12,1,0.000309,13.014375,[ 27 101] ; [ 13 169],[ 16.51612903 111.48387097] ; [ 23.48387097 158.51612903],1
p5,1,0.001129,10.603856,[35 94] ; [ 23 160],[ 23.98076923 105.01923077] ; [ 34.01923077 148.98076923],0
s7,1,0.001774,9.770047,[88 34] ; [96 81],[75.07692308 46.92307692] ; [108.92307692  68.07692308],0
n5,1,0.002472,9.161208,[113  16] ; [133  48],[102.36774194  26.63225806] ; [143.63225806  37.36774194],0
p9,1,0.004558,8.046892,[122   6] ; [156  27],[114.41800643  13.58199357] ; [163.58199357  19.41800643],0
p10,1,0.008965,6.829771,[117  11] ; [146  35],[108.94498382  19.05501618] ; [154.05501618  26.94498382],0
a1,1,0.015715,5.834489,[ 15 114] ; [  8 175],[  9.50961538 119.49038462] ; [ 13.49038462 169.50961538],0
s8,1,0.016163,5.785029,[83 45] ; [93 89],[72.67096774 55.32903226] ; [103.32903226  78.67096774],0
p8,1,0.019791,5.430233,[97 30] ; [117  66],[87.67096774 39.32903226] ; [126.32903226  56.67096774],0
s4,1,0.024071,5.089536,[ 17 111] ; [ 42 136],[ 24.67973856 103.32026144] ; [ 34.32026144 143.67973856],0
b4,1,0.041312,4.163172,[84 45] ; [98 85],[75.25 53.75] ; [106.75  76.25],0
p3,1,0.04531,4.007049,[93 35] ; [113  70],[84.78456592 43.21543408] ; [121.21543408  61.78456592],0
n6,1,0.051382,3.79579,[118   9] ; [157  26],[112.66129032  14.33870968] ; [162.33870968  20.66129032],0
a3,1,0.095636,2.776847,[99 28] ; [127  56],[92.58709677 34.41290323] ; [133.41290323  49.58709677],0
r4,1,0.124921,2.354514,[124   5] ; [168  15],[120.73076923   8.26923077] ; [171.26923077  11.73076923],0
d1,1,0.156156,2.011063,[87 42] ; [109  74],[81.03846154 47.96153846] ; [114.96153846  68.03846154],0
a5,1,0.217613,1.520046,[101  28] ; [132  51],[96.33653846 32.66346154] ; [136.66346154  46.33653846],0
u4,1,0.218375,1.515019,[  5 124] ; [  3 180],[  3.30769231 125.69230769] ; [  4.69230769 178.30769231],0
b1,1,0.229071,1.446622,[49 80] ; [ 82 101],[54.16346154 74.83653846] ; [ 76.83653846 106.16346154],0
p1,1,0.287106,1.133142,[ 20 108] ; [ 21 162],[ 16.87459807 111.12540193] ; [ 24.12540193 158.87459807],0
p7,1,0.289117,1.123727,[110  16] ; [150  31],[106.71009772  19.28990228] ; [153.28990228  27.71009772],0
n2,1,0.325305,0.967498,[11  7] ; [31 11],[12.6  5.4] ; [29.4 12.6],0
u1,1,0.336291,0.924518,[32 97] ; [ 37 146],[ 28.52884615 100.47115385] ; [ 40.47115385 142.52884615],0
p4,1,0.340997,0.906679,[105  23] ; [142  41],[101.65916399  26.34083601] ; [145.34083601  37.65916399],0
d5,1,0.365295,0.819609,[107  20] ; [146  36],[103.98381877  23.01618123] ; [149.01618123  32.98381877],0
p11,1,0.378391,0.775922,[108  21] ; [146  37],[105.01923077  23.98076923] ; [148.98076923  34.01923077],0
v4,1,0.428912,0.625769,[125   4] ; [174   9],[123.625   5.375] ; [175.375   7.625],0
d3,1,0.435211,0.608876,[95 33] ; [127  54],[91.96116505 36.03883495] ; [130.03883495  50.96116505],0
d4,1,0.511394,0.431213,[109  18] ; [152  31],[106.92580645  20.07419355] ; [154.07419355  28.92580645],0
r2,1,0.561681,0.336802,[124   4] ; [173   8],[123.02912621   4.97087379] ; [173.97087379   7.02912621],0
s5,1,0.564923,0.331251,[56 66] ; [ 74 100],[53.58108108 68.41891892] ; [76.41891892 97.58108108],0
n1,1,0.643071,0.214749,[8 9] ; [17 25],[7.20338983 9.79661017] ; [17.79661017 24.20338983],0
a2,1,0.692217,0.156696,[35 94] ; [ 46 137],[33.49038462 95.50961538] ; [ 47.50961538 135.49038462],0
p2,1,0.696374,0.152271,[116  13] ; [162  21],[114.94230769  14.05769231] ; [163.05769231  19.94230769],0
a7,1,0.700993,0.147441,[91 37] ; [133  49],[92.49032258 35.50967742] ; [131.50967742  50.49032258],0
s1,1,0.728634,0.12037,[  4 124] ; [  7 174],[  4.5566343 123.4433657] ; [  6.4433657 174.5566343],0
u3,1,0.740887,0.109348,[18 12] ; [35 20],[18.70588235 11.29411765] ; [34.29411765 20.70588235],0
