Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.001954,9.592105,[14 10] ; [13 44],[ 8. 16.] ; [19. 38.],0
s6,1,0.005058,7.858481,[15  9] ; [17 41],[ 9.36585366 14.63414634] ; [22.63414634 35.36585366],0
s4,1,0.00727,7.204989,[ 9 15] ; [ 7 52],[ 4.62650602 19.37349398] ; [11.37349398 47.62650602],0
p2,1,0.008468,6.931695,[17  7] ; [23 36],[11.56626506 12.43373494] ; [28.43373494 30.56626506],0
p6,1,0.01318,6.144765,[ 8 16] ; [ 6 51],[ 4.14814815 19.85185185] ; [ 9.85185185 47.14814815],0
r4,1,0.015356,5.875156,[18  6] ; [27 32],[13.01204819 10.98795181] ; [31.98795181 27.01204819],0
n5,1,0.016664,5.731421,[ 5 18] ; [30 29],[ 9.81707317 13.18292683] ; [25.18292683 33.81707317],0
p4,1,0.018635,5.535415,[11 13] ; [12 47],[ 6.65060241 17.34939759] ; [16.34939759 42.65060241],0
d4,1,0.039529,4.237991,[21  3] ; [37 20],[17.18518519  6.81481481] ; [40.81481481 16.18518519],0
d2,1,0.041925,4.138211,[15  9] ; [22 36],[10.82926829 13.17073171] ; [26.17073171 31.82926829],0
s3,1,0.041925,4.138211,[15  9] ; [22 36],[10.82926829 13.17073171] ; [26.17073171 31.82926829],0
u3,1,0.049311,3.864734,[7 2] ; [ 9 14],[4.5 4.5] ; [11.5 11.5],0
p1,1,0.085168,2.963404,[ 4 20] ; [ 3 56],[ 2.02409639 21.97590361] ; [ 4.97590361 54.02409639],0
r2,1,0.133463,2.251753,[22  2] ; [45 13],[19.6097561  4.3902439] ; [47.3902439 10.6097561],0
a5,1,0.146507,2.10825,[16  8] ; [29 30],[13.01204819 10.98795181] ; [31.98795181 27.01204819],0
d1,1,0.15803,1.992973,[13 11] ; [22 37],[10.12048193 13.87951807] ; [24.87951807 34.12048193],0
n4,1,0.186548,1.744675,[14 10] ; [25 34],[11.27710843 12.72289157] ; [27.72289157 31.27710843],0
b1,1,0.23913,1.385717,[16  8] ; [31 28],[13.59036145 10.40963855] ; [33.40963855 25.59036145],0
v2,1,0.239558,1.383192,[10 13] ; [16 38],[ 7.76623377 15.23376623] ; [18.23376623 35.76623377],0
r3,1,0.261213,1.262315,[18  6] ; [36 22],[15.80487805  8.19512195] ; [38.19512195 19.80487805],0
n2,1,0.269544,1.219065,[5 2] ; [16 17],[3.675 3.325] ; [17.325 15.675],0
a8,1,0.284418,1.14586,[ 1 22] ; [ 7 50],[ 2.3 20.7] ; [ 5.7 51.3],0
v4,1,0.325836,0.965378,[18  6] ; [37 21],[16.09756098  7.90243902] ; [38.90243902 19.09756098],0
s2,1,0.329672,0.950185,[10 14] ; [18 41],[ 8.09638554 15.90361446] ; [19.90361446 39.09638554],0
v1,1,0.329672,0.950185,[10 14] ; [18 41],[ 8.09638554 15.90361446] ; [19.90361446 39.09638554],0
a6,1,0.334822,0.930158,[13 11] ; [38 20],[14.92682927  9.07317073] ; [36.07317073 21.92682927],0
p8,1,0.349886,0.873869,[ 7 17] ; [11 45],[ 5.4 18.6] ; [12.6 43.4],0
s1,1,0.362309,0.829874,[ 1 23] ; [ 6 52],[ 2.04878049 21.95121951] ; [ 4.95121951 53.04878049],0
b4,1,0.407977,0.684689,[15  9] ; [31 28],[13.30120482 10.69879518] ; [32.69879518 26.30120482],0
s5,1,0.45399,0.560672,[ 5 16] ; [ 9 46],[ 3.86842105 17.13157895] ; [10.13157895 44.86842105],0
b2,1,0.558527,0.342262,[ 4 12] ; [10 20],[ 4.86956522 11.13043478] ; [ 9.13043478 20.86956522],0
b3,1,0.558527,0.342262,[ 4 12] ; [10 20],[ 4.86956522 11.13043478] ; [ 9.13043478 20.86956522],0
p9,1,0.601461,0.272798,[12 12] ; [24 31],[10.93670886 13.06329114] ; [25.06329114 29.93670886],0
r1,1,0.629516,0.232718,[16  8] ; [36 23],[15.03614458  8.96385542] ; [36.96385542 22.03614458],0
u1,1,0.650114,0.205757,[ 1 23] ; [ 4 55],[ 1.44578313 22.55421687] ; [ 3.55421687 55.44578313],0
u2,1,0.680724,0.169312,[5 3] ; [13 11],[4.5 3.5] ; [13.5 10.5],0
v3,1,0.687618,0.161677,[ 6 15] ; [13 41],[ 5.32 15.68] ; [13.68 40.32],0
s7,1,0.687618,0.161677,[ 6 15] ; [13 41],[ 5.32 15.68] ; [13.68 40.32],0
d3,1,0.700105,0.148363,[15  9] ; [33 24],[14.22222222  9.77777778] ; [33.77777778 23.22222222],0
