Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,1e-06,23.862854,[  9 100] ; [15 19],[18.29370629 90.70629371] ; [ 5.70629371 28.29370629],1
p7,1,0.003466,8.544472,[49 56] ; [25  8],[56.30434783 48.69565217] ; [17.69565217 15.30434783],0
p8,1,0.007136,7.238342,[36 73] ; [20 14],[42.68531469 66.31468531] ; [13.31468531 20.68531469],0
p4,1,0.008326,6.9619,[42 66] ; [22 12],[48.67605634 59.32394366] ; [15.32394366 18.67605634],0
a5,1,0.012549,6.231587,[74 35] ; [15 19],[67.83916084 41.16083916] ; [21.16083916 12.83916084],0
p3,1,0.028113,4.821108,[35 74] ; [18 16],[40.3986014 68.6013986] ; [12.6013986 21.3986014],0
s5,1,0.053743,3.720675,[18 87] ; [10 20],[21.77777778 83.22222222] ; [ 6.22222222 23.77777778],0
p2,1,0.072759,3.219655,[76 33] ; [29  5],[80.03496503 28.96503497] ; [24.96503497  9.03496503],0
b1,1,0.083297,2.999376,[52 57] ; [22 12],[56.40559441 52.59440559] ; [17.59440559 16.40559441],0
s8,1,0.0903,2.869012,[34 75] ; [16 18],[38.11188811 70.88811189] ; [11.88811189 22.11188811],0
n5,1,0.111373,2.534624,[42 66] ; [18 15],[45.95744681 62.04255319] ; [14.04255319 18.95744681],0
b3,1,0.113218,2.508724,[13 50] ; [ 7 11],[15.55555556 47.44444444] ; [ 4.44444444 13.55555556],0
b2,1,0.113218,2.508724,[13 50] ; [ 7 11],[15.55555556 47.44444444] ; [ 4.44444444 13.55555556],0
s7,1,0.117195,2.454409,[32 69] ; [15 17],[35.69172932 65.30827068] ; [11.30827068 20.69172932],0
v1,1,0.154281,2.029401,[41 64] ; [18 16],[44.56834532 60.43165468] ; [14.43165468 19.56834532],0
s2,1,0.177516,1.818297,[43 65] ; [18 16],[46.3943662 61.6056338] ; [14.6056338 19.3943662],0
n1,1,0.183501,1.769042,[12 25] ; [6 5],[13.875 23.125] ; [4.125 6.875],0
b5,1,0.249979,1.323424,[65 44] ; [24 10],[67.83916084 41.16083916] ; [21.16083916 12.83916084],0
u3,1,0.263696,1.249249,[30  7] ; [10  5],[28.46153846  8.53846154] ; [11.53846154  3.46153846],0
r1,1,0.281935,1.157739,[83 25] ; [23 11],[80.61971831 27.38028169] ; [25.38028169  8.61971831],0
s6,1,0.311636,1.023727,[56 52] ; [21 13],[58.56338028 49.43661972] ; [18.43661972 15.56338028],0
d5,1,0.323868,0.973263,[80 28] ; [28  6],[82.14084507 25.85915493] ; [25.85915493  8.14084507],0
