Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,68.786569,[ 7 63] ; [69 22],[33.04347826 36.95652174] ; [42.95652174 48.04347826],1
s2,1,0.0,29.080285,[14 57] ; [57 35],[30.92638037 40.07361963] ; [40.07361963 51.92638037],1
p2,1,9e-06,19.628831,[26 45] ; [65 26],[39.88271605 31.11728395] ; [51.11728395 39.88271605],1
s7,1,1e-05,19.450229,[11 52] ; [46 41],[23.94 39.06] ; [33.06 53.94],1
s6,1,2.3e-05,17.93398,[25 45] ; [63 28],[38.26086957 31.73913043] ; [49.73913043 41.26086957],1
r3,1,0.000155,14.309324,[44 26] ; [81 11],[54.01234568 15.98765432] ; [70.98765432 21.01234568],1
s3,1,0.000168,14.158404,[21 49] ; [55 37],[32.83950617 37.16049383] ; [43.16049383 48.83950617],1
s5,1,0.000199,13.840639,[10 60] ; [35 49],[20.45454545 49.54545455] ; [24.54545455 59.45454545],1
s8,1,0.000271,13.258288,[11 59] ; [39 53],[21.60493827 48.39506173] ; [28.39506173 63.60493827],1
r4,1,0.000418,12.449721,[36 35] ; [71 21],[46.60736196 24.39263804] ; [60.39263804 31.60736196],1
v4,1,0.000475,12.209675,[46 23] ; [82 10],[54.85714286 14.14285714] ; [73.14285714 18.85714286],1
p6,1,0.000511,12.075,[ 6 63] ; [29 63],[15. 54.] ; [20. 72.],1
p7,1,0.00148,10.103639,[17 53] ; [44 46],[26.6875 43.3125] ; [34.3125 55.6875],0
p4,1,0.002719,8.987107,[16 54] ; [42 50],[25.0617284 44.9382716] ; [32.9382716 59.0617284],0
r2,1,0.002786,8.94246,[53 16] ; [84  6],[59.45283019  9.54716981] ; [77.54716981 12.45283019],0
a5,1,0.009292,6.765769,[36 35] ; [65 27],[43.99386503 27.00613497] ; [57.00613497 34.99386503],0
n3,1,0.009801,6.670668,[17 18] ; [26  7],[22.13235294 12.86764706] ; [20.86764706 12.13235294],0
a6,1,0.016394,5.760071,[36 35] ; [63 28],[43.38888889 27.61111111] ; [55.61111111 35.38888889],0
n6,1,0.016424,5.756866,[36 34] ; [63 27],[43.3125 26.6875] ; [55.6875 34.3125],0
b5,1,0.02454,5.056071,[38 33] ; [65 27],[44.86503067 26.13496933] ; [58.13496933 33.86503067],0
