Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,8.8e-05,15.373857,[131  14] ; [21 12],[123.82022472  21.17977528] ; [28.17977528  4.82022472],1
p10,1,0.000219,13.662383,[120  23] ; [18 15],[112.125  30.875] ; [25.875  7.125],1
s1,1,0.00212,9.442562,[  2 142] ; [ 4 29],[  4.88135593 139.11864407] ; [ 1.11864407 31.88135593],0
p2,1,0.011033,6.460029,[136  10] ; [26  7],[132.13407821  13.86592179] ; [29.86592179  3.13407821],0
p4,1,0.016798,5.717361,[117  29] ; [20 13],[111.74301676  34.25698324] ; [25.25698324  7.74301676],0
u4,1,0.042548,4.11328,[  3 143] ; [ 3 30],[  4.89385475 141.10614525] ; [ 1.10614525 31.89385475],0
p7,1,0.062037,3.482061,[119  23] ; [23 10],[115.22285714  26.77714286] ; [26.77714286  6.22285714],0
s8,1,0.08316,3.002026,[73 73] ; [11 22],[68.51396648 77.48603352] ; [15.48603352 17.51396648],0
d2,1,0.103447,2.651586,[70 76] ; [21 12],[74.22346369 71.77653631] ; [16.77653631 16.22346369],0
p8,1,0.119986,2.417504,[99 45] ; [18 15],[95.18644068 48.81355932] ; [21.81355932 11.18644068],0
b4,1,0.133084,2.256162,[83 63] ; [14 19],[79.11731844 66.88268156] ; [17.88268156 15.11731844],0
v3,1,0.139958,2.178425,[60 82] ; [ 9 23],[56.31034483 85.68965517] ; [12.68965517 19.31034483],0
n6,1,0.149777,2.074521,[128  17] ; [26  7],[125.4494382  19.5505618] ; [28.5505618  4.4494382],0
v1,1,0.15263,2.045771,[84 58] ; [15 18],[80.33142857 61.66857143] ; [18.66857143 14.33142857],0
v4,1,0.154824,2.02407,[141   5] ; [30  3],[139.47486034   6.52513966] ; [31.52513966  1.47486034],0
n1,1,0.160814,1.966555,[ 8 19] ; [5 4],[ 9.75 17.25] ; [3.25 5.75],0
d4,1,0.17947,1.802009,[121  25] ; [24  9],[118.26815642  27.73184358] ; [26.73184358  6.26815642],0
a8,1,0.241232,1.37338,[ 20 112] ; [ 2 27],[ 18.03726708 113.96273292] ; [ 3.96273292 25.03726708],0
a3,1,0.249461,1.326322,[102  44] ; [19 13],[99.24719101 46.75280899] ; [21.75280899 10.24719101],0
s6,1,0.269721,1.218166,[94 51] ; [18 15],[91.23595506 53.76404494] ; [20.76404494 12.23595506],0
v2,1,0.290074,1.119276,[88 55] ; [17 16],[85.3125 57.6875] ; [19.6875 13.3125],0
u1,1,0.290653,1.116592,[ 24 122] ; [ 8 25],[ 26.10055866 119.89944134] ; [ 5.89944134 27.10055866],0
a5,1,0.302594,1.062726,[102  44] ; [20 13],[99.50837989 46.49162011] ; [22.49162011 10.50837989],0
a2,1,0.304622,1.053851,[ 32 114] ; [10 23],[ 34.25698324 111.74301676] ; [ 7.74301676 25.25698324],0
n4,1,0.340856,0.90721,[121  25] ; [25  8],[119.08379888  26.91620112] ; [26.91620112  6.08379888],0
a6,1,0.341987,0.902969,[101  45] ; [20 13],[98.69273743 47.30726257] ; [22.30726257 10.69273743],0
b1,1,0.344399,0.893989,[62 84] ; [17 16],[64.43575419 81.56424581] ; [14.56424581 18.43575419],0
r4,1,0.421834,0.645201,[131  15] ; [28  5],[129.68715084  16.31284916] ; [29.31284916  3.68715084],0
a4,1,0.44243,0.589971,[64 81] ; [17 16],[65.98314607 79.01685393] ; [15.01685393 17.98314607],0
d3,1,0.458346,0.549931,[104  42] ; [20 11],[102.28248588  43.71751412] ; [21.71751412  9.28248588],0
b5,1,0.514649,0.424603,[93 53] ; [23 10],[94.61452514 51.38547486] ; [21.38547486 11.61452514],0
