Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000792,11.259144,[ 8 18] ; [31 12],[14.69565217 11.30434783] ; [24.30434783 18.69565217],1
v2,1,0.001024,10.783134,[12 13] ; [ 5 37],[ 6.34328358 18.65671642] ; [10.65671642 31.34328358],0
b5,1,0.006874,7.305558,[19  7] ; [17 26],[13.56521739 12.43478261] ; [22.43478261 20.56521739],0
p2,1,0.009385,6.748085,[15 11] ; [11 31],[ 9.94117647 16.05882353] ; [16.05882353 25.94117647],0
s6,1,0.019412,5.464024,[10 16] ; [ 6 37],[ 6.02898551 19.97101449] ; [ 9.97101449 33.02898551],0
s2,1,0.019412,5.464024,[10 16] ; [ 6 37],[ 6.02898551 19.97101449] ; [ 9.97101449 33.02898551],0
v4,1,0.030999,4.653014,[19  7] ; [20 23],[14.69565217 11.30434783] ; [24.30434783 18.69565217],0
d4,1,0.034936,4.448278,[21  5] ; [24 19],[16.95652174  9.04347826] ; [28.04347826 14.95652174],0
d3,1,0.05783,3.598553,[17  8] ; [19 24],[13.23529412 11.76470588] ; [22.76470588 20.23529412],0
n4,1,0.06402,3.430061,[11 15] ; [28 15],[14.69565217 11.30434783] ; [24.30434783 18.69565217],0
p7,1,0.088157,2.907714,[10 16] ; [ 8 33],[ 6.98507463 19.01492537] ; [11.01492537 29.98507463],0
a7,1,0.113113,2.510185,[16 10] ; [18 25],[12.8115942 13.1884058] ; [21.1884058 21.8115942],0
p6,1,0.116494,2.463832,[ 5 20] ; [ 3 39],[ 2.98507463 22.01492537] ; [ 5.01492537 36.98507463],0
s5,1,0.116494,2.463832,[ 5 20] ; [ 3 39],[ 2.98507463 22.01492537] ; [ 5.01492537 36.98507463],0
n1,1,0.127988,2.316739,[ 2 12] ; [ 9 15],[4.05263158 9.94736842] ; [ 6.94736842 17.05263158],0
a1,1,0.145491,2.118898,[ 2 24] ; [ 9 34],[ 4.14492754 21.85507246] ; [ 6.85507246 36.14492754],0
b3,1,0.166977,1.909874,[3 8] ; [14 13],[4.92105263 6.07894737] ; [12.07894737 14.92105263],0
b2,1,0.166977,1.909874,[3 8] ; [14 13],[4.92105263 6.07894737] ; [12.07894737 14.92105263],0
p9,1,0.182528,1.776923,[12 14] ; [12 28],[ 9.45454545 16.54545455] ; [14.54545455 25.45454545],0
a4,1,0.198282,1.654983,[ 6 20] ; [16 26],[ 8.41176471 17.58823529] ; [13.58823529 28.41176471],0
n6,1,0.234403,1.413944,[13 12] ; [16 27],[10.66176471 14.33823529] ; [18.33823529 24.66176471],0
d1,1,0.258753,1.275418,[12 14] ; [14 29],[ 9.79710145 16.20289855] ; [16.20289855 26.79710145],0
p1,1,0.266279,1.235817,[ 1 25] ; [ 5 38],[ 2.26086957 23.73913043] ; [ 3.73913043 39.26086957],0
p3,1,0.269793,1.217799,[ 7 18] ; [ 7 35],[ 5.2238806 19.7761194] ; [ 8.7761194 33.2238806],0
s3,1,0.287165,1.132866,[10 16] ; [11 31],[ 8.02941176 17.97058824] ; [12.97058824 29.02941176],0
