Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.005521,7.700329,[19 26] ; [ 5 31],[13.33333333 31.66666667] ; [10.66666667 25.33333333],0
u2,1,0.028108,4.821429,[ 5 11] ; [10  4],[8. 8.] ; [7. 7.],0
p9,1,0.028898,4.773672,[44  4] ; [29 10],[40.27586207  7.72413793] ; [32.72413793  6.27586207],0
v2,1,0.029739,4.724332,[29 17] ; [14 22],[24.12195122 21.87804878] ; [18.87804878 17.12195122],0
n5,1,0.056893,3.625717,[37 11] ; [22 16],[32.93023256 15.06976744] ; [26.06976744 11.93023256],0
p7,1,0.075354,3.162358,[34 13] ; [21 18],[30.05813953 16.94186047] ; [24.94186047 14.05813953],0
a6,1,0.079429,3.076544,[27 21] ; [29 10],[30.89655172 17.10344828] ; [25.10344828 13.89655172],0
v3,1,0.082134,3.022156,[21 23] ; [11 27],[17.17073171 26.82926829] ; [14.82926829 23.17073171],0
d5,1,0.101338,2.684359,[44  4] ; [31  8],[41.37931034  6.62068966] ; [33.62068966  5.37931034],0
d4,1,0.115615,2.475741,[42  6] ; [29 10],[39.17241379  8.82758621] ; [31.82758621  7.17241379],0
p10,1,0.115615,2.475741,[42  6] ; [29 10],[39.17241379  8.82758621] ; [31.82758621  7.17241379],0
p8,1,0.118195,2.441083,[32 16] ; [19 19],[28.46511628 19.53488372] ; [22.53488372 15.46511628],0
p3,1,0.127342,2.324612,[30 18] ; [18 21],[26.48275862 21.51724138] ; [21.51724138 17.48275862],0
r2,1,0.129944,2.29317,[46  2] ; [33  5],[44.09302326  3.90697674] ; [34.90697674  3.09302326],0
s6,1,0.170383,1.879572,[30 18] ; [29  9],[32.93023256 15.06976744] ; [26.06976744 11.93023256],0
n4,1,0.192612,1.697521,[39  9] ; [27 12],[36.4137931 11.5862069] ; [29.5862069  9.4137931],0
a5,1,0.192612,1.697521,[39  9] ; [27 12],[36.4137931 11.5862069] ; [29.5862069  9.4137931],0
s3,1,0.206152,1.598248,[22 24] ; [24 15],[24.89411765 21.10588235] ; [21.10588235 17.89411765],0
b5,1,0.210291,1.569421,[31 17] ; [20 19],[28.13793103 19.86206897] ; [22.86206897 16.13793103],0
n1,1,0.231605,1.430976,[4 4] ; [2 7],[2.82352941 5.17647059] ; [3.17647059 5.82352941],0
p4,1,0.235215,1.409044,[33 15] ; [22 17],[30.34482759 17.65517241] ; [24.65517241 14.34482759],0
p6,1,0.237023,1.398214,[22 26] ; [13 26],[19.31034483 28.68965517] ; [15.68965517 23.31034483],0
b2,1,0.252481,1.309524,[16 19] ; [ 6 14],[14. 21.] ; [ 8. 12.],0
b3,1,0.252481,1.309524,[16 19] ; [ 6 14],[14. 21.] ; [ 8. 12.],0
a8,1,0.256924,1.285257,[ 9 36] ; [ 4 33],[ 7.13414634 37.86585366] ; [ 5.86585366 31.13414634],0
d1,1,0.258583,1.276329,[35 13] ; [24 15],[32.55172414 15.44827586] ; [26.44827586 12.55172414],0
v4,1,0.26494,1.242759,[46  2] ; [35  4],[44.68965517  3.31034483] ; [36.31034483  2.68965517],0
a2,1,0.304103,1.056113,[ 8 40] ; [10 29],[ 9.93103448 38.06896552] ; [ 8.06896552 30.93103448],0
u1,1,0.310954,1.026619,[ 5 43] ; [ 7 32],[ 6.62068966 41.37931034] ; [ 5.37931034 33.62068966],0
