Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.003654,8.448026,[ 7 34] ; [8 6],[11.18181818 29.81818182] ; [ 3.81818182 10.18181818],0
s5,1,0.047308,3.934408,[ 5 33] ; [5 8],[ 7.45098039 30.54901961] ; [ 2.54901961 10.45098039],0
d2,1,0.073405,3.205184,[10 31] ; [7 7],[12.67272727 28.32727273] ; [4.32727273 9.67272727],0
p10,1,0.096429,2.763629,[24 15] ; [12  2],[26.49056604 12.50943396] ; [9.50943396 4.49056604],0
p12,1,0.097536,2.745378,[ 1 39] ; [ 2 12],[ 2.22222222 37.77777778] ; [ 0.77777778 13.22222222],0
b4,1,0.101226,2.686121,[16 25] ; [9 5],[18.63636364 22.36363636] ; [6.36363636 7.63636364],0
n1,1,0.114057,2.497095,[ 8 10] ; [1 7],[ 6.23076923 11.76923077] ; [2.76923077 5.23076923],0
b1,1,0.129403,2.299652,[27 14] ; [6 8],[24.6 16.4] ; [8.4 5.6],0
d3,1,0.16029,1.971487,[17 23] ; [9 5],[19.25925926 20.74074074] ; [6.74074074 7.25925926],0
n3,1,0.164725,1.930303,[12  6] ; [3 5],[10.38461538  7.61538462] ; [4.61538462 3.38461538],0
p3,1,0.164915,1.928571,[20 20] ; [ 4 10],[17.77777778 22.22222222] ; [6.22222222 7.77777778],0
s7,1,0.167291,1.907051,[14 25] ; [7 5],[16.05882353 22.94117647] ; [4.94117647 7.05882353],0
d4,1,0.178473,1.810291,[24 17] ; [11  3],[26.09090909 14.90909091] ; [8.90909091 5.09090909],0
v2,1,0.205916,1.599912,[17 24] ; [8 5],[18.98148148 22.01851852] ; [6.01851852 6.98148148],0
d1,1,0.217948,1.517833,[ 8 33] ; [5 9],[ 9.69090909 31.30909091] ; [ 3.30909091 10.69090909],0
a2,1,0.241873,1.369645,[ 2 39] ; [ 2 12],[ 2.98181818 38.01818182] ; [ 1.01818182 12.98181818],0
s3,1,0.243812,1.35842,[19 21] ; [8 4],[20.76923077 19.23076923] ; [6.23076923 5.76923077],0
d5,1,0.244496,1.354482,[22 19] ; [10  4],[23.85454545 17.14545455] ; [8.14545455 5.85454545],0
