Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.009616,6.704762,[11 19] ; [11  3],[15. 15.] ; [7. 7.],0
b1,1,0.014139,6.020676,[14 16] ; [12  2],[17.72727273 12.27272727] ; [8.27272727 5.72727273],0
p4,1,0.016986,5.697769,[ 8 22] ; [9 5],[11.59090909 18.40909091] ; [5.40909091 8.59090909],0
p11,1,0.01704,5.69228,[12 18] ; [11  3],[15.68181818 14.31818182] ; [7.31818182 6.68181818],0
p10,1,0.018091,5.587302,[10 20] ; [10  4],[13.63636364 16.36363636] ; [6.36363636 7.63636364],0
p8,1,0.021085,5.319768,[ 8 21] ; [9 5],[11.46511628 17.53488372] ; [5.53488372 8.46511628],0
a3,1,0.064721,3.412087,[12 17] ; [10  4],[14.8372093 14.1627907] ; [7.1627907 6.8372093],0
p9,1,0.082239,3.020093,[13 17] ; [10  4],[15.68181818 14.31818182] ; [7.31818182 6.68181818],0
d5,1,0.134611,2.238502,[10 20] ; [8 6],[12.27272727 17.72727273] ; [5.72727273 8.27272727],0
s7,1,0.135519,2.228117,[ 5 24] ; [5 8],[ 6.9047619 22.0952381] ; [3.0952381 9.9047619],0
r3,1,0.159469,1.979252,[17 13] ; [11  3],[19.09090909 10.90909091] ; [8.90909091 5.09090909],0
p6,1,0.160237,1.971989,[ 5 25] ; [5 9],[ 6.81818182 23.18181818] ; [ 3.18181818 10.81818182],0
s8,1,0.160237,1.971989,[ 5 25] ; [5 9],[ 6.81818182 23.18181818] ; [ 3.18181818 10.81818182],0
p2,1,0.255503,1.292959,[16 14] ; [10  4],[17.72727273 12.27272727] ; [8.27272727 5.72727273],0
p3,1,0.262193,1.257143,[ 6 24] ; [5 9],[ 7.5 22.5] ; [ 3.5 10.5],0
v1,1,0.290269,1.118373,[10 20] ; [7 7],[11.59090909 18.40909091] ; [5.40909091 8.59090909],0
s3,1,0.312121,1.021678,[11 19] ; [ 3 11],[ 9.54545455 20.45454545] ; [4.45454545 9.54545455],0
r4,1,0.392998,0.729646,[13 17] ; [8 6],[14.31818182 15.68181818] ; [6.68181818 7.31818182],0
a4,1,0.420153,0.649888,[10 20] ; [ 3 11],[ 8.86363636 21.13636364] ; [4.13636364 9.86363636],0
n2,1,0.421374,0.646479,[8 7] ; [5 2],[8.86363636 6.13636364] ; [4.13636364 2.86363636],0
s5,1,0.434401,0.611027,[ 2 27] ; [ 2 12],[ 2.69767442 26.30232558] ; [ 1.30232558 12.69767442],0
n5,1,0.438988,0.598927,[17 13] ; [9 4],[18.13953488 11.86046512] ; [7.86046512 5.13953488],0
d3,1,0.456775,0.553785,[ 7 22] ; [ 2 12],[ 6.06976744 22.93023256] ; [ 2.93023256 11.06976744],0
n1,1,0.477395,0.504808,[ 5 10] ; [3 3],[5.71428571 9.28571429] ; [2.28571429 3.71428571],0
a7,1,0.494515,0.466687,[14 16] ; [5 9],[12.95454545 17.04545455] ; [6.04545455 7.95454545],0
a5,1,0.517413,0.419048,[14 16] ; [8 6],[15. 15.] ; [7. 7.],0
s2,1,0.527437,0.399328,[ 6 24] ; [ 4 10],[ 6.81818182 23.18181818] ; [ 3.18181818 10.81818182],0
s6,1,0.540751,0.37415,[10 20] ; [6 8],[10.90909091 19.09090909] ; [5.09090909 8.90909091],0
a2,1,0.546748,0.363175,[ 4 26] ; [ 1 13],[ 3.40909091 26.59090909] ; [ 1.59090909 12.40909091],0
r2,1,0.556236,0.346263,[23  7] ; [11  2],[23.72093023  6.27906977] ; [10.27906977  2.72093023],0
v3,1,0.566457,0.328646,[ 6 23] ; [ 4 10],[ 6.74418605 22.25581395] ; [ 3.25581395 10.74418605],0
n4,1,0.679126,0.171111,[17 13] ; [7 7],[16.36363636 13.63636364] ; [7.63636364 6.36363636],0
p1,1,0.702871,0.145503,[ 5 25] ; [ 3 11],[ 5.45454545 24.54545455] ; [ 2.54545455 11.45454545],0
d2,1,0.752102,0.099773,[10 20] ; [ 4 10],[ 9.54545455 20.45454545] ; [4.45454545 9.54545455],0
b2,1,0.756158,0.096429,[ 7 13] ; [2 5],[ 6.66666667 13.33333333] ; [2.33333333 4.66666667],0
b3,1,0.756158,0.096429,[ 7 13] ; [2 5],[ 6.66666667 13.33333333] ; [2.33333333 4.66666667],0
a6,1,0.785671,0.07395,[18 12] ; [9 5],[18.40909091 11.59090909] ; [8.59090909 5.40909091],0
r1,1,0.836647,0.042512,[14 16] ; [7 7],[14.31818182 15.68181818] ; [6.68181818 7.31818182],0
u3,1,0.840039,0.040741,[ 8 10] ; [2 2],[8.18181818 9.81818182] ; [1.81818182 2.18181818],0
u2,1,0.840039,0.040741,[ 8 10] ; [2 2],[8.18181818 9.81818182] ; [1.81818182 2.18181818],0
b4,1,0.976305,0.000882,[13 17] ; [6 8],[12.95454545 17.04545455] ; [6.04545455 7.95454545],0
b5,1,1.0,0.0,[15 15] ; [7 7],[15. 15.] ; [7. 7.],0
