Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,57.90562,[37 56] ; [119  17],[63.35371179 29.64628821] ; [92.64628821 43.35371179],1
d4,1,4e-06,21.492329,[50 43] ; [111  24],[65.67105263 27.32894737] ; [95.32894737 39.67105263],1
r3,1,5e-06,20.659116,[62 30] ; [124  12],[75.05263158 16.94736842] ; [110.94736842  25.05263158],1
r2,1,3.1e-05,17.376328,[62 27] ; [124  12],[73.57333333 15.42666667] ; [112.42666667  23.57333333],1
d3,1,4.2e-05,16.76957,[38 53] ; [94 42],[52.91629956 38.08370044] ; [79.08370044 56.91629956],1
p11,1,0.000323,12.930059,[50 43] ; [104  32],[62.54148472 30.45851528] ; [91.45851528 44.54148472],1
v4,1,0.000344,12.812044,[66 27] ; [120  14],[76.20264317 16.79735683] ; [109.79735683  24.20264317],1
a5,1,0.001218,10.462834,[43 50] ; [92 44],[54.82532751 38.17467249] ; [80.17467249 55.82532751],0
d1,1,0.001632,9.923402,[29 64] ; [71 65],[40.61135371 52.38864629] ; [59.38864629 76.61135371],0
a7,1,0.001885,9.658145,[47 45] ; [97 39],[58.10526316 33.89473684] ; [85.89473684 50.10526316],0
v2,1,0.002576,9.086025,[20 72] ; [53 76],[30.38914027 61.61085973] ; [42.61085973 86.38914027],0
v1,1,0.013193,6.143083,[20 69] ; [52 84],[28.48 60.52] ; [43.52 92.48],0
a3,1,0.01341,6.114243,[47 45] ; [91 44],[55.92951542 36.07048458] ; [82.07048458 52.92951542],0
a6,1,0.018181,5.57867,[50 43] ; [94 42],[58.48034934 34.51965066] ; [85.51965066 50.48034934],0
p8,1,0.018278,5.569285,[25 67] ; [57 77],[33.38053097 58.61946903] ; [48.61946903 85.38053097],0
p2,1,0.021,5.326812,[55 37] ; [101  35],[62.94736842 29.05263158] ; [93.05263158 42.94736842],0
u3,1,0.027452,4.862147,[15 31] ; [25 20],[20.21978022 25.78021978] ; [19.78021978 25.21978022],0
a2,1,0.051207,3.801478,[ 9 84] ; [ 26 110],[14.2139738 78.7860262] ; [ 20.7860262 115.2139738],0
d5,1,0.058303,3.585017,[56 36] ; [99 37],[62.54385965 29.45614035] ; [92.45614035 43.54385965],0
b4,1,0.067543,3.341743,[44 49] ; [81 55],[50.76419214 42.23580786] ; [74.23580786 61.76419214],0
b1,1,0.083055,3.004087,[47 46] ; [53 83],[40.61135371 52.38864629] ; [59.38864629 76.61135371],0
n4,1,0.083233,3.000614,[51 42] ; [90 46],[57.26200873 35.73799127] ; [83.73799127 52.26200873],0
p5,1,0.09074,2.861189,[ 5 87] ; [  2 133],[ 2.83700441 89.16299559] ; [  4.16299559 130.83700441],0
u2,1,0.093964,2.805124,[17 29] ; [24 20],[20.95555556 25.04444444] ; [20.04444444 23.95555556],0
s4,1,0.101391,2.683531,[13 80] ; [ 10 126],[ 9.34061135 83.65938865] ; [ 13.65938865 122.34061135],0
p7,1,0.14716,2.101441,[37 55] ; [67 67],[42.33628319 49.66371681] ; [61.66371681 72.33628319],0
a4,1,0.190365,1.71479,[30 62] ; [56 80],[34.70175439 57.29824561] ; [51.29824561 84.70175439],0
p1,1,0.198735,1.651647,[ 8 85] ; [  6 129],[ 5.71052632 87.28947368] ; [  8.28947368 126.71052632],0
p10,1,0.230594,1.437191,[51 40] ; [87 49],[55.3215859 35.6784141] ; [82.6784141 53.3215859],0
d2,1,0.258724,1.27557,[32 59] ; [58 78],[36.07929515 54.92070485] ; [53.92070485 82.07929515],0
b5,1,0.32811,0.956341,[58 35] ; [76 60],[54.41921397 38.58078603] ; [79.58078603 56.41921397],0
b3,1,0.333301,0.936028,[22 32] ; [24 50],[19.40625 34.59375] ; [26.59375 47.40625],0
b2,1,0.333301,0.936028,[22 32] ; [24 50],[19.40625 34.59375] ; [26.59375 47.40625],0
s2,1,0.392088,0.732457,[17 76] ; [ 19 116],[14.68421053 78.31578947] ; [ 21.31578947 113.68421053],0
n6,1,0.441366,0.592728,[61 31] ; [96 39],[63.62995595 28.37004405] ; [93.37004405 41.62995595],0
n5,1,0.496021,0.463439,[59 34] ; [79 55],[56.53744493 36.46255507] ; [81.46255507 52.53744493],0
p3,1,0.526428,0.401283,[27 65] ; [45 90],[29.18061674 62.81938326] ; [42.81938326 92.18061674],0
s1,1,0.544443,0.367367,[ 5 88] ; [  5 130],[ 4.07894737 88.92105263] ; [  5.92105263 129.07894737],0
s5,1,0.577371,0.310503,[ 8 82] ; [ 15 119],[ 9.24107143 80.75892857] ; [ 13.75892857 120.24107143],0
s3,1,0.677221,0.173271,[25 66] ; [ 34 102],[23.65198238 67.34801762] ; [ 35.34801762 100.65198238],0
p12,1,0.784054,0.075098,[ 1 91] ; [  1 134],[ 0.81057269 91.18942731] ; [  1.18942731 133.81057269],0
a1,1,0.811189,0.057069,[ 4 89] ; [  5 131],[ 3.65502183 89.34497817] ; [  5.34497817 130.65502183],0
n1,1,0.82061,0.05142,[12 22] ; [17 28],[12.48101266 21.51898734] ; [16.51898734 28.48101266],0
u1,1,0.825963,0.048348,[ 9 84] ; [ 12 124],[ 8.52838428 84.47161572] ; [ 12.47161572 123.52838428],0
n3,1,0.836113,0.042794,[22 13] ; [28 15],[22.43589744 12.56410256] ; [27.56410256 15.43589744],0
s7,1,0.876894,0.023996,[16 71] ; [ 25 105],[16.43778802 70.56221198] ; [ 24.56221198 105.43778802],0
a8,1,0.901175,0.01542,[ 9 80] ; [ 12 113],[ 8.73364486 80.26635514] ; [ 12.26635514 112.73364486],0
n2,1,0.901868,0.015203,[21 14] ; [27 17],[21.26582278 13.73417722] ; [26.73417722 17.26582278],0
p9,1,0.918312,0.010519,[57 31] ; [89 47],[57.35714286 30.64285714] ; [88.64285714 47.35714286],0
p6,1,0.924396,0.009005,[19 71] ; [ 29 105],[19.28571429 70.71428571] ; [ 28.71428571 105.28571429],0
p4,1,0.926958,0.008404,[35 58] ; [50 85],[34.67105263 58.32894737] ; [50.32894737 84.67105263],0
s8,1,0.947421,0.004349,[10 83] ; [ 15 121],[10.15283843 82.84716157] ; [ 14.84716157 121.15283843],0
