Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,6e-06,20.565457,[ 29 101] ; [58 58],[45.97560976 84.02439024] ; [41.02439024 74.97560976],1
r3,1,3.1e-05,17.344958,[106  28] ; [114   4],[116.98412698  17.01587302] ; [103.01587302  14.98412698],1
v1,1,0.000204,13.790561,[45 85] ; [66 47],[59.38271605 70.61728395] ; [51.61728395 61.38271605],1
d1,1,0.000455,12.29019,[60 75] ; [79 40],[73.87795276 61.12204724] ; [65.12204724 53.87795276],1
d4,1,0.001136,10.592401,[95 40] ; [103  15],[105.65217391  29.34782609] ; [92.34782609 25.65217391],0
a7,1,0.00217,9.399568,[81 54] ; [92 26],[92.31225296 42.68774704] ; [80.68774704 37.31225296],0
d5,1,0.00327,8.650106,[92 43] ; [100  19],[102.04724409  32.95275591] ; [89.95275591 29.04724409],0
p9,1,0.003871,8.34337,[88 46] ; [95 21],[98.088 35.912] ; [84.912 31.088],0
p2,1,0.004553,8.048776,[82 53] ; [92 27],[92.48031496 42.51968504] ; [81.51968504 37.48031496],0
n6,1,0.007149,7.23525,[102  32] ; [106  13],[110.16600791  23.83399209] ; [97.83399209 21.16600791],0
s2,1,0.008665,6.890634,[50 84] ; [62 53],[60.27309237 73.72690763] ; [51.72690763 63.27309237],0
s6,1,0.009213,6.781115,[67 66] ; [78 39],[77.14 55.86] ; [67.86 49.14],0
p12,1,0.009503,6.725739,[  5 128] ; [ 15 104],[ 10.55555556 122.44444444] ; [  9.44444444 109.55555556],0
s8,1,0.010348,6.573913,[39 96] ; [52 65],[48.75 86.25] ; [42.25 74.75],0
n3,1,0.010447,6.557018,[23 16] ; [23  3],[27.6 11.4] ; [18.4  7.6],0
r4,1,0.011228,6.428885,[101  34] ; [104  15],[108.95669291  26.04330709] ; [96.04330709 22.95669291],0
p10,1,0.011343,6.410831,[81 53] ; [89 29],[90.3968254 43.6031746] ; [79.6031746 38.3968254],0
r1,1,0.016671,5.730645,[91 44] ; [96 23],[99.38976378 35.61023622] ; [87.61023622 31.38976378],0
p11,1,0.01987,5.423319,[85 50] ; [91 28],[93.54330709 41.45669291] ; [82.45669291 36.54330709],0
a5,1,0.035306,4.430324,[96 39] ; [98 21],[103.11023622  31.88976378] ; [90.88976378 28.11023622],0
d3,1,0.038595,4.278618,[76 59] ; [82 37],[83.97637795 51.02362205] ; [74.02362205 44.97637795],0
p4,1,0.060045,3.53614,[54 80] ; [62 57],[61.43873518 72.56126482] ; [54.56126482 64.43873518],0
p5,1,0.086373,2.9407,[ 13 120] ; [  5 114],[  9.5 123.5] ; [  8.5 110.5],0
p6,1,0.096041,2.770078,[ 18 116] ; [25 92],[ 22.9561753 111.0438247] ; [20.0438247 96.9561753],0
n2,1,0.101786,2.67734,[26 16] ; [21  5],[29.02941176 12.97058824] ; [17.97058824  8.02941176],0
d2,1,0.110006,2.554141,[65 68] ; [69 48],[71.288 61.712] ; [62.712 54.288],0
v4,1,0.140393,2.173644,[112  22] ; [107  12],[115.99209486  18.00790514] ; [103.00790514  15.99209486],0
u2,1,0.189534,1.721233,[21 25] ; [20 13],[23.87341772 22.12658228] ; [17.12658228 15.87341772],0
s7,1,0.190143,1.716513,[52 76] ; [54 56],[57.00840336 70.99159664] ; [48.99159664 61.00840336],0
p8,1,0.204562,1.609499,[ 28 106] ; [33 86],[ 32.3083004 101.6916996] ; [28.6916996 90.3083004],0
b1,1,0.219458,1.507913,[59 76] ; [43 76],[54.21259843 80.78740157] ; [47.78740157 71.21259843],0
u3,1,0.261576,1.260398,[22 24] ; [20 13],[24.4556962 21.5443038] ; [17.5443038 15.4556962],0
p1,1,0.270751,1.212936,[ 17 117] ; [ 10 109],[ 14.30039526 119.69960474] ; [ 12.69960474 106.30039526],0
b5,1,0.283168,1.151823,[82 53] ; [80 39],[86.1023622 48.8976378] ; [75.8976378 43.1023622],0
s4,1,0.303861,1.057173,[ 22 111] ; [ 14 103],[ 19.152 113.848] ; [ 16.848 100.152],0
a3,1,0.357205,0.847696,[89 44] ; [86 33],[92.36111111 40.63888889] ; [82.63888889 36.36111111],0
p3,1,0.40777,0.685292,[44 90] ; [45 74],[47.13833992 86.86166008] ; [41.86166008 77.13833992],0
a6,1,0.489755,0.477064,[84 51] ; [79 40],[86.63385827 48.36614173] ; [76.36614173 42.63385827],0
a2,1,0.495569,0.464412,[ 27 108] ; [28 91],[ 29.23228346 105.76771654] ; [25.76771654 93.23228346],0
u1,1,0.521377,0.411169,[ 23 112] ; [24 95],[ 24.98031496 110.01968504] ; [22.01968504 96.98031496],0
s5,1,0.522111,0.409722,[ 27 100] ; [27 82],[29.05932203 97.94067797] ; [24.94067797 84.05932203],0
s3,1,0.529915,0.394555,[63 69] ; [60 56],[65.46774194 66.53225806] ; [57.53225806 58.46774194],0
r2,1,0.548212,0.36053,[120  13] ; [109   9],[121.34262948  11.65737052] ; [107.65737052  10.34262948],0
u4,1,0.579997,0.306239,[  3 132] ; [  4 115],[  3.72047244 131.27952756] ; [  3.27952756 115.72047244],0
b2,1,0.585164,0.297959,[32 53] ; [31 43],[33.67924528 51.32075472] ; [29.32075472 44.67924528],0
b3,1,0.585164,0.297959,[32 53] ; [31 43],[33.67924528 51.32075472] ; [29.32075472 44.67924528],0
n5,1,0.604221,0.268677,[111  24] ; [94 24],[109.38735178  25.61264822] ; [95.61264822 22.38735178],0
n1,1,0.799687,0.06439,[21 20] ; [12 13],[20.5 20.5] ; [12.5 12.5],0
b4,1,0.813484,0.055664,[82 53] ; [74 45],[82.91338583 52.08661417] ; [73.08661417 45.91338583],0
a8,1,0.834502,0.043652,[ 15 113] ; [13 90],[ 15.51515152 112.48484848] ; [12.48484848 90.51515152],0
a4,1,0.910683,0.012584,[65 68] ; [59 60],[65.44444444 67.55555556] ; [58.55555556 60.44444444],0
a1,1,0.988271,0.000216,[  8 127] ; [  7 112],[  7.97244094 127.02755906] ; [  7.02755906 111.97244094],0
