Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-06,23.559439,[21  9] ; [16 62],[10.27777778 19.72222222] ; [26.72222222 51.27777778],1
p5,1,0.007594,7.126871,[ 4 26] ; [ 1 77],[ 1.38888889 28.61111111] ; [ 3.61111111 74.38888889],0
s4,1,0.010079,6.620812,[11 19] ; [11 66],[ 6.1682243 23.8317757] ; [15.8317757 61.1682243],0
p8,1,0.010464,6.554176,[13 17] ; [15 63],[ 7.77777778 22.22222222] ; [20.22222222 57.77777778],0
s2,1,0.025199,5.010178,[13 17] ; [17 61],[ 8.33333333 21.66666667] ; [21.66666667 56.33333333],0
a2,1,0.039152,4.25425,[ 1 29] ; [15 64],[ 4.40366972 25.59633028] ; [11.59633028 67.40366972],0
p7,1,0.049886,3.845275,[17 13] ; [28 50],[12.5 17.5] ; [32.5 45.5],0
u2,1,0.066374,3.370483,[ 5 13] ; [18 15],[8.11764706 9.88235294] ; [14.88235294 18.11764706],0
a3,1,0.076514,3.137443,[12 18] ; [46 32],[16.11111111 13.88888889] ; [41.88888889 36.11111111],0
b3,1,0.100973,2.69011,[ 3 18] ; [17 34],[ 5.83333333 15.16666667] ; [14.16666667 36.83333333],0
b2,1,0.100973,2.69011,[ 3 18] ; [17 34],[ 5.83333333 15.16666667] ; [14.16666667 36.83333333],0
r3,1,0.117854,2.445606,[25  5] ; [54 25],[21.74311927  8.25688073] ; [57.25688073 21.74311927],0
a4,1,0.152678,2.045285,[ 8 22] ; [32 45],[11.21495327 18.78504673] ; [28.78504673 48.21495327],0
s3,1,0.161532,1.959823,[16 14] ; [30 48],[12.77777778 17.22222222] ; [33.22222222 44.77777778],0
p11,1,0.165398,1.924169,[10 20] ; [38 41],[13.21100917 16.78899083] ; [34.78899083 44.21100917],0
s1,1,0.167233,1.907577,[ 5 25] ; [ 6 72],[ 3.05555556 26.94444444] ; [ 7.94444444 70.05555556],0
s5,1,0.179054,1.80546,[ 7 23] ; [10 68],[ 4.72222222 25.27777778] ; [12.27777778 65.72222222],0
s6,1,0.179922,1.798266,[15 15] ; [28 50],[11.94444444 18.05555556] ; [31.05555556 46.94444444],0
v3,1,0.206192,1.597965,[ 8 21] ; [13 65],[ 5.69158879 23.30841121] ; [15.30841121 62.69158879],0
v4,1,0.214847,1.538462,[25  5] ; [56 22],[22.5  7.5] ; [58.5 19.5],0
r4,1,0.221279,1.496057,[22  8] ; [48 31],[19.26605505 10.73394495] ; [50.73394495 28.26605505],0
p10,1,0.248231,1.333233,[ 4 26] ; [18 59],[ 6.1682243 23.8317757] ; [15.8317757 61.1682243],0
n6,1,0.258736,1.275505,[20  9] ; [45 34],[17.4537037 11.5462963] ; [47.5462963 31.4537037],0
p2,1,0.266962,1.232289,[18 12] ; [38 41],[15.41284404 14.58715596] ; [40.58715596 38.41284404],0
d5,1,0.268509,1.224351,[22  8] ; [49 30],[19.5412844 10.4587156] ; [51.4587156 27.5412844],0
a7,1,0.27849,1.174443,[14 16] ; [46 33],[16.51376147 13.48623853] ; [43.48623853 35.51376147],0
n2,1,0.288379,1.127173,[7 3] ; [20 19],[5.51020408 4.48979592] ; [21.48979592 17.51020408],0
n5,1,0.3097,1.031954,[15 15] ; [48 31],[17.33944954 12.66055046] ; [45.66055046 33.33944954],0
a8,1,0.326869,0.961263,[ 1 28] ; [ 7 70],[ 2.18867925 26.81132075] ; [ 5.81132075 71.18867925],0
a5,1,0.335334,0.928188,[14 16] ; [45 34],[16.23853211 13.76146789] ; [42.76146789 36.23853211],0
u3,1,0.387968,0.7453,[11  7] ; [16 17],[9.52941176 8.47058824] ; [17.47058824 15.52941176],0
d2,1,0.390154,0.738462,[13 17] ; [41 37],[15. 15.] ; [39. 39.],0
p6,1,0.42437,0.638182,[ 7 23] ; [13 65],[ 5.55555556 24.44444444] ; [14.44444444 63.55555556],0
b1,1,0.448388,0.574723,[18 12] ; [41 38],[16.23853211 13.76146789] ; [42.76146789 36.23853211],0
b4,1,0.521693,0.410545,[18 12] ; [42 37],[16.51376147 13.48623853] ; [43.48623853 35.51376147],0
n3,1,0.575457,0.313636,[6 4] ; [18 18],[5.2173913 4.7826087] ; [18.7826087 17.2173913],0
d4,1,0.653409,0.20163,[20 10] ; [49 30],[18.99082569 11.00917431] ; [50.00917431 28.99082569],0
a6,1,0.678854,0.171419,[15 15] ; [43 36],[15.96330275 14.03669725] ; [42.03669725 36.96330275],0
r2,1,0.683641,0.166056,[24  6] ; [65 13],[24.72222222  5.27777778] ; [64.27777778 13.72222222],0
p1,1,0.697535,0.151049,[ 3 27] ; [ 6 72],[ 2.5 27.5] ; [ 6.5 71.5],0
b5,1,0.711454,0.136829,[14 16] ; [40 39],[14.86238532 15.13761468] ; [39.13761468 39.86238532],0
r1,1,0.711535,0.136749,[19 11] ; [53 26],[19.81651376 10.18348624] ; [52.18348624 26.81651376],0
n1,1,0.85438,0.033684,[4 6] ; [14 24],[3.75 6.25] ; [14.25 23.75],0
a1,1,0.868173,0.027549,[ 2 28] ; [ 6 73],[ 2.20183486 27.79816514] ; [ 5.79816514 73.20183486],0
s8,1,0.869839,0.026851,[ 5 25] ; [12 66],[ 4.72222222 25.27777778] ; [12.27777778 65.72222222],0
d1,1,0.899805,0.015853,[11 19] ; [30 49],[11.28440367 18.71559633] ; [29.71559633 49.28440367],0
v1,1,0.937446,0.006159,[ 7 23] ; [19 60],[ 7.1559633 22.8440367] ; [18.8440367 60.1559633],0
d3,1,0.95293,0.003484,[15 15] ; [39 40],[14.86238532 15.13761468] ; [39.13761468 39.86238532],0
s7,1,0.971523,0.001274,[ 7 21] ; [18 55],[ 6.93069307 21.06930693] ; [18.06930693 54.93069307],0
u1,1,0.984366,0.000384,[ 3 27] ; [ 8 71],[ 3.02752294 26.97247706] ; [ 7.97247706 71.02752294],0
n4,1,0.996743,1.7e-05,[19 11] ; [50 29],[18.99082569 11.00917431] ; [50.00917431 28.99082569],0
