Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,31.618066,[19 28] ; [74 11],[33.11363636 13.88636364] ; [59.88636364 25.11363636],1
u1,1,0.016262,5.774267,[ 4 43] ; [22 63],[ 9.25757576 37.74242424] ; [16.74242424 68.25757576],0
a2,1,0.019381,5.466792,[ 5 42] ; [24 61],[10.32575758 36.67424242] ; [18.67424242 66.32575758],0
s8,1,0.022036,5.242978,[19 28] ; [52 33],[25.28030303 21.71969697] ; [45.71969697 39.28030303],0
p11,1,0.022579,5.200584,[29 18] ; [68 17],[34.53787879 12.46212121] ; [62.46212121 22.53787879],0
a3,1,0.0281,4.821921,[28 19] ; [66 19],[33.46969697 13.53030303] ; [60.53030303 24.46969697],0
p3,1,0.030951,4.655656,[19 28] ; [51 34],[24.92424242 22.07575758] ; [45.07575758 39.92424242],0
d2,1,0.033239,4.533441,[18 29] ; [49 36],[23.85606061 23.14393939] ; [43.14393939 41.85606061],0
p4,1,0.036683,4.365067,[24 23] ; [59 26],[29.5530303 17.4469697] ; [53.4469697 31.5530303],0
r1,1,0.040161,4.211068,[32 15] ; [71 14],[36.67424242 10.32575758] ; [66.32575758 18.67424242],0
n6,1,0.042971,4.096538,[35 11] ; [76  9],[38.97709924  7.02290076] ; [72.02290076 12.97709924],0
a4,1,0.050226,3.833892,[16 31] ; [44 41],[21.36363636 25.63636364] ; [38.63636364 46.36363636],0
p5,1,0.055082,3.679599,[ 1 46] ; [10 75],[ 3.91666667 43.08333333] ; [ 7.08333333 77.91666667],0
p10,1,0.090947,2.857533,[34 12] ; [73 12],[37.57251908  8.42748092] ; [69.42748092 15.57251908],0
v4,1,0.103884,2.644878,[43  4] ; [83  2],[44.86363636  2.13636364] ; [81.13636364  3.86363636],0
s7,1,0.10511,2.626252,[25 20] ; [58 25],[29.1796875 15.8203125] ; [53.8203125 29.1796875],0
p12,1,0.111876,2.527525,[ 1 46] ; [ 8 77],[ 3.20454545 43.79545455] ; [ 5.79545455 79.20454545],0
d1,1,0.115788,2.473391,[25 22] ; [57 28],[29.1969697 17.8030303] ; [52.8030303 32.1969697],0
p9,1,0.115907,2.471777,[35 10] ; [75 10],[38.07692308  6.92307692] ; [71.92307692 13.07692308],0
b3,1,0.121977,2.391753,[ 8 14] ; [ 9 38],[ 5.42028986 16.57971014] ; [11.57971014 35.42028986],0
b2,1,0.121977,2.391753,[ 8 14] ; [ 9 38],[ 5.42028986 16.57971014] ; [11.57971014 35.42028986],0
r2,1,0.159074,1.983011,[46  1] ; [78  7],[44.15151515  2.84848485] ; [79.84848485  5.15151515],0
n3,1,0.16966,1.885944,[13  7] ; [16  3],[14.87179487  5.12820513] ; [14.12820513  4.87179487],0
v3,1,0.173457,1.852807,[10 35] ; [28 55],[13.359375 31.640625] ; [24.640625 58.359375],0
p8,1,0.187653,1.735951,[20 25] ; [47 36],[23.5546875 21.4453125] ; [43.4453125 39.5546875],0
u2,1,0.193748,1.688889,[ 7 12] ; [11  8],[ 9. 10.] ; [ 9. 10.],0
a5,1,0.214791,1.538839,[30 17] ; [63 22],[33.11363636 13.88636364] ; [59.88636364 25.11363636],0
r3,1,0.230063,1.440474,[45  1] ; [78  6],[43.52307692  2.47692308] ; [79.47692308  4.52307692],0
s1,1,0.230063,1.440474,[ 1 45] ; [ 6 78],[ 2.47692308 43.52307692] ; [ 4.52307692 79.47692308],0
p1,1,0.234199,1.415176,[ 7 40] ; [ 7 78],[ 4.98484848 42.01515152] ; [ 9.01515152 75.98484848],0
p2,1,0.240376,1.378388,[34 13] ; [69 16],[36.67424242 10.32575758] ; [66.32575758 18.67424242],0
