Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,37.670455,[345  29] ; [45 23],[330.  44.] ; [60.  8.],1
p8,1,0.0,28.655462,[279  93] ; [29 39],[260.4 111.6] ; [47.6 20.4],1
p9,1,0.0,25.333051,[346  28] ; [49 19],[334.23076923  39.76923077] ; [60.76923077  7.23076923],1
p4,1,0.000988,10.849313,[284  91] ; [39 30],[272.80405405 102.19594595] ; [50.19594595 18.80405405],1
p2,1,0.00169,9.859257,[345  30] ; [55 14],[337.83783784  37.16216216] ; [62.16216216  6.83783784],0
v2,1,0.013007,6.16822,[233 132] ; [32 35],[223.90046296 141.09953704] ; [41.09953704 25.90046296],0
n6,1,0.02416,5.083082,[342  32] ; [57 12],[336.85327314  37.14672686] ; [62.14672686  6.85327314],0
b5,1,0.029007,4.767209,[209 168] ; [48 21],[217.23991031 159.76008969] ; [39.76008969 29.23991031],0
s8,1,0.029942,4.712641,[199 174] ; [27 42],[190.71945701 182.28054299] ; [35.28054299 33.71945701],0
p3,1,0.036868,4.35649,[240 135] ; [35 34],[232.26351351 142.73648649] ; [42.73648649 26.26351351],0
v3,1,0.03774,4.316714,[176 190] ; [23 44],[168.20785219 197.79214781] ; [30.79214781 36.20785219],0
d1,1,0.041503,4.155373,[235 142] ; [34 35],[227.38340807 149.61659193] ; [41.61659193 27.38340807],0
s1,1,0.052025,3.774956,[  7 365] ; [ 4 64],[  9.3 362.7] ; [ 1.7 66.3],0
p12,1,0.053128,3.739876,[ 38 336] ; [ 2 67],[ 33.76975169 340.23024831] ; [ 6.23024831 62.76975169],0
v1,1,0.089316,2.886662,[237 131] ; [37 32],[230.73684211 137.26315789] ; [43.26315789 25.73684211],0
b1,1,0.090017,2.874066,[150 227] ; [35 34],[156.37892377 220.62107623] ; [28.62107623 40.37892377],0
d4,1,0.093187,2.818442,[312  63] ; [50 17],[307.12669683  67.87330317] ; [54.87330317 12.12669683],0
r3,1,0.100962,2.690277,[363  12] ; [63  5],[360.60948081  14.39051919] ; [65.39051919  2.60948081],0
v4,1,0.102108,2.672299,[362  12] ; [63  5],[359.61538462  14.38461538] ; [65.38461538  2.61538462],0
p1,1,0.115623,2.475635,[ 39 337] ; [ 3 66],[ 35.48764045 340.51235955] ; [ 6.51235955 62.48764045],0
s7,1,0.117441,2.45112,[209 150] ; [30 33],[203.31990521 155.68009479] ; [35.68009479 27.31990521],0
s2,1,0.179762,1.799593,[211 162] ; [33 36],[205.90950226 167.09049774] ; [38.09049774 30.90950226],0
n1,1,0.185822,1.750435,[22 36] ; [10  8],[24.42105263 33.57894737] ; [ 7.57894737 10.42105263],0
a8,1,0.197323,1.662074,[ 59 282] ; [15 47],[ 62.61538462 278.38461538] ; [11.38461538 50.61538462],0
p5,1,0.199957,1.642691,[ 68 307] ; [ 8 60],[ 64.33408578 310.66591422] ; [11.66591422 56.33408578],0
b3,1,0.206382,1.596623,[104 146] ; [11 25],[100.52447552 149.47552448] ; [14.47552448 21.52447552],0
b2,1,0.206382,1.596623,[104 146] ; [11 25],[100.52447552 149.47552448] ; [14.47552448 21.52447552],0
a5,1,0.207492,1.588842,[289  88] ; [48 21],[284.8632287  92.1367713] ; [52.1367713 16.8632287],0
r4,1,0.208113,1.584503,[350  27] ; [61  8],[347.41479821  29.58520179] ; [63.58520179  5.41479821],0
d5,1,0.320776,0.985781,[316  59] ; [54 14],[313.20541761  61.79458239] ; [56.79458239 11.20541761],0
r1,1,0.322856,0.977343,[315  60] ; [53 14],[312.21719457  62.78280543] ; [55.78280543 11.21719457],0
a3,1,0.33198,0.94116,[281  95] ; [47 21],[277.76576577  98.23423423] ; [50.23423423 17.76576577],0
a6,1,0.342217,0.90211,[259 116] ; [43 25],[255.64334086 119.35665914] ; [46.35665914 21.64334086],0
u2,1,0.390584,0.737122,[55 40] ; [10 11],[53.23275862 41.76724138] ; [11.76724138  9.23275862],0
b4,1,0.411027,0.675829,[206 171] ; [34 35],[202.86995516 174.13004484] ; [37.13004484 31.86995516],0
d3,1,0.420185,0.649799,[260 116] ; [43 24],[257.1738149 118.8261851] ; [45.8261851 21.1738149],0
n4,1,0.479427,0.500166,[338  39] ; [59  9],[336.33483146  40.66516854] ; [60.66516854  7.33483146],0
s3,1,0.482872,0.492369,[227 145] ; [39 30],[224.38095238 147.61904762] ; [41.61904762 27.38095238],0
a7,1,0.506389,0.441523,[263 113] ; [51 18],[265.31235955 110.68764045] ; [48.68764045 20.31235955],0
n3,1,0.507132,0.43998,[42 17] ; [15  4],[43.11538462 15.88461538] ; [13.88461538  5.11538462],0
u3,1,0.552313,0.35319,[50 46] ; [13  9],[51.25423729 44.74576271] ; [11.74576271 10.25423729],0
s5,1,0.613777,0.254712,[149 218] ; [25 42],[147.13824885 219.86175115] ; [26.86175115 40.13824885],0
a1,1,0.679058,0.171189,[ 21 356] ; [ 3 66],[ 20.28699552 356.71300448] ; [ 3.71300448 65.28699552],0
d2,1,0.714579,0.133747,[186 190] ; [32 36],[184.61261261 191.38738739] ; [33.38738739 34.61261261],0
p6,1,0.737889,0.111991,[193 182] ; [34 35],[191.72297297 183.27702703] ; [35.27702703 33.72297297],0
a2,1,0.77762,0.079762,[ 99 278] ; [17 52],[ 98.05381166 278.94618834] ; [17.94618834 51.05381166],0
s4,1,0.783623,0.075406,[ 64 306] ; [11 58],[ 63.2118451 306.7881549] ; [11.7881549 57.2118451],0
r2,1,0.791817,0.069671,[353  19] ; [64  4],[352.55454545  19.44545455] ; [64.44545455  3.55454545],0
u4,1,0.803896,0.061657,[  9 367] ; [ 2 67],[  9.29438202 366.70561798] ; [ 1.70561798 67.29438202],0
n2,1,0.816785,0.053677,[48 11] ; [15  4],[47.65384615 11.34615385] ; [15.34615385  3.65384615],0
a4,1,0.821609,0.050839,[174 201] ; [31 38],[173.14189189 201.85810811] ; [31.85810811 37.14189189],0
s6,1,0.832267,0.044857,[266 101] ; [47 19],[265.29099307 101.70900693] ; [47.70900693 18.29099307],0
u1,1,0.939688,0.005725,[ 75 302] ; [14 55],[ 75.2309417 301.7690583] ; [13.7690583 55.2309417],0
