Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,27.547662,[ 5 20] ; [94 32],[16.39072848  8.60927152] ; [82.60927152 43.39072848],1
p8,1,1e-06,23.877532,[ 4 22] ; [86 42],[15.19480519 10.80519481] ; [74.80519481 53.19480519],1
p6,1,0.004995,7.881178,[ 5 21] ; [63 65],[11.48051948 14.51948052] ; [56.51948052 71.48051948],0
p10,1,0.008941,6.834639,[18  8] ; [113  14],[22.26143791  3.73856209] ; [108.73856209  18.26143791],0
p4,1,0.022974,5.170505,[13 13] ; [93 35],[17.8961039  8.1038961] ; [88.1038961 39.8961039],0
p9,1,0.031676,4.61596,[20  6] ; [117  11],[23.12987013  2.87012987] ; [113.87012987  14.12987013],0
a7,1,0.042089,4.131611,[12 14] ; [86 42],[16.54545455  9.45454545] ; [81.45454545 46.54545455],0
n1,1,0.050783,3.815409,[7 2] ; [14 20],[4.39534884 4.60465116] ; [16.60465116 17.39534884],0
v3,1,0.058255,3.58637,[ 9 15] ; [ 25 101],[ 5.44 18.56] ; [28.56 97.44],0
d3,1,0.085174,2.963301,[14 12] ; [91 37],[17.72727273  8.27272727] ; [87.27272727 40.72727273],0
s6,1,0.100308,2.700648,[20  6] ; [112  14],[22.57894737  3.42105263] ; [109.42105263  16.57894737],0
s2,1,0.127985,2.316778,[14 12] ; [88 39],[17.33333333  8.66666667] ; [84.66666667 42.33333333],0
s3,1,0.140503,2.172443,[16 10] ; [96 31],[19.03267974  6.96732026] ; [92.96732026 34.03267974],0
b1,1,0.169256,1.889523,[15 11] ; [55 73],[11.81818182 14.18181818] ; [58.18181818 69.81818182],0
d2,1,0.173639,1.851244,[17  9] ; [65 63],[13.84415584 12.15584416] ; [68.15584416 59.84415584],0
r3,1,0.252173,1.311226,[23  3] ; [121   7],[24.31168831  1.68831169] ; [119.68831169   8.31168831],0
d1,1,0.255005,1.295673,[14 12] ; [84 44],[16.54545455  9.45454545] ; [81.45454545 46.54545455],0
v4,1,0.272532,1.203959,[24  2] ; [124   4],[24.98701299  1.01298701] ; [123.01298701   4.98701299],0
p3,1,0.280506,1.164636,[11 15] ; [69 59],[13.50649351 12.49350649] ; [66.49350649 61.50649351],0
b4,1,0.283006,1.152599,[16 10] ; [64 64],[13.50649351 12.49350649] ; [66.49350649 61.50649351],0
d4,1,0.302454,1.063344,[19  7] ; [104  23],[20.90196078  5.09803922] ; [102.09803922  24.90196078],0
p12,1,0.303198,1.060075,[ 1 25] ; [ 13 114],[ 2.37908497 23.62091503] ; [ 11.62091503 115.37908497],0
a8,1,0.312836,1.018665,[ 2 24] ; [ 18 100],[ 3.61111111 22.38888889] ; [ 16.38888889 101.61111111],0
s5,1,0.391372,0.734676,[ 8 16] ; [53 71],[ 9.89189189 14.10810811] ; [51.10810811 72.89189189],0
s4,1,0.421487,0.646165,[ 5 21] ; [34 93],[ 6.62745098 19.37254902] ; [32.37254902 94.62745098],0
u4,1,0.442412,0.59002,[ 1 25] ; [  2 126],[ 0.50649351 25.49350649] ; [  2.49350649 125.50649351],0
p11,1,0.453899,0.560897,[19  7] ; [102  26],[20.42857143  5.57142857] ; [100.57142857  27.42857143],0
a4,1,0.470451,0.520917,[14 12] ; [59 69],[12.32467532 13.67532468] ; [60.67532468 67.32467532],0
n3,1,0.482096,0.494118,[6 2] ; [21 13],[5.14285714 2.85714286] ; [21.85714286 12.14285714],0
a6,1,0.501464,0.451837,[14 12] ; [78 50],[15.53246753 10.46753247] ; [76.46753247 51.53246753],0
u3,1,0.54313,0.369769,[6 2] ; [21 12],[5.26829268 2.73170732] ; [21.73170732 11.26829268],0
u2,1,0.54313,0.369769,[6 2] ; [21 12],[5.26829268 2.73170732] ; [21.73170732 11.26829268],0
d5,1,0.556065,0.346563,[20  6] ; [104  23],[21.07189542  4.92810458] ; [102.92810458  24.07189542],0
b2,1,0.562419,0.335532,[ 8 13] ; [37 45],[ 9.17475728 11.82524272] ; [35.82524272 46.17475728],0
b3,1,0.562419,0.335532,[ 8 13] ; [37 45],[ 9.17475728 11.82524272] ; [35.82524272 46.17475728],0
b5,1,0.569258,0.323926,[16 10] ; [71 57],[14.68831169 11.31168831] ; [72.31168831 55.68831169],0
a3,1,0.599847,0.275227,[18  8] ; [95 33],[19.07792208  6.92207792] ; [93.92207792 34.07792208],0
r4,1,0.63395,0.226743,[23  3] ; [117  11],[23.63636364  2.36363636] ; [116.36363636  11.63636364],0
n5,1,0.701036,0.147396,[21  5] ; [99 29],[20.25974026  5.74025974] ; [99.74025974 28.25974026],0
a5,1,0.770591,0.085032,[19  7] ; [97 31],[19.58441558  6.41558442] ; [96.41558442 31.58441558],0
s7,1,0.807007,0.059677,[18  6] ; [90 34],[17.51351351  6.48648649] ; [90.48648649 33.51351351],0
p5,1,0.831084,0.045502,[ 4 19] ; [ 20 108],[ 3.65562914 19.34437086] ; [ 20.34437086 107.65562914],0
a2,1,0.837124,0.042261,[ 7 19] ; [32 96],[ 6.58441558 19.41558442] ; [32.41558442 95.58441558],0
n4,1,0.837385,0.042123,[20  6] ; [100  27],[20.39215686  5.60784314] ; [99.60784314 27.39215686],0
s1,1,0.839266,0.041141,[ 1 25] ; [  6 120],[ 1.19736842 24.80263158] ; [  5.80263158 120.19736842],0
v1,1,0.873905,0.025186,[11 12] ; [58 68],[10.65100671 12.34899329] ; [58.34899329 67.65100671],0
u1,1,0.879101,0.023137,[ 5 21] ; [ 23 105],[ 4.72727273 21.27272727] ; [ 23.27272727 104.72727273],0
r2,1,0.921575,0.009692,[24  2] ; [117   9],[24.11842105  1.88157895] ; [116.88157895   9.11842105],0
p1,1,0.928964,0.007947,[ 3 23] ; [ 14 114],[ 2.87012987 23.12987013] ; [ 14.12987013 113.87012987],0
r1,1,0.968503,0.001559,[21  5] ; [103  24],[21.07189542  4.92810458] ; [102.92810458  24.07189542],0
